rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
76,Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,27,1994,29.5,,,,,,,,,,,,3,,,,,,Matches
77,Enis Bardhi,mk MKD,MF,Trabzonspor,27,1995,14.8,,,,,,,,,,,,0,,,,,,Matches
78,Marc Bartra,es ESP,DF,Trabzonspor,31,1991,25.2,,,,,,,,,,,,1,,,,,,Matches
79,Sadık Baş,,"FW,DF",Hatayspor,28,1994,1.6,,,,,,,,,,,,0,,,,,,Matches
80,Emrah Başsan,tr TUR,MF,Kayserispor,30,1992,13.6,,,,,,,,,,,,4,,,,,,Matches
81,Michy Batshuayi,be BEL,FW,Fenerbahçe,28,1993,13.5,,,,,,,,,,,,1,,,,,,Matches
82,Bilal Bayazit,nl NED,GK,Kayserispor,23,1999,29.9,,,,,,,,,,,,0,,,,,,Matches
83,Altay Bayındır,tr TUR,GK,Fenerbahçe,24,1998,26.0,,,,,,,,,,,,0,,,,,,Matches
84,Furkan Bayır,tr TUR,DF,Alanyaspor,22,2000,31.0,,,,,,,,,,,,0,,,,,,Matches
85,Gökdeniz Bayrakdar,tr TUR,MF,Antalyaspor,20,2001,4.6,,,,,,,,,,,,0,,,,,,Matches
86,Emin Bayram,tr TUR,DF,Galatasaray,19,2003,4.7,,,,,,,,,,,,0,,,,,,Matches
87,Burak Bekaroğlu,,DF,Hatayspor,25,1997,3.0,,,,,,,,,,,,0,,,,,,Matches
88,Burak Bekaroğlu,,DF,Fatih Karagümrük,25,1997,2.0,,,,,,,,,,,,0,,,,,,Matches
89,Efkan Bekiroğlu,,MF,Alanyaspor,26,1995,15.8,,,,,,,,,,,,1,,,,,,Matches
90,Younès Belhanda,ma MAR,"FW,MF",Adana Demirspor,32,1990,25.2,,,,,,,,,,,,7,,,,,,Matches
91,Mortadha Ben Ouanes,tn TUN,"DF,MF",Kasımpaşa,28,1994,26.5,,,,,,,,,,,,4,,,,,,Matches
92,Oğuzhan Berber,tr TUR,"DF,MF",İstanbulspor,30,1992,12.7,,,,,,,,,,,,0,,,,,,Matches
93,Giorgi Beridze,ge GEO,MF,Ankaragücü,25,1997,18.6,,,,,,,,,,,,2,,,,,,Matches
94,Rahmetullah Berişbek,tr TUR,MF,Giresunspor,23,1999,2.9,,,,,,,,,,,,0,,,,,,Matches
95,Mergim Berisha,de GER,FW,Fenerbahçe,24,1998,0.2,,,,,,,,,,,,0,,,,,,Matches
96,Andrea Bertolacci,it ITA,MF,Kayserispor,31,1991,2.7,,,,,,,,,,,,0,,,,,,Matches
