round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Primeira Liga,22,Sat,2022-02-12,20:30 (21:30),Estoril,1.7,1–0,0.6,Tondela,1182,Estádio António Coimbra da Mota,Vitor Ferreira Fernandes,Match Report,
Primeira Liga,22,Sun,2022-02-13,15:30 (16:30),Famalicão,2.4,5–0,0.4,Moreirense,2641,Estádio Municipal 22 de Junho,Tiago Martins,Match Report,
Primeira Liga,22,Sun,2022-02-13,18:00 (19:00),B-SAD,1.0,1–0,1.5,Vitória,1089,Estádio Nacional,Rui Costa,Match Report,
Primeira Liga,22,Sun,2022-02-13,20:30 (21:30),Vizela,1.3,0–1,1.2,Gil Vicente FC,2020,Estádio Do Vizela,Nuno Almeida,Match Report,
Primeira Liga,22,Mon,2022-02-14,20:15 (21:15),Arouca,1.8,0–3,1.7,Marítimo,347,Estádio Municipal de Arouca,Miguel Nogueira,Match Report,
Primeira Liga,23,Fri,2022-02-18,20:15 (21:15),Boavista,1.3,2–2,0.9,Benfica,7903,Estádio do Bessa Século XXI,Rui Costa,Match Report,
Primeira Liga,23,Sat,2022-02-19,15:30 (16:30),Gil Vicente FC,1.0,2–0,0.4,B-SAD,2862,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
Primeira Liga,23,Sat,2022-02-19,18:00 (19:00),Paços de Ferreira,1.4,2–1,0.5,Vizela,3605,Estádio da Capital do Móvel,David Silva,Match Report,
Primeira Liga,23,Sat,2022-02-19,20:30 (21:30),Vitória,1.5,1–3,1.9,Arouca,8865,Estádio Dom Afonso Henriques,Artur Soares Dias,Match Report,
Primeira Liga,23,Sun,2022-02-20,15:30 (16:30),Marítimo,0.9,0–1,2.2,Famalicão,3940,Estádio dos Barreiros,João António Gonçalves,Match Report,
Primeira Liga,23,Sun,2022-02-20,18:00 (19:00),Sporting CP,2.0,3–0,0.1,Estoril,35270,Estádio José Alvalade,Hélder Malheiro,Match Report,
Primeira Liga,23,Sun,2022-02-20,20:00 (21:00),Moreirense,0.8,0–1,2.1,Porto,3688,P.D. Comendador Joaquim de Almeida Freit...,Luís Godinho,Match Report,
