rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
481,Luis Ricardo Reyes,mx MEX,DF,Atlas,32,1991,21.5,1220,924,294,44,2,11,150,185,65,27,28,0,914,2,16,Matches
482,Martín Río,ar ARG,"MF,FW",Querétaro,22,2001,0.6,14,13,1,0,0,0,0,0,0,0,0,0,11,0,1,Matches
483,Víctor Ríos,mx MEX,MF,Atlas,19,2004,3.3,123,118,5,3,0,0,0,2,0,0,0,0,104,0,0,Matches
484,Jesús Rivas,mx MEX,DF,UNAM,20,2002,10.5,453,362,90,1,0,3,25,85,4,0,0,0,346,1,7,Matches
485,Ulises Rivas,mx MEX,MF,UNAM,27,1996,27.2,833,812,20,11,1,5,13,7,0,0,0,0,695,1,12,Matches
486,Christian Rivera,co COL,MF,Tijuana,27,1996,31.3,1781,1688,91,85,6,27,1,2,0,0,0,0,1549,2,19,Matches
487,Ignacio Rivero,uy URU,"DF,MF",Cruz Azul,31,1992,27.3,1688,1372,308,32,4,19,141,228,47,21,20,1,1286,8,36,Matches
488,Ángel Robles,mx MEX,"FW,MF",Puebla,21,2001,6.8,150,144,6,0,0,3,9,2,1,0,1,0,110,0,8,Matches
489,Carlos Robles,mx MEX,DF,Atlas,23,2000,10.8,487,467,20,10,0,4,0,6,0,0,0,0,410,0,3,Matches
490,Aldo Rocha,mx MEX,MF,Atlas,30,1992,26.2,1562,1497,62,59,3,22,14,3,0,0,0,0,1358,3,14,Matches
491,Valentín Rodríguez,uy URU,DF,Pachuca,22,2001,3.0,153,115,37,3,0,1,8,33,1,0,0,0,118,1,2,Matches
492,Brian Rodríguez,uy URU,"FW,MF",América,23,2000,14.7,570,537,29,4,0,8,54,5,20,9,1,0,430,4,12,Matches
493,Charly Rodríguez,mx MEX,MF,Cruz Azul,26,1997,27.8,1953,1788,156,44,13,33,112,21,82,18,44,0,1648,9,26,Matches
