rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
76,Alán Bautista,mx MEX,"MF,FW",Pachuca,20,2002,15,9,767,8.5,4,1,5,4,0,0,0,0,1.7,1.7,1.7,3.4,23,31,54,0.47,0.12,0.59,0.47,0.59,0.20,0.20,0.40,0.20,0.40,Matches
77,Eduard Bello,ve VEN,"FW,MF",Mazatlán,27,1995,24,8,1027,11.4,3,1,4,3,0,1,0,0,3.3,2.5,2.0,4.5,27,32,90,0.26,0.09,0.35,0.26,0.35,0.29,0.18,0.47,0.22,0.40,Matches
78,Paul Bellón,mx MEX,DF,León,26,1997,16,14,1333,14.8,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4,25,2,0.07,0.00,0.07,0.07,0.07,0.03,0.00,0.03,0.03,0.03,Matches
79,Tomás Belmonte,ar ARG,MF,Toluca,25,1998,27,15,1401,15.6,2,2,4,2,0,0,4,1,1.7,1.7,0.8,2.4,10,91,17,0.13,0.13,0.26,0.13,0.26,0.11,0.05,0.16,0.11,0.16,Matches
80,Fernando Beltrán,mx MEX,MF,Guadalajara,25,1998,34,33,2807,31.2,4,1,5,4,0,0,3,0,3.4,3.4,2.3,5.7,71,221,123,0.13,0.03,0.16,0.13,0.16,0.11,0.07,0.18,0.11,0.18,Matches
81,Nicolás Benedetti,co COL,"MF,FW",Mazatlán,26,1997,9,7,531,5.9,2,3,5,1,1,1,2,0,1.6,0.8,2.0,2.8,18,29,36,0.34,0.51,0.85,0.17,0.68,0.27,0.35,0.61,0.13,0.48,Matches
82,Pablo Bennevendo Peña,mx MEX,DF,UNAM,23,2000,23,17,1529,17.0,0,2,2,0,0,0,3,0,0.3,0.3,0.7,1.0,15,63,68,0.00,0.12,0.12,0.00,0.12,0.02,0.04,0.06,0.02,0.06,Matches
83,Jorge Berlanga,mx MEX,DF,Pachuca,20,2003,15,11,1037,11.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,30,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Germán Berterame,mx MEX,"FW,MF",Monterrey,24,1998,25,20,1778,19.8,9,2,11,9,0,0,1,0,8.9,8.8,1.8,10.6,31,41,110,0.46,0.10,0.56,0.46,0.56,0.45,0.09,0.54,0.44,0.54,Matches
85,Unai Bilbao,es ESP,DF,Atlético,29,1994,27,26,2247,25.0,6,0,6,3,3,4,3,0,5.4,2.2,0.4,2.6,6,61,2,0.24,0.00,0.24,0.12,0.12,0.22,0.01,0.23,0.09,0.10,Matches
86,Alfonso Blanco Antúnez,mx MEX,GK,León,36,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Domingo Blanco,ar ARG,"MF,FW",Tijuana,28,1995,25,21,1924,21.4,2,3,5,2,0,0,8,0,1.4,1.4,3.1,4.5,50,35,165,0.09,0.14,0.23,0.09,0.23,0.06,0.15,0.21,0.06,0.21,Matches
88,Franck Boli,ci CIV,FW,Atlético,29,1993,12,8,693,7.7,4,2,6,3,1,1,2,1,3.9,3.1,0.6,3.7,9,11,46,0.52,0.26,0.78,0.39,0.65,0.50,0.08,0.58,0.40,0.48,Matches
89,Léo Bonatini,br BRA,FW,Atlético,29,1994,26,23,1756,19.5,9,1,10,9,0,0,0,0,6.8,6.8,0.5,7.4,14,35,86,0.46,0.05,0.51,0.46,0.51,0.35,0.03,0.38,0.35,0.38,Matches
90,Juan Brigido,mx MEX,"FW,DF",Guadalajara,21,2001,9,2,266,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,13,6,20,0.34,0.00,0.34,0.34,0.34,0.15,0.15,0.30,0.15,0.30,Matches
91,Antonio Briseño,mx MEX,DF,Guadalajara,29,1994,26,18,1649,18.3,3,1,4,3,0,0,6,0,1.0,1.0,0.3,1.2,5,63,2,0.16,0.05,0.22,0.16,0.22,0.05,0.02,0.07,0.05,0.07,Matches
92,Isaác Brizuela,mx MEX,FW,Guadalajara,32,1990,18,13,1056,11.7,0,2,2,0,0,0,1,0,0.9,0.9,1.6,2.5,40,25,110,0.00,0.17,0.17,0.00,0.17,0.08,0.14,0.22,0.08,0.22,Matches
93,Juan Brunetta,ar ARG,"MF,FW",Santos,26,1997,16,16,1410,15.7,8,11,19,8,0,0,5,0,5.1,5.1,9.4,14.6,66,115,99,0.51,0.70,1.21,0.51,1.21,0.33,0.60,0.93,0.33,0.93,Matches
94,Juan Brunetta,ar ARG,MF,UANL,26,1997,17,15,1215,13.5,7,4,11,6,1,1,0,0,7.1,6.3,2.8,9.1,71,83,80,0.52,0.30,0.81,0.44,0.74,0.53,0.21,0.73,0.47,0.67,Matches
95,César Bustos,mx MEX,DF,Monterrey,17,2005,5,4,326,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,16,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
96,Gustavo Cabral,ar ARG,DF,Pachuca,37,1985,26,26,2277,25.3,0,0,0,0,0,1,10,0,1.3,0.5,0.2,0.7,2,64,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.02,0.03,Matches
97,Sebastián Cáceres,uy URU,DF,América,23,1999,20,17,1459,16.2,0,0,0,0,0,0,4,0,0.7,0.7,0.1,0.7,2,21,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches
98,Jordy Caicedo,ec ECU,FW,Atlas,25,1997,25,17,1610,17.9,5,1,6,5,0,1,4,1,8.7,7.8,1.1,8.9,26,14,91,0.28,0.06,0.34,0.28,0.34,0.49,0.06,0.55,0.44,0.50,Matches
99,José Caicedo,co COL,MF,UNAM,21,2002,23,22,1911,21.2,1,0,1,1,0,0,6,0,0.5,0.5,0.7,1.1,15,130,23,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches
100,Cristian Calderón,mx MEX,DF,América,26,1997,14,11,964,10.7,0,1,1,0,0,0,1,0,0.7,0.7,1.5,2.1,14,35,56,0.00,0.09,0.09,0.00,0.09,0.06,0.14,0.20,0.06,0.20,Matches
