rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,147,234,62.8,1595,243,108,149,22,38,2,4,1,1.0,0.9,0.0,12,5,7,1,14,Matches
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,350,535,65.4,5920,2921,164,214,144,212,32,69,0,0.1,0.5,-0.1,4,32,2,1,44,Matches
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,133,166,80.1,1794,844,81,86,46,59,1,8,0,0.0,0.2,0.0,2,7,5,2,18,Matches
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,811,1011,80.2,13041,4189,384,444,331,400,54,91,2,1.5,1.7,+0.5,12,88,9,0,100,Matches
15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,1082,1516,71.4,17957,6443,546,608,381,519,109,291,5,5.2,8.4,-0.2,52,68,54,36,73,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,1541,1826,84.4,30310,12113,509,559,853,941,165,283,1,1.4,1.7,-0.4,7,90,7,1,108,Matches
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,153,253,60.5,2315,735,87,111,56,85,7,23,1,1.0,0.8,0.0,6,7,10,2,22,Matches
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,916,1094,83.7,15636,5157,437,476,349,397,91,134,4,0.9,1.7,+3.1,17,92,14,2,96,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,1453,1869,77.7,30069,10473,487,550,662,753,263,468,2,4.7,6.7,-2.7,57,151,29,10,171,Matches
20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,244,378,64.6,3408,1080,135,173,82,116,9,26,4,1.9,2.1,+2.1,20,22,19,6,40,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,959,1168,82.1,14340,4485,546,623,313,366,58,85,1,0.5,0.6,+0.5,11,70,4,0,86,Matches
22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,6,8,75.0,80,15,3,3,1,1,1,2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,282,401,70.3,4689,2067,142,165,110,160,23,47,0,0.3,0.3,-0.3,3,16,4,2,25,Matches
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,313,474,66.0,4292,1060,180,255,88,127,18,31,1,2.4,1.9,-1.4,27,31,20,3,51,Matches
25,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,4.0,79,108,73.1,1062,318,51,60,17,28,5,5,1,0.7,0.8,+0.3,6,8,3,0,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,994,1228,80.9,14581,5275,564,633,336,404,51,107,4,2.0,2.1,+2.0,13,75,21,10,77,Matches
27,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,27.2,1011,1338,75.6,17055,5684,485,568,414,521,87,155,5,5.3,5.4,-0.3,39,67,36,11,104,Matches
