rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
28,Furkan Akyüz,,GK,Fenerbahçe,17,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
29,Enes Albak,tr TUR,DF,Samsunspor,18,2005,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
30,Mehmet Albayrak,tr TUR,DF,Sivasspor,19,2004,1.9,0,0,0,,0.00,0.00,,,,0,0,Matches
31,Danijel Aleksić,rs SRB,MF,Başakşehir,32,1991,12.9,1,25,6,24.0,1.94,0.47,0.04,0.17,,0,0,Matches
32,Mehmet Ali Büyüksayar,tr TUR,FW,Konyaspor,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
33,Hasan Ali Kaldırım,tr TUR,DF,Kayserispor,33,1989,13.1,0,10,4,40.0,0.76,0.30,0.00,0.00,,0,0,Matches
34,Muhammet Ali Özbaskıcı,tr TUR,MF,Samsunspor,17,2005,0.4,0,1,0,0.0,2.25,0.00,0.00,,,0,0,Matches
35,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,31,1992,13.3,0,5,0,0.0,0.38,0.00,0.00,,,0,0,Matches
36,Kerim Alıcı,tr TUR,DF,Hatayspor,26,1997,15.9,1,14,5,35.7,0.88,0.31,0.07,0.20,,0,0,Matches
37,Nabil Alioui,fr FRA,MF,Adana Demirspor,24,1999,2.1,0,3,1,33.3,1.43,0.48,0.00,0.00,,0,0,Matches
38,Xusniddin Aliqulov,uz UZB,DF,Rizespor,24,1999,14.5,0,14,4,28.6,0.96,0.28,0.00,0.00,,0,0,Matches
39,Fidan Aliti,xk KVX,DF,Alanyaspor,29,1993,33.8,0,14,3,21.4,0.41,0.09,0.00,0.00,,0,0,Matches
40,Barış Alper Yılmaz,tr TUR,"MF,DF",Galatasaray,23,2000,28.3,6,62,18,29.0,2.19,0.64,0.10,0.33,,0,0,Matches
41,Daniel Amartey,gh GHA,"DF,MF",Beşiktaş,28,1994,11.8,0,1,0,0.0,0.08,0.00,0.00,,,0,0,Matches
42,Anderson,br BRA,FW,Alanyaspor,25,1997,2.8,0,9,2,22.2,3.24,0.72,0.00,0.00,,0,0,Matches
43,Angeliño,es ESP,DF,Galatasaray,26,1997,6.7,0,5,1,20.0,0.75,0.15,0.00,0.00,,0,0,Matches
44,Seyfettin Anıl Yaşar,tr TUR,DF,Rizespor,21,2002,7.6,0,0,0,,0.00,0.00,,,,0,0,Matches
45,Taylan Antalyalı,tr TUR,MF,Samsunspor,28,1995,19.6,2,23,9,39.1,1.17,0.46,0.00,0.00,,2,2,Matches
46,Nicholas Anwan,ng NGA,MF,Fatih Karagümrük,22,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
47,Aias Aosman,sy SYR,MF,Pendikspor,28,1994,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
48,Aaron Appindangoyé,ga GAB,DF,Sivasspor,31,1992,29.9,1,11,5,45.5,0.37,0.17,0.09,0.20,,0,0,Matches
49,Alp Arda,,GK,İstanbulspor,28,1995,19.8,0,0,0,,0.00,0.00,,,,0,0,Matches
50,Eren Arda San,,FW,İstanbulspor,17,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
51,Onur Arı,,FW,Hatayspor,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
52,Muhammed Arikan,tr TUR,MF,Kayserispor,18,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
53,Hakan Arslan,tr TUR,MF,Sivasspor,35,1988,6.4,0,8,2,25.0,1.26,0.31,0.00,0.00,,0,0,Matches
54,Ömürcan Artan,,DF,Gaziantep FK,24,1999,4.1,0,1,1,100.0,0.24,0.24,0.00,0.00,,0,0,Matches
55,Serkan Asan,tr TUR,DF,Pendikspor,24,1999,16.8,0,7,0,0.0,0.42,0.00,0.00,,,0,0,Matches
56,Britt Assombalonga,cd COD,"FW,MF",Antalyaspor,30,1992,7.1,1,21,6,28.6,2.97,0.85,0.05,0.17,,0,0,Matches
57,Kerem Atakan Kesgin,tr TUR,MF,Fatih Karagümrük,22,2000,1.6,0,1,0,0.0,0.61,0.00,0.00,,,0,0,Matches
58,Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,22,2000,0.8,0,3,1,33.3,3.97,1.32,0.00,0.00,,0,0,Matches
59,Youcef Atal,dz ALG,DF,Adana Demirspor,27,1996,9.1,1,12,5,41.7,1.32,0.55,0.08,0.20,,0,0,Matches
60,Loide Augusto,ao ANG,"DF,MF",Alanyaspor,23,2000,19.9,3,21,4,19.0,1.06,0.20,0.14,0.75,,0,0,Matches
61,Serge Aurier,ci CIV,DF,Galatasaray,30,1992,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
62,Fahri Ay,tr TUR,MF,Beşiktaş,18,2005,0.9,0,1,1,100.0,1.08,1.08,0.00,0.00,,0,0,Matches
63,Eyüp Aydın,tr TUR,MF,Galatasaray,18,2004,0.5,0,2,1,50.0,3.67,1.84,0.00,0.00,,0,0,Matches
64,Mehmet Aydin,de GER,DF,Trabzonspor,21,2002,14.3,0,9,0,0.0,0.63,0.00,0.00,,,0,0,Matches
65,Oğuz Aydın,tr TUR,MF,Alanyaspor,22,2000,28.7,13,58,25,43.1,2.02,0.87,0.19,0.44,,2,2,Matches
66,Taylan Aydın,tr TUR,DF,Kasımpaşa,17,2006,6.2,0,0,0,,0.00,0.00,,,,0,0,Matches
67,Tayfun Aydoğan,,"MF,FW",Adana Demirspor,27,1996,7.5,2,7,4,57.1,0.93,0.53,0.14,0.25,,1,1,Matches
68,Soner Aydoğdu,tr TUR,MF,Samsunspor,32,1991,5.1,2,13,3,23.1,2.57,0.59,0.15,0.67,,0,0,Matches
69,Berkay Aydoğmuş,,MF,Başakşehir,19,2004,0.7,0,1,0,0.0,1.36,0.00,0.00,,,0,0,Matches
70,Kaan Ayhan,tr TUR,DF,Galatasaray,28,1994,23.2,1,23,6,26.1,0.99,0.26,0.04,0.17,,0,0,Matches
71,Cemal Azad Demir,,FW,Beşiktaş,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
72,Serdar Aziz,tr TUR,DF,Fenerbahçe,32,1990,9.6,0,9,1,11.1,0.93,0.10,0.00,0.00,,0,0,Matches
73,Ousseynou Ba,sn SEN,DF,Başakşehir,27,1995,19.6,0,6,0,0.0,0.31,0.00,0.00,,,0,0,Matches
74,Mame Baba Thiam,sn SEN,"FW,MF",Kayserispor,30,1992,18.4,11,41,18,43.9,2.23,0.98,0.17,0.39,,4,4,Matches
75,Mame Baba Thiam,sn SEN,"MF,FW",Pendikspor,30,1992,16.7,6,42,17,40.5,2.51,1.02,0.12,0.29,,1,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
76,Volkan Babacan,tr TUR,GK,Başakşehir,34,1988,23.0,0,0,0,,0.00,0.00,,,,0,0,Matches
77,Aliou Badji,sn SEN,FW,Gaziantep FK,25,1997,3.7,1,9,2,22.2,2.42,0.54,0.11,0.50,,0,0,Matches
78,Yunus Bahadir,be BEL,DF,Alanyaspor,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
79,Stéphane Bahoken,cm CMR,FW,Kayserispor,31,1992,8.4,3,34,12,35.3,4.03,1.42,0.09,0.25,,0,1,Matches
80,Eric Bailly,ci CIV,DF,Beşiktaş,29,1994,3.7,0,1,0,0.0,0.27,0.00,0.00,,,0,0,Matches
81,Riad Bajić,ba BIH,FW,Ankaragücü,29,1994,9.1,4,16,8,50.0,1.77,0.88,0.25,0.50,,0,1,Matches
82,Cédric Bakambu,cd COD,FW,Galatasaray,32,1991,2.1,1,8,2,25.0,3.73,0.93,0.13,0.50,,0,0,Matches
83,Anastasios Bakasetas,gr GRE,MF,Trabzonspor,30,1993,15.7,4,45,12,26.7,2.87,0.76,0.07,0.25,,1,1,Matches
84,Bünyamin Balcı,tr TUR,DF,Antalyaspor,23,2000,20.6,1,6,2,33.3,0.29,0.10,0.17,0.50,,0,0,Matches
85,Jure Balkovec,si SVN,DF,Alanyaspor,28,1994,23.6,3,21,7,33.3,0.89,0.30,0.14,0.43,,0,0,Matches
86,Mario Balotelli,it ITA,FW,Adana Demirspor,32,1990,10.4,7,51,17,33.3,4.92,1.64,0.12,0.35,,1,1,Matches
87,Rayyan Baniya,,DF,Fatih Karagümrük,24,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
88,Rayyan Baniya,,DF,Trabzonspor,24,1999,19.9,0,6,3,50.0,0.30,0.15,0.00,0.00,,0,0,Matches
89,Yusuf Barasi,tr TUR,"FW,MF",Adana Demirspor,20,2003,9.7,4,19,11,57.9,1.95,1.13,0.21,0.36,,0,0,Matches
90,Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,28,1994,24.6,4,32,8,25.0,1.30,0.33,0.13,0.50,,0,0,Matches
91,Enis Bardhi,mk MKD,MF,Trabzonspor,28,1995,26.2,7,56,21,37.5,2.14,0.80,0.13,0.33,,0,0,Matches
92,Efecan Barlık,,MF,Başakşehir,20,2003,0.1,0,1,0,0.0,9.00,0.00,0.00,,,0,0,Matches
93,Modou Barrow,gm GAM,"MF,FW",Sivasspor,30,1992,10.9,1,14,7,50.0,1.29,0.64,0.07,0.14,,0,0,Matches
