rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
84,Lucas Beltrán,ar ARG,FW,River Plate,20,2001,13.2,4,24,9,37.5,1.82,0.68,0.17,0.44,12.7,0,0,0,3.0,3.0,0.13,+1.0,+1.0,Matches
85,Gastón Benavídez,ar ARG,DF,Talleres,26,1995,15.8,0,12,2,16.7,0.76,0.13,0.00,0.00,24.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
86,Darío Benedetto,ar ARG,FW,Boca Juniors,31,1990,12.0,5,27,8,29.6,2.26,0.67,0.19,0.63,15.4,0,0,1,4.4,3.6,0.13,+0.6,+1.4,Matches
87,Leandro Benegas,cl CHI,FW,Independiente,33,1988,21.2,6,53,17,32.1,2.50,0.80,0.11,0.35,14.1,1,0,0,7.1,7.1,0.13,-1.1,-1.1,Matches
88,Guillermo Benítez,ar ARG,DF,Huracán,28,1993,4.5,0,1,0,0.0,0.22,0.00,0.00,,8.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
89,Jorge Benítez,py PAR,FW,Platense,29,1992,11.2,3,33,11,33.3,2.95,0.98,0.09,0.27,18.0,0,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
90,Marcelo Benitez,ar ARG,MF,Rosario Central,31,1991,6.1,0,9,3,33.3,1.48,0.49,0.00,0.00,26.0,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
91,Marcos Benítez,ar ARG,MF,Newell's OB,20,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Gonzalo Bergessio,ar ARG,FW,Platense,37,1984,4.0,1,4,1,25.0,0.99,0.25,0.00,0.00,21.7,0,1,1,1.0,0.2,0.04,0.0,-0.2,Matches
93,Alexandro Bernabei,ar ARG,DF,Lanús,21,2000,0.8,0,1,1,100.0,1.32,1.32,0.00,0.00,27.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
94,Christian Bernardi,ar ARG,"MF,FW",Colón,31,1990,23.5,1,24,10,41.7,1.02,0.42,0.04,0.10,18.1,3,0,0,2.8,2.8,0.12,-1.8,-1.8,Matches
95,Nicolás Bertolo,ar ARG,"MF,FW",Banfield,36,1986,2.9,0,4,0,0.0,1.40,0.00,0.00,,15.7,0,0,0,0.9,0.9,0.22,-0.9,-0.9,Matches
