rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
89,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,34,1989,25.1,2,0,0,26,7,1,0,32,11,,,0,Matches
90,Firas Al-Buraikan,sa KSA,"MF,FW",Al-Ahli,24,2000,22.9,2,0,0,28,26,8,16,11,26,,,0,Matches
91,Heorhiy Bushchan,ua UKR,GK,Al-Shabab,30,1994,11.0,0,0,0,0,0,0,0,0,1,,,0,Matches
92,Haroune Camara,sa KSA,"FW,MF",Al-Shabab,26,1998,17.9,2,0,0,43,14,16,5,1,10,,,0,Matches
93,João Cancelo,pt POR,DF,Al-Hilal,30,1994,20.1,5,0,0,45,18,4,101,44,39,,,0,Matches
94,Yannick Carrasco,be BEL,"FW,MF",Al-Shabab,30,1993,14.3,3,0,0,10,27,7,66,3,5,,,0,Matches
95,André Carrillo,pe PER,"FW,MF",Al-Qadsiah,33,1991,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
96,Koen Casteels,be BEL,GK,Al-Qadsiah,32,1992,33.0,2,0,0,0,4,0,0,0,0,,,0,Matches
97,Kaio César,br BRA,MF,Al-Hilal,20,2004,8.4,0,0,0,15,26,3,17,4,11,,,0,Matches
98,Farouk Chafaï,dz ALG,DF,Damac,34,1990,29.9,4,0,0,30,25,3,2,39,19,,,0,Matches
99,Lucas Chávez,bo BOL,"MF,FW",Al-Taawoun,21,2003,6.2,0,0,0,7,5,1,14,4,6,,,0,Matches
100,Gojko Cimirot,ba BIH,MF,Al-Fayha,31,1992,15.0,3,0,0,25,18,1,18,8,11,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Álex Collado,es ESP,MF,Al Kholood Saudi Club,25,1999,28.7,4,0,0,27,75,2,112,12,41,,,0,Matches
102,Aldry Contreras,ve VEN,MF,Al-Fayha,20,2004,0.7,0,0,0,2,2,1,0,0,0,,,0,Matches
103,João Costa,br BRA,"MF,FW",Al-Ettifaq,19,2005,15.9,6,0,0,35,12,3,70,12,17,,,1,Matches
104,Gaëtan Coucke,be BEL,GK,Al-Orobah,25,1998,31.8,1,0,0,1,1,0,0,2,1,,,1,Matches
105,Alexandru Crețu,ro ROU,"DF,MF",Al-Wehda,32,1992,22.0,5,0,0,26,9,5,14,18,30,,,0,Matches
106,Vito van Crooij,nl NED,"FW,MF",Al-Wehda,28,1996,0.3,0,0,0,1,0,0,1,0,1,,,0,Matches
107,Gustavo Cuellar,co COL,"MF,DF",Al-Shabab,31,1992,6.9,1,0,0,3,3,0,2,5,10,,,0,Matches
108,Ammar Al-Daheem,sa KSA,DF,Al-Fateh,30,1993,13.2,3,0,0,18,14,1,5,11,19,,,0,Matches
109,Matteo Dams,be BEL,DF,Al-Ahli,20,2004,6.7,0,0,0,2,3,0,12,8,4,,,1,Matches
110,Abdulkarim Darisi,sa KSA,FW,Al-Ahli,21,2003,2.1,0,0,0,1,0,1,2,0,1,,,0,Matches
111,Khalifah Al Dawsari,sa KSA,DF,Al-Hilal,25,1999,4.9,2,0,0,7,1,1,2,6,7,,,0,Matches
112,Nasser Al-Dawsari,sa KSA,MF,Al-Hilal,25,1998,11.6,4,0,0,25,12,0,23,16,33,,,0,Matches
