rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
14,Allano,br BRA,"FW,MF",Santa Clara,27,1995,12.6,1,10,3,30.0,0.80,0.24,0.00,0.00,18.7,1,1,1,1.5,0.7,0.07,-0.5,-0.7,Matches
15,Domingos André Ribeiro Almeida,pt POR,MF,Vitória,22,2000,2.6,0,4,2,50.0,1.52,0.76,0.00,0.00,21.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
16,Jordi Almeida,br BRA,GK,Paços de Ferreira,28,1993,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Alejandro Alvarado Jr.,us USA,"FW,MF",Vizela,19,2003,0.8,0,3,2,66.7,3.80,2.54,0.00,0.00,9.2,0,0,0,0.8,0.8,0.27,-0.8,-0.8,Matches
18,Pedro Álvaro,pt POR,DF,Estoril,22,2000,28.6,1,11,5,45.5,0.38,0.17,0.09,0.20,11.5,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
19,Pedro Amaral,pt POR,DF,Rio Ave,24,1997,11.0,1,7,1,14.3,0.64,0.09,0.14,1.00,25.2,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
20,André Amaro,pt POR,DF,Vitória,19,2002,26.2,1,13,4,30.8,0.50,0.15,0.08,0.25,11.8,0,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches
21,Anderson,br BRA,FW,Vitória,24,1997,15.0,4,56,20,35.7,3.73,1.33,0.07,0.20,16.8,1,0,0,5.1,5.1,0.09,-1.1,-1.1,Matches
22,Anderson,br BRA,"FW,MF",Portimonense,24,1998,4.2,0,9,3,33.3,2.15,0.72,0.00,0.00,20.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
23,Léo Andrade,br BRA,DF,Marítimo,24,1998,11.8,1,7,2,28.6,0.59,0.17,0.14,0.50,6.3,0,0,0,1.3,1.1,0.17,-0.3,-0.1,Matches
24,André André,pt POR,MF,Vitória,32,1989,15.0,1,7,2,28.6,0.47,0.13,0.14,0.50,14.8,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
25,Andrew,br BRA,GK,Gil Vicente FC,21,2001,23.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Andrezinho,pt POR,"FW,MF",Santa Clara,25,1996,6.0,1,9,3,33.3,1.50,0.50,0.11,0.33,11.4,0,0,0,2.0,2.0,0.22,-1.0,-1.0,Matches
27,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Chaves,33,1988,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Carnejy Antoine,ht HAI,"FW,MF",Casa Pia,31,1991,1.4,1,4,1,25.0,2.95,0.74,0.25,1.00,15.6,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
29,Antony,br BRA,"FW,MF",Arouca,20,2001,26.4,6,52,16,30.8,1.97,0.61,0.12,0.38,18.5,0,0,0,8.9,8.9,0.17,-2.9,-2.9,Matches
30,Vitorino Antunes,pt POR,DF,Paços de Ferreira,35,1987,29.6,1,26,7,26.9,0.88,0.24,0.00,0.00,26.7,7,1,1,1.6,0.9,0.03,-0.6,-0.9,Matches
31,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,28,1994,8.3,1,24,7,29.2,2.89,0.84,0.04,0.14,21.7,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
32,Wilinton Aponzá,co COL,MF,Portimonense,22,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Mizuki Arai,jp JPN,"FW,MF",Gil Vicente FC,25,1997,3.3,0,7,2,28.6,2.13,0.61,0.00,0.00,17.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
34,Henrique Araújo,pt POR,"MF,FW",Benfica,20,2002,0.8,0,3,1,33.3,3.80,1.27,0.00,0.00,8.9,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
35,Tiago Araújo,pt POR,"DF,FW",Estoril,21,2001,9.8,1,14,5,35.7,1.43,0.51,0.07,0.20,21.9,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
36,Tomás Araújo,pt POR,DF,Gil Vicente FC,20,2002,20.8,1,13,3,23.1,0.63,0.14,0.08,0.33,9.5,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
37,Arthur,br BRA,"FW,MF",Estoril,24,1998,3.1,1,6,4,66.7,1.96,1.31,0.17,0.25,16.7,1,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
38,Arthur,br BRA,"MF,DF",Sporting CP,24,1998,8.9,1,16,3,18.8,1.79,0.34,0.06,0.33,20.8,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
39,Gustavo Assuncao,pt POR,MF,Famalicão,22,2000,10.6,1,3,2,66.7,0.28,0.19,0.33,0.50,28.6,1,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
