rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
54,Fran Beltrán,es ESP,MF,Celta Vigo,20,1999,20.3,1,14,4,28.6,0.69,0.20,0.07,0.25,20.1,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,32,1987,1.8,0,2,0,0.0,1.13,0.00,0.00,,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
56,Karim Benzema,fr FRA,FW,Real Madrid,31,1987,34.9,21,119,54,45.4,3.41,1.55,0.13,0.30,15.0,1,5,5,20.3,16.3,0.14,+0.7,-0.3,Matches
57,Yuri Berchiche,es ESP,DF,Athletic Club,29,1990,31.7,2,35,9,25.7,1.11,0.28,0.06,0.22,23.8,2,0,0,1.5,1.5,0.04,+0.5,+0.5,Matches
58,Markel Bergara,es ESP,MF,Getafe,33,1986,0.8,0,1,0,0.0,1.25,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
59,Sergio Bermejo,es ESP,"MF,FW",Celta Vigo,21,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Pedro Bigas,es ESP,DF,Eibar,28,1990,19.7,3,8,5,62.5,0.41,0.25,0.38,0.60,16.8,0,0,0,1.2,1.2,0.15,+1.8,+1.8,Matches
61,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,32.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,31,1988,17.8,2,14,4,28.6,0.79,0.22,0.07,0.25,18.2,1,1,1,2.8,2.0,0.16,-0.8,-1.0,Matches
63,Alejandro Blesa,es ESP,MF,Levante,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Filip Bradarić,hr CRO,MF,Celta Vigo,27,1992,7.8,0,4,4,100.0,0.51,0.51,0.00,0.00,25.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,28,1991,4.5,1,13,8,61.5,2.87,1.77,0.08,0.13,12.6,0,0,0,2.7,2.7,0.21,-1.7,-1.7,Matches
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,28,1991,21.5,6,41,17,41.5,1.91,0.79,0.15,0.35,14.8,1,0,1,7.1,6.3,0.15,-1.1,-0.3,Matches
68,Brandon,es ESP,FW,Osasuna,24,1995,4.5,0,8,2,25.0,1.77,0.44,0.00,0.00,13.8,0,0,0,1.3,1.3,0.16,-1.3,-1.3,Matches
69,Darko Brašanac,rs SRB,MF,Osasuna,27,1992,24.9,0,22,8,36.4,0.88,0.32,0.00,0.00,12.7,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
70,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,16.7,0,7,0,0.0,0.42,0.00,0.00,,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
