round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Guardianes 2021 Regular Season,4,Sun,2021-01-31,12:00 (19:00),UNAM,0.4,0–0,0.4,Atlas,,Estadio Olímpico de Universitario,César Arturo Ramos,Match Report,
Guardianes 2021 Regular Season,4,Sat,2021-01-30,19:00 (02:00),Guadalajara,0.7,1–2,0.4,FC Juárez,,Estadio Akron,Jorge Rojas,Match Report,
Guardianes 2021 Regular Season,4,Sat,2021-01-30,19:06 (04:06),Tijuana,2.5,3–2,0.4,Toluca,,Estadio Caliente,Fernando Guerrero,Match Report,
Guardianes 2021 Regular Season,4,Sat,2021-01-30,21:00 (04:00),Cruz Azul,2.5,4–1,0.4,Querétaro,,Estadio Azteca,Luis Santander,Match Report,
Guardianes 2021 Regular Season,4,Sun,2021-01-31,19:06 (02:06),Santos,1.0,1–1,1.1,América,,Estadio Nuevo Corona,Diego Montaño,Match Report,
Guardianes 2021 Regular Season,4,Mon,2021-02-01,21:00 (04:00),León,2.0,3–1,0.9,Atlético,,Estadio León,Adonai Escobedo,Match Report,
Guardianes 2021 Regular Season,4,Tue,2021-02-02,21:00 (04:00),Puebla,0.4,0–0,1.2,Monterrey,,Estadio Cuauhtémoc,Saul Silva,Match Report,
Guardianes 2021 Regular Season,5,Thu,2021-02-04,19:00 (02:00),Atlético,1.6,2–2,1.4,Tijuana,,Estadio Alfonso Lastras Ramírez,Luis Santander,Match Report,
Guardianes 2021 Regular Season,5,Thu,2021-02-04,21:00 (04:00),Querétaro,1.9,3–1,1.6,Pachuca,,Estadio La Corregidora,Oscar Mejia,Match Report,
Guardianes 2021 Regular Season,5,Sat,2021-02-06,17:00 (00:00),Atlas,1.4,1–1,0.9,Santos,,Estadio Jalisco,Fernando Hernández,Match Report,
Guardianes 2021 Regular Season,5,Fri,2021-02-05,21:30 (04:30),Necaxa,1.1,0–2,1.8,Cruz Azul,,Estadio Victoria de Aguascalientes,Victor Caceres,Match Report,
Guardianes 2021 Regular Season,5,Sun,2021-02-07,12:00 (19:00),Toluca,1.3,4–1,0.4,Mazatlán,,Estadio Nemesio Díez,Marco Antonio Nava,Match Report,
Guardianes 2021 Regular Season,5,Sat,2021-02-06,19:00 (02:00),América,0.8,1–0,0.8,Puebla,,Estadio Azteca,César Arturo Ramos,Match Report,
