wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
37,Sat,2023-05-27,21:00,Strasbourg,1.2,1–1,1.0,Paris S-G,25828,Stade de la Meinau,Jérôme Brisard,Match Report,
37,Sat,2023-05-27,21:00,Lens,2.3,3–0,0.2,Ajaccio,37601,Stade Bollaert-Delelis,Thomas Léonard,Match Report,
37,Sat,2023-05-27,21:00,Toulouse,0.8,1–1,0.9,Auxerre,25172,Stadium Municipal,Mathieu Vernice,Match Report,
37,Sat,2023-05-27,21:00,Rennes,1.3,2–0,0.5,Monaco,28344,Roazhon Park,Clément Turpin,Match Report,
37,Sat,2023-05-27,21:00,Lille,2.1,2–1,1.0,Nantes,41136,Stade Pierre-Mauroy,Eric Wattellier,Match Report,
37,Sat,2023-05-27,21:00,Montpellier,2.3,2–3,3.4,Nice,16340,Stade de la Mosson,Benoît Millot,Match Report,
38,Sat,2023-06-03,21:00,Lorient,0.5,2–1,1.0,Strasbourg,16351,Stade du Moustoir,Bastien Dechepy,Match Report,
38,Sat,2023-06-03,21:00,Ajaccio,0.1,1–0,1.4,Marseille,9500,Stade François Coty,Benoît Bastien,Match Report,
38,Sat,2023-06-03,21:00,Nice,2.3,3–1,1.8,Lyon,25243,Stade de Nice,Eric Wattellier,Match Report,
38,Sat,2023-06-03,21:00,Monaco,2.2,1–2,2.6,Toulouse,5670,Stade Louis II,Stéphanie Frappart,Match Report,
38,Sat,2023-06-03,21:00,Brest,1.5,1–2,1.9,Rennes,15143,Stade Francis-Le Blé,Jérôme Brisard,Match Report,
38,Sat,2023-06-03,21:00,Auxerre,3.3,1–3,2.8,Lens,17246,Stade de l'Abbé Deschamps,Benoît Millot,Match Report,
38,Sat,2023-06-03,21:00,Troyes,0.4,1–1,1.4,Lille,11006,Stade de l'Aube,Jeremy Stinat,Match Report,
38,Sat,2023-06-03,21:00,Paris S-G,2.2,2–3,3.1,Clermont Foot,47926,Parc des Princes,Thomas Léonard,Match Report,
38,Sat,2023-06-03,21:00,Reims,1.5,1–3,2.3,Montpellier,15036,Stade Auguste-Delaune,Pierre Gaillouste,Match Report,
38,Sat,2023-06-03,21:00,Nantes,1.1,1–0,0.3,Angers,27650,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
