rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
17,Juan Agudelo,us USA,FW,Minnesota Utd,28,1992,2.7,93,2,5,42,48,22,93,3,2,66.7,1,33.3,54,288,135,4,2,3,8,3,76,22,Matches
18,Raul Aguilera Jr.,us USA,MF,Orlando City,21,1999,1.1,70,3,20,43,8,0,70,1,0,0.0,1,100.0,42,151,50,2,1,0,0,0,46,1,Matches
19,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,21,1999,0.4,26,0,3,12,12,4,26,0,0,,0,,14,66,39,1,0,1,0,0,17,6,Matches
20,Matheus Aiás,br BRA,FW,Orlando City,24,1996,0.2,3,0,0,3,0,0,3,0,0,,0,,3,3,0,0,0,0,0,1,3,0,Matches
21,Arnaud Ake,ci CIV,"FW,MF",Nashville SC,22,1998,4.4,146,3,11,63,75,18,146,11,3,27.3,8,72.7,96,608,239,11,8,5,20,13,107,27,Matches
22,Tesho Akindele,ca CAN,FW,Orlando City,28,1992,15.2,525,20,37,259,233,68,524,14,6,42.9,8,57.1,280,1050,310,9,7,7,45,14,380,97,Matches
23,Ayo Akinola,ca CAN,FW,Toronto FC,21,2000,7.2,196,3,6,85,107,20,196,14,8,57.1,6,42.9,115,488,183,5,6,3,22,12,150,41,Matches
24,Oswaldo Alanís,mx MEX,DF,SJ Earthquakes,31,1989,22.7,1515,193,845,636,43,19,1513,21,12,57.1,9,42.9,947,4586,2715,10,2,0,7,3,1026,2,Matches
25,Caio Alexandre,br BRA,MF,Vancouver W'caps,21,1999,10.6,617,13,98,378,146,16,617,9,5,55.6,4,44.4,383,1896,909,14,17,4,12,7,448,12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Tony Alfaro,us USA,DF,D.C. United,27,1993,20.5,1115,132,509,575,38,13,1115,6,4,66.7,2,33.3,572,3207,1662,12,6,0,13,4,602,6,Matches
27,Ignacio Aliseda,ar ARG,"FW,MF",Chicago Fire,20,2000,17.7,739,13,79,339,345,51,739,63,32,50.8,31,49.2,524,3788,1750,67,39,12,51,27,569,114,Matches
