rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
275,Samuel Grandsir,fr FRA,"FW,MF",LA Galaxy,24,1996,34,24,2077,23.1,3,3,6,3,0,0,4,0,6.2,6.2,3.3,9.5,96,82,240,0.13,0.13,0.26,0.13,0.26,0.27,0.14,0.41,0.27,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
276,Tayvon Gray,jm JAM,DF,NYCFC,18,2002,10,3,380,4.2,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,9,10,27,0.00,0.24,0.24,0.00,0.24,0.04,0.23,0.27,0.04,0.27,Matches
277,Gregore,br BRA,MF,Inter Miami,26,1994,29,29,2535,28.2,0,3,3,0,0,0,15,2,0.5,0.5,1.0,1.5,29,155,21,0.00,0.11,0.11,0.00,0.11,0.02,0.04,0.05,0.02,0.05,Matches
278,Ján Greguš,sk SVK,MF,Minnesota Utd,30,1991,15,9,772,8.6,0,1,1,0,0,0,1,0,0.7,0.7,0.6,1.3,10,57,11,0.00,0.12,0.12,0.00,0.12,0.08,0.07,0.15,0.08,0.15,Matches
279,Julian Gressel,us USA,"DF,MF",D.C. United,27,1993,34,31,2690,29.9,2,9,11,2,0,0,5,0,3.4,3.4,11.8,15.2,76,124,210,0.07,0.30,0.37,0.07,0.37,0.11,0.40,0.51,0.11,0.51,Matches
280,Adam Grinwis,us USA,GK,Orlando City,28,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
281,Sami Guediri,us USA,"DF,MF",Inter Miami,23,1997,10,2,210,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,6,11,12,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
282,Jack Gurr,eng ENG,DF,Atlanta Utd,25,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
283,Brian Gutiérrez,us USA,"FW,MF",Chicago Fire,17,2003,17,6,600,6.7,0,1,1,0,0,0,1,0,1.3,1.3,1.2,2.5,7,37,37,0.00,0.15,0.15,0.00,0.15,0.19,0.18,0.38,0.19,0.38,Matches
284,Cristián Gutiérrez,cl CHI,DF,Vancouver W'caps,23,1997,19,17,1546,17.2,0,3,3,0,0,0,1,0,0.1,0.1,2.4,2.5,17,73,55,0.00,0.17,0.17,0.00,0.17,0.01,0.14,0.15,0.01,0.15,Matches
