rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
338,Matheus Nunes,pt POR,"MF,DF",Sporting CP,21,1998,14.1,5,0,0,33,47,2,14,13,13,0,1,0,98,17,22,43.6,Matches
339,Darwin Núñez,uy URU,FW,Benfica,21,1999,19.9,2,0,0,30,25,21,12,3,6,0,0,0,56,35,50,41.2,Matches
340,Pedro Nuno,pt POR,"FW,MF",Moreirense,25,1995,5.0,0,0,0,7,7,5,27,0,0,0,0,0,21,4,4,50.0,Matches
341,Pedro Oliveira Casagrande,br BRA,MF,Portimonense,21,1999,0.1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,Matches
342,Miguel Oliveira,pt POR,GK,Moreirense,26,1994,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
343,Rúben Alexandre Gomes Oliveira,pt POR,MF,Santa Clara,25,1994,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
344,Sérgio Oliveira,pt POR,MF,Porto,28,1992,26.4,5,0,0,40,40,0,183,19,30,0,0,0,145,17,24,41.5,Matches
345,Nicolás Otamendi,ar ARG,DF,Benfica,32,1988,27.0,13,0,0,46,24,1,1,70,37,0,1,0,165,79,40,66.4,Matches
346,Otávio,pt POR,MF,Porto,25,1995,23.5,3,0,0,45,74,0,73,22,31,0,0,0,136,18,34,34.6,Matches
347,Abou Ouattara,bf BFA,FW,Vitória,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
348,Amine Oudrhiri,ma MAR,"MF,DF",Farense,27,1992,30.6,7,0,0,24,51,0,70,42,17,0,0,0,164,28,21,57.1,Matches
349,Edgar Pacheco,pt POR,"FW,MF",B-SAD,20,2000,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
350,Fábio Pacheco,pt POR,"MF,DF",Moreirense,32,1988,28.7,13,0,0,43,34,1,4,80,61,0,0,0,151,34,21,61.8,Matches
