rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
54,Tarik Elyounoussi,no NOR,"MF,FW",Shonan Bellmare,34,1988,11.3,,,,,,,,,,,,,,,,,,,,,Matches
55,Ezequiel,br BRA,MF,Sanfrecce,24,1998,12.9,,,,,,,,,,,,,,,,,,,,,Matches
56,Lucas Fernandes,br BRA,MF,Consa Sapporo,28,1994,17.6,,,,,,,,,,,,,,,,,,,,,Matches
57,Michael Fitzgerald,nz NZL,DF,Albirex Niigata,34,1988,17.0,,,,,,,,,,,,,,,,,,,,,Matches
58,Yūta Fujihara,jp JPN,FW,Sagan Tosu,23,1999,0.9,,,,,,,,,,,,,,,,,,,,,Matches
59,Hiroki Fujiharu,jp JPN,DF,Gamba Osaka,34,1988,1.1,,,,,,,,,,,,,,,,,,,,,Matches
60,Haruya Fujii,jp JPN,DF,Grampus,22,2000,33.9,,,,,,,,,,,,,,,,,,,,,Matches
61,Tomoya Fujii,jp JPN,"MF,FW",Kashima Antlers,24,1998,10.4,,,,,,,,,,,,,,,,,,,,,Matches
62,Joel Fujita,jp JPN,MF,Marinos,20,2002,7.0,,,,,,,,,,,,,,,,,,,,,Matches
63,Naoyuki Fujita,jp JPN,MF,Sagan Tosu,35,1987,7.1,,,,,,,,,,,,,,,,,,,,,Matches
64,Soya Fujiwara,jp JPN,DF,Albirex Niigata,27,1995,23.0,,,,,,,,,,,,,,,,,,,,,Matches
65,Kazuki Fukai,jp JPN,MF,Consa Sapporo,27,1995,0.8,,,,,,,,,,,,,,,,,,,,,Matches
66,Shinnosuke Fukuda,jp JPN,DF,Kyoto Sanga,22,2000,18.3,,,,,,,,,,,,,,,,,,,,,Matches
67,Sho Fukuda,jp JPN,FW,Shonan Bellmare,21,2001,1.2,,,,,,,,,,,,,,,,,,,,,Matches
68,Yuya Fukuda,jp JPN,"FW,MF",Gamba Osaka,23,1999,5.4,,,,,,,,,,,,,,,,,,,,,Matches
69,Akito Fukumori,jp JPN,"DF,MF",Consa Sapporo,30,1992,20.6,,,,,,,,,,,,,,,,,,,,,Matches
70,Shimpei Fukuoka,jp JPN,MF,Kyoto Sanga,22,2000,12.9,,,,,,,,,,,,,,,,,,,,,Matches
71,Shota Fukuoka,jp JPN,DF,Gamba Osaka,27,1995,21.4,,,,,,,,,,,,,,,,,,,,,Matches
72,Akito Fukuta,jp JPN,"DF,MF",Sagan Tosu,30,1992,13.4,,,,,,,,,,,,,,,,,,,,,Matches
73,Yu Funabashi,jp JPN,MF,Kashima Antlers,20,2002,0.6,,,,,,,,,,,,,,,,,,,,,Matches
74,Kakeru Funaki,jp JPN,DF,Cerezo Osaka,24,1998,18.6,,,,,,,,,,,,,,,,,,,,,Matches
75,Gabriel,br BRA,DF,Yokohama FC,27,1995,1.5,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
76,Bafétimbi Gomis,fr FRA,FW,Kawa Frontale,37,1985,3.4,,,,,,,,,,,,,,,,,,,,,Matches
77,Douglas Grolli,br BRA,DF,Avispa Fukuoka,33,1989,26.8,,,,,,,,,,,,,,,,,,,,,Matches
78,Jay-Roy Grot,sr SUR,FW,Kashiwa Reysol,24,1998,8.2,,,,,,,,,,,,,,,,,,,,,Matches
79,Kim Gun-hee,kr KOR,FW,Consa Sapporo,27,1995,6.7,,,,,,,,,,,,,,,,,,,,,Matches
80,Yang Han-been,kr KOR,GK,Cerezo Osaka,31,1991,12.5,,,,,,,,,,,,,,,,,,,,,Matches
81,Riku Handa,jp JPN,DF,Gamba Osaka,21,2002,21.4,,,,,,,,,,,,,,,,,,,,,Matches
82,Taichi Hara,jp JPN,FW,Kyoto Sanga,23,1999,10.6,,,,,,,,,,,,,,,,,,,,,Matches
83,Wataru Harada,jp JPN,DF,Sagan Tosu,26,1996,27.0,,,,,,,,,,,,,,,,,,,,,Matches
84,Riki Harakawa,jp JPN,MF,FC Tokyo,29,1993,7.5,,,,,,,,,,,,,,,,,,,,,Matches
85,Riki Harakawa,jp JPN,MF,Cerezo Osaka,29,1993,5.8,,,,,,,,,,,,,,,,,,,,,Matches
86,Takumi Hasegawa,jp JPN,"MF,DF",Albirex Niigata,24,1998,5.8,,,,,,,,,,,,,,,,,,,,,Matches
87,Tatsuya Hasegawa,jp JPN,MF,Yokohama FC,28,1994,5.2,,,,,,,,,,,,,,,,,,,,,Matches
88,Kento Hashimoto,jp JPN,"DF,MF",Yokohama FC,23,1999,2.8,,,,,,,,,,,,,,,,,,,,,Matches
89,Taiga Hata,jp JPN,MF,Shonan Bellmare,21,2002,17.1,,,,,,,,,,,,,,,,,,,,,Matches
90,Shinnosuke Hatanaka,jp JPN,DF,Marinos,27,1995,20.2,,,,,,,,,,,,,,,,,,,,,Matches
91,Ryo Hatsuse,jp JPN,DF,Vissel Kobe,25,1997,32.1,,,,,,,,,,,,,,,,,,,,,Matches
92,Fumiya Hayakawa,jp JPN,DF,Albirex Niigata,29,1994,2.2,,,,,,,,,,,,,,,,,,,,,Matches
93,Jumpei Hayakawa,jp JPN,MF,Urawa Reds,17,2005,2.9,,,,,,,,,,,,,,,,,,,,,Matches
94,Tomoki Hayakawa,jp JPN,GK,Kashima Antlers,23,1999,34.0,,,,,,,,,,,,,,,,,,,,,Matches
95,Kotaro Hayashi,jp JPN,"MF,DF",Yokohama FC,22,2000,25.2,,,,,,,,,,,,,,,,,,,,,Matches
96,Takuto Hayashi,jp JPN,GK,Sanfrecce,40,1982,0.1,,,,,,,,,,,,,,,,,,,,,Matches
97,Osamu Henry Iyoha,jp JPN,DF,Kyoto Sanga,24,1998,9.5,,,,,,,,,,,,,,,,,,,,,Matches
98,Mitsuki Hidaka,jp JPN,MF,Vissel Kobe,19,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
99,Keigo Higashi,jp JPN,MF,FC Tokyo,32,1990,17.7,,,,,,,,,,,,,,,,,,,,,Matches
100,Shunki Higashi,jp JPN,MF,Sanfrecce,22,2000,25.7,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
101,Masaaki Higashiguchi,jp JPN,GK,Gamba Osaka,36,1986,23.0,,,,,,,,,,,,,,,,,,,,,Matches
102,Yuta Higuchi,jp JPN,MF,Kashima Antlers,26,1996,28.8,,,,,,,,,,,,,,,,,,,,,Matches
103,Shota Hino,jp JPN,MF,Sagan Tosu,20,2002,1.2,,,,,,,,,,,,,,,,,,,,,Matches
104,Sora Hiraga,jp JPN,FW,Kyoto Sanga,17,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
105,Yuichi Hirano,jp JPN,MF,Urawa Reds,26,1996,1.0,,,,,,,,,,,,,,,,,,,,,Matches
106,Taiyo Hiraoka,jp JPN,MF,Shonan Bellmare,20,2002,19.8,,,,,,,,,,,,,,,,,,,,,Matches
107,Taiki Hirato,jp JPN,MF,Kyoto Sanga,25,1997,6.7,,,,,,,,,,,,,,,,,,,,,Matches
108,Yuto Hiratsuka,jp JPN,MF,Avispa Fukuoka,26,1996,1.3,,,,,,,,,,,,,,,,,,,,,Matches
109,Rikuto Hirose,jp JPN,DF,Kashima Antlers,27,1995,16.7,,,,,,,,,,,,,,,,,,,,,Matches
110,Fuchi Honda,jp JPN,MF,Sagan Tosu,21,2001,9.5,,,,,,,,,,,,,,,,,,,,,Matches
111,Yuki Honda,jp JPN,DF,Vissel Kobe,32,1991,29.1,,,,,,,,,,,,,,,,,,,,,Matches
112,Yuki Horigome,jp JPN,MF,Sagan Tosu,30,1992,18.2,,,,,,,,,,,,,,,,,,,,,Matches
113,Yuto Horigome,jp JPN,DF,Albirex Niigata,28,1994,16.5,,,,,,,,,,,,,,,,,,,,,Matches
114,Yuji Hoshi,jp JPN,MF,Albirex Niigata,30,1992,8.9,,,,,,,,,,,,,,,,,,,,,Matches
115,Mao Hosoya,jp JPN,FW,Kashiwa Reysol,21,2001,30.8,,,,,,,,,,,,,,,,,,,,,Matches
116,Marius Høibråten,no NOR,DF,Urawa Reds,28,1995,33.0,,,,,,,,,,,,,,,,,,,,,Matches
117,Akinori Ichikawa,jp JPN,GK,Yokohama FC,24,1998,3.4,,,,,,,,,,,,,,,,,,,,,Matches
118,Kazunari Ichimi,jp JPN,FW,Kyoto Sanga,25,1997,6.7,,,,,,,,,,,,,,,,,,,,,Matches
119,Jun Ichimori,jp JPN,GK,Marinos,31,1991,26.8,,,,,,,,,,,,,,,,,,,,,Matches
120,Haruya Ide,jp JPN,MF,Vissel Kobe,28,1994,10.2,,,,,,,,,,,,,,,,,,,,,Matches
121,Yosuke Ideguchi,jp JPN,MF,Avispa Fukuoka,26,1996,18.0,,,,,,,,,,,,,,,,,,,,,Matches
122,Akihiro Ienaga,jp JPN,"FW,MF",Kawa Frontale,36,1986,27.3,,,,,,,,,,,,,,,,,,,,,Matches
123,Hiroki Iikura,jp JPN,GK,Marinos,36,1986,5.2,,,,,,,,,,,,,,,,,,,,,Matches
124,Nanasei Iino,jp JPN,"DF,MF",Vissel Kobe,26,1996,5.9,,,,,,,,,,,,,,,,,,,,,Matches
125,Masaki Ikeda,jp JPN,MF,Shonan Bellmare,23,1999,5.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
126,Sho Inagaki,jp JPN,MF,Grampus,31,1991,32.3,,,,,,,,,,,,,,,,,,,,,Matches
127,Andrés Iniesta,es ESP,MF,Vissel Kobe,38,1984,1.1,,,,,,,,,,,,,,,,,,,,,Matches
128,Kenta Inoue,jp JPN,MF,Marinos,24,1998,4.1,,,,,,,,,,,,,,,,,,,,,Matches
129,Rikito Inoue,jp JPN,DF,Kyoto Sanga,25,1997,25.4,,,,,,,,,,,,,,,,,,,,,Matches
130,Seiya Inoue,jp JPN,DF,Avispa Fukuoka,23,1999,3.0,,,,,,,,,,,,,,,,,,,,,Matches
131,Shion Inoue,jp JPN,MF,Yokohama FC,25,1997,26.9,,,,,,,,,,,,,,,,,,,,,Matches
132,Tomoya Inukai,jp JPN,DF,Kashiwa Reysol,29,1993,11.8,,,,,,,,,,,,,,,,,,,,,Matches
133,Park Iru-gyu,jp JPN,GK,Sagan Tosu,33,1989,34.0,,,,,,,,,,,,,,,,,,,,,Matches
134,Ryotaro Ishida,jp JPN,MF,Grampus,21,2001,0.3,,,,,,,,,,,,,,,,,,,,,Matches
135,Hideki Ishige,jp JPN,"MF,FW",Gamba Osaka,28,1994,10.1,,,,,,,,,,,,,,,,,,,,,Matches
136,Hirokazu Ishihara,jp JPN,MF,Shonan Bellmare,23,1999,20.2,,,,,,,,,,,,,,,,,,,,,Matches
137,Hisatsugu Ishii,jp JPN,MF,Shonan Bellmare,17,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
138,Kei Ishikawa,jp JPN,GK,Gamba Osaka,30,1992,1.0,,,,,,,,,,,,,,,,,,,,,Matches
139,Atsuki Ito,jp JPN,MF,Urawa Reds,24,1998,30.1,,,,,,,,,,,,,,,,,,,,,Matches
140,Ryotaro Ito,jp JPN,MF,Albirex Niigata,24,1998,15.2,,,,,,,,,,,,,,,,,,,,,Matches
141,Sho Ito,jp JPN,"FW,MF",Yokohama FC,34,1988,12.7,,,,,,,,,,,,,,,,,,,,,Matches
142,Takuya Iwanami,jp JPN,DF,Urawa Reds,28,1994,2.4,,,,,,,,,,,,,,,,,,,,,Matches
143,Ken Iwao,jp JPN,MF,Urawa Reds,34,1988,29.8,,,,,,,,,,,,,,,,,,,,,Matches
144,Yuto Iwasaki,jp JPN,MF,Sagan Tosu,24,1998,24.7,,,,,,,,,,,,,,,,,,,,,Matches
145,Wataru Iwashita,jp JPN,"DF,MF",Kashiwa Reysol,23,1999,0.5,,,,,,,,,,,,,,,,,,,,,Matches
146,Katsuya Iwatake,jp JPN,DF,Yokohama FC,26,1996,28.4,,,,,,,,,,,,,,,,,,,,,Matches
147,Ryuji Izumi,jp JPN,MF,Grampus,29,1993,22.3,,,,,,,,,,,,,,,,,,,,,Matches
148,Toya Izumi,jp JPN,FW,Vissel Kobe,22,2000,1.6,,,,,,,,,,,,,,,,,,,,,Matches
149,Jajá,br BRA,FW,FC Tokyo,24,1998,1.8,,,,,,,,,,,,,,,,,,,,,Matches
150,Issam Jebali,tn TUN,FW,Gamba Osaka,31,1991,23.9,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
151,Jesiel,br BRA,DF,Kawa Frontale,28,1994,3.9,,,,,,,,,,,,,,,,,,,,,Matches
152,Kim Jin-hyeon,kr KOR,GK,Cerezo Osaka,35,1987,19.5,,,,,,,,,,,,,,,,,,,,,Matches
153,Hisashi Jogo,jp JPN,MF,Avispa Fukuoka,36,1986,0.4,,,,,,,,,,,,,,,,,,,,,Matches
154,Matej Jonjić,hr CRO,DF,Cerezo Osaka,32,1991,17.8,,,,,,,,,,,,,,,,,,,,,Matches
155,Marcos Júnior,br BRA,MF,Marinos,30,1993,6.6,,,,,,,,,,,,,,,,,,,,,Matches
156,Marcos Júnior,br BRA,MF,Sanfrecce,30,1993,4.3,,,,,,,,,,,,,,,,,,,,,Matches
157,Kasper Junker,dk DEN,FW,Grampus,28,1994,28.6,,,,,,,,,,,,,,,,,,,,,Matches
158,Ryonosuke Kabayama,jp JPN,MF,Sagan Tosu,20,2002,4.7,,,,,,,,,,,,,,,,,,,,,Matches
159,Shinji Kagawa,jp JPN,MF,Cerezo Osaka,33,1989,31.0,,,,,,,,,,,,,,,,,,,,,Matches
160,Yuki Kakita,jp JPN,FW,Kashima Antlers,25,1997,15.5,,,,,,,,,,,,,,,,,,,,,Matches
161,Masashi Kamekawa,jp JPN,MF,Avispa Fukuoka,29,1993,1.5,,,,,,,,,,,,,,,,,,,,,Matches
162,Naoto Kamifukumoto,jp JPN,GK,Kawa Frontale,33,1989,12.0,,,,,,,,,,,,,,,,,,,,,Matches
163,Takumi Kamijima,jp JPN,DF,Marinos,25,1997,10.9,,,,,,,,,,,,,,,,,,,,,Matches
164,Takeshi Kanamori,jp JPN,MF,Avispa Fukuoka,28,1994,19.3,,,,,,,,,,,,,,,,,,,,,Matches
165,Daiki Kaneko,jp JPN,MF,Kyoto Sanga,24,1998,20.1,,,,,,,,,,,,,,,,,,,,,Matches
166,Takuro Kaneko,jp JPN,MF,Consa Sapporo,25,1997,21.0,,,,,,,,,,,,,,,,,,,,,Matches
167,José Kanté,gn GUI,FW,Urawa Reds,32,1990,14.3,,,,,,,,,,,,,,,,,,,,,Matches
168,Yoshifumi Kashiwa,jp JPN,MF,Sanfrecce,35,1987,3.2,,,,,,,,,,,,,,,,,,,,,Matches
169,Eiichi Katayama,jp JPN,DF,Kashiwa Reysol,31,1991,23.2,,,,,,,,,,,,,,,,,,,,,Matches
170,Takuto Katō,jp JPN,MF,Kashiwa Reysol,23,1999,0.6,,,,,,,,,,,,,,,,,,,,,Matches
171,Naoki Kawaguchi,jp JPN,DF,Kashiwa Reysol,28,1994,8.7,,,,,,,,,,,,,,,,,,,,,Matches
172,So Kawahara,jp JPN,MF,Sagan Tosu,24,1998,34.0,,,,,,,,,,,,,,,,,,,,,Matches
173,Takumu Kawamura,jp JPN,MF,Sanfrecce,23,1999,31.5,,,,,,,,,,,,,,,,,,,,,Matches
174,Shuhei Kawasaki,jp JPN,MF,Vissel Kobe,21,2001,1.3,,,,,,,,,,,,,,,,,,,,,Matches
175,Sota Kawasaki,jp JPN,MF,Kyoto Sanga,21,2001,26.8,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
176,Atsushi Kawata,jp JPN,FW,Sagan Tosu,30,1992,4.9,,,,,,,,,,,,,,,,,,,,,Matches
177,Akinari Kawazura,jp JPN,DF,Grampus,28,1994,11.2,,,,,,,,,,,,,,,,,,,,,Matches
178,Hinata Kida,jp JPN,MF,Cerezo Osaka,22,2000,12.6,,,,,,,,,,,,,,,,,,,,,Matches
179,Ryoga Kida,jp JPN,FW,Grampus,17,2005,1.4,,,,,,,,,,,,,,,,,,,,,Matches
180,Takuya Kida,jp JPN,MF,Marinos,28,1994,23.1,,,,,,,,,,,,,,,,,,,,,Matches
181,Ryuho Kikuchi,jp JPN,DF,Vissel Kobe,26,1996,0.6,,,,,,,,,,,,,,,,,,,,,Matches
182,Taichi Kikuchi,jp JPN,"DF,MF",Sagan Tosu,23,1999,26.9,,,,,,,,,,,,,,,,,,,,,Matches
183,Yasuki Kimoto,jp JPN,DF,FC Tokyo,29,1993,20.3,,,,,,,,,,,,,,,,,,,,,Matches
184,Seiji Kimura,jp JPN,DF,FC Tokyo,21,2001,3.0,,,,,,,,,,,,,,,,,,,,,Matches
185,Yūdai Kimura,jp JPN,FW,Kyoto Sanga,21,2001,2.8,,,,,,,,,,,,,,,,,,,,,Matches
186,Kosuke Kinoshita,jp JPN,FW,Kyoto Sanga,28,1994,16.8,,,,,,,,,,,,,,,,,,,,,Matches
187,Sota Kitano,jp JPN,FW,Cerezo Osaka,18,2004,3.2,,,,,,,,,,,,,,,,,,,,,Matches
188,Hiroshi Kiyotake,jp JPN,"FW,MF",Cerezo Osaka,33,1989,0.6,,,,,,,,,,,,,,,,,,,,,Matches
189,Takahiro Ko,jp JPN,MF,Albirex Niigata,24,1998,28.4,,,,,,,,,,,,,,,,,,,,,Matches
190,Yu Kobayashi,jp JPN,FW,Kawa Frontale,35,1987,5.8,,,,,,,,,,,,,,,,,,,,,Matches
191,Yuki Kobayashi,jp JPN,"MF,FW",Consa Sapporo,30,1992,8.8,,,,,,,,,,,,,,,,,,,,,Matches
192,Hidemasa Kōda,jp JPN,MF,Grampus,19,2003,0.2,,,,,,,,,,,,,,,,,,,,,Matches
193,Taiyo Koga,jp JPN,DF,Kashiwa Reysol,24,1998,33.0,,,,,,,,,,,,,,,,,,,,,Matches
194,Yuta Koike,jp JPN,DF,Marinos,26,1996,3.0,,,,,,,,,,,,,,,,,,,,,Matches
195,Kei Koizumi,jp JPN,"MF,DF",FC Tokyo,27,1995,30.2,,,,,,,,,,,,,,,,,,,,,Matches
196,Yoshio Koizumi,jp JPN,MF,Urawa Reds,26,1996,17.1,,,,,,,,,,,,,,,,,,,,,Matches
197,Ryosuke Kojima,jp JPN,GK,Albirex Niigata,26,1997,30.0,,,,,,,,,,,,,,,,,,,,,Matches
198,Yoshiaki Komai,jp JPN,"MF,FW",Consa Sapporo,30,1992,23.9,,,,,,,,,,,,,,,,,,,,,Matches
199,Yota Komi,jp JPN,MF,Albirex Niigata,20,2002,16.0,,,,,,,,,,,,,,,,,,,,,Matches
200,Tomoki Kondo,jp JPN,MF,Yokohama FC,21,2001,14.6,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
201,Kazuya Konno,jp JPN,MF,Avispa Fukuoka,25,1997,23.0,,,,,,,,,,,,,,,,,,,,,Matches
202,Shinzo Koroki,jp JPN,FW,Urawa Reds,36,1986,15.9,,,,,,,,,,,,,,,,,,,,,Matches
