rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
102,Mao Hosoya,jp JPN,FW,Kashiwa Reysol,18,2001,0.3,,0,,,,,,,,,,1,,,,Matches
103,Shingo Hyodo,jp JPN,MF,Vegalta Sendai,34,1985,3.6,,4,,,,,,,,,,3,,,,Matches
104,Akira Ibayashi,jp JPN,DF,Sanfrecce,29,1990,6.5,,0,,,,,,,,,,7,,,,Matches
105,Hiroshi Ibusuki,jp JPN,FW,Shonan Bellmare,28,1991,7.1,,2,,,,,,,,,,1,,,,Matches
106,Kazunari Ichimi,jp JPN,FW,Yokohama FC,22,1997,19.5,,12,,,,,,,,,,7,,,,Matches
107,Yosuke Ideguchi,jp JPN,MF,Gamba Osaka,23,1996,25.3,,39,,,,,,,,,,54,,,,Matches
108,Akihiro Ienaga,jp JPN,"FW,MF",Kawa Frontale,33,1986,23.4,,11,,,,,,,,,,13,,,,Matches
109,Hiroki Iikura,jp JPN,GK,Vissel Kobe,33,1986,18.0,,0,,,,,,,,,,0,,,,Matches
110,Ryutaro Iio,jp JPN,"DF,MF",Vegalta Sendai,29,1991,10.6,,15,,,,,,,,,,23,,,,Matches
111,Sho Inagaki,jp JPN,MF,Grampus,28,1991,33.7,,40,,,,,,,,,,74,,,,Matches
112,Andrés Iniesta,es ESP,MF,Vissel Kobe,35,1984,22.2,,16,,,,,,,,,,18,,,,Matches
113,Masahiko Inoha,jp JPN,DF,Yokohama FC,34,1985,16.3,,4,,,,,,,,,,23,,,,Matches
114,Kenta Inoue,jp JPN,"MF,FW",Oita Trinita,21,1998,2.3,,0,,,,,,,,,,2,,,,Matches
115,Tomoya Inukai,jp JPN,DF,Kashima Antlers,26,1993,31.0,,34,,,,,,,,,,60,,,,Matches
116,Park Iru-gyu,jp JPN,GK,Marinos,30,1989,12.0,,0,,,,,,,,,,1,,,,Matches
