rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
85,Visar Bekaj,xk KVX,GK,Hatayspor,27,1997,15.0,,,,,,,,,,,,0,,,,,,Matches
86,Efkan Bekiroğlu,,"MF,FW",Sivasspor,28,1995,11.8,,,,,,,,,,,,3,,,,,,Matches
87,Mortadha Ben Ouanes,tn TUN,"MF,DF",Kasımpaşa,30,1994,28.1,,,,,,,,,,,,4,,,,,,Matches
88,Jan Biegański,pl POL,MF,Sivasspor,21,2002,4.0,,,,,,,,,,,,0,,,,,,Matches
89,Ege Bilsel,,"DF,MF",BB Bodrumspor,20,2004,13.2,,,,,,,,,,,,1,,,,,,Matches
90,Tayfur Bingöl,tr TUR,"MF,DF",Eyüpspor,31,1993,20.1,,,,,,,,,,,,1,,,,,,Matches
91,Muhammed Birkan Tetik,,GK,Eyüpspor,28,1995,2.5,,,,,,,,,,,,0,,,,,,Matches
92,Godfrey Bitok,ng NGA,DF,Gaziantep FK,23,2000,1.3,,,,,,,,,,,,0,,,,,,Matches
93,Morten Bjørlo,no NOR,MF,Konyaspor,28,1995,3.3,,,,,,,,,,,,1,,,,,,Matches
94,Aylton Boa Morte,pt POR,MF,Kayserispor,30,1993,13.2,,,,,,,,,,,,2,,,,,,Matches
95,Emmanuel Boateng,gh GHA,MF,Konyaspor,27,1997,3.9,,,,,,,,,,,,0,,,,,,Matches
96,Emmanuel Boateng,gh GHA,"FW,MF",Gaziantep FK,28,1996,9.8,,,,,,,,,,,,1,,,,,,Matches
97,Malcom Bokélé,cm CMR,DF,Göztepe,24,2000,27.7,,,,,,,,,,,,0,,,,,,Matches
98,Marc Bola,eng ENG,DF,Samsunspor,26,1997,30.5,,,,,,,,,,,,4,,,,,,Matches
99,Sinan Bolat,tr TUR,GK,Kasımpaşa,35,1988,2.0,,,,,,,,,,,,0,,,,,,Matches
100,Nikola Boranijašević,rs SRB,DF,Konyaspor,32,1992,15.7,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
101,Arif Boşluk,,DF,Trabzonspor,21,2003,7.2,,,,,,,,,,,,1,,,,,,Matches
102,Melih Bostan,,FW,Konyaspor,20,2004,1.4,,,,,,,,,,,,0,,,,,,Matches
103,Mehdi Bourabia,ma MAR,MF,Kayserispor,32,1991,22.7,,,,,,,,,,,,4,,,,,,Matches
104,Bilal Boutobba,fr FRA,"MF,FW",Hatayspor,25,1998,19.8,,,,,,,,,,,,2,,,,,,Matches
105,Umut Bozok,tr TUR,FW,Trabzonspor,27,1996,0.5,,,,,,,,,,,,0,,,,,,Matches
106,Umut Bozok,tr TUR,"MF,FW",Eyüpspor,27,1996,7.3,,,,,,,,,,,,1,,,,,,Matches
107,Pedro Brazão,pt POR,"MF,FW",BB Bodrumspor,21,2002,10.4,,,,,,,,,,,,0,,,,,,Matches
108,Josip Brekalo,hr CRO,MF,Kasımpaşa,26,1998,14.6,,,,,,,,,,,,2,,,,,,Matches
109,Ivan Brnić,hr CRO,"MF,FW",Başakşehir,22,2001,5.9,,,,,,,,,,,,0,,,,,,Matches
110,Gianni Bruno,be BEL,"MF,FW",Eyüpspor,32,1991,4.1,,,,,,,,,,,,1,,,,,,Matches
111,Muhamed Buljubasic,ba BIH,MF,Rizespor,20,2004,4.2,,,,,,,,,,,,0,,,,,,Matches
112,Buluthan Bulut,,MF,Alanyaspor,22,2002,1.1,,,,,,,,,,,,0,,,,,,Matches
113,Emrecan Bulut,,MF,Rizespor,22,2002,5.6,,,,,,,,,,,,1,,,,,,Matches
114,Onur Bulut,tr TUR,DF,Beşiktaş,30,1994,4.5,,,,,,,,,,,,1,,,,,,Matches
115,Abdulsamet Burak,,DF,Adana Demirspor,28,1996,29.7,,,,,,,,,,,,1,,,,,,Matches
116,Mustafa Burak Bozan,,GK,Gaziantep FK,23,2000,16.6,,,,,,,,,,,,1,,,,,,Matches
117,Yiğit Buz,,DF,Hatayspor,17,2007,2.3,,,,,,,,,,,,0,,,,,,Matches
118,Cafú,pt POR,MF,Kasımpaşa,31,1993,15.5,,,,,,,,,,,,0,,,,,,Matches
119,Uğurcan Çakır,tr TUR,GK,Trabzonspor,28,1996,32.0,,,,,,,,,,,,0,,,,,,Matches
120,Erdem Çalık,,MF,Eyüpspor,18,2006,0.1,,,,,,,,,,,,0,,,,,,Matches
121,Josip Čalušić,hr CRO,DF,Konyaspor,30,1993,4.0,,,,,,,,,,,,0,,,,,,Matches
122,Francisco Calvo,cr CRC,DF,Hatayspor,32,1992,23.9,,,,,,,,,,,,1,,,,,,Matches
123,Samba Camara,ml MLI,DF,Sivasspor,31,1992,14.6,,,,,,,,,,,,0,,,,,,Matches
124,İrfan Can Eğribayat,tr TUR,GK,Fenerbahçe,26,1998,13.0,,,,,,,,,,,,0,,,,,,Matches
125,Cihan Çanak,tr TUR,MF,Trabzonspor,19,2005,9.2,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
126,Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",Kayserispor,30,1994,31.7,,,,,,,,,,,,7,,,,,,Matches
127,Diego Carlos,br BRA,DF,Fenerbahçe,31,1993,2.0,,,,,,,,,,,,0,,,,,,Matches
128,Lionel Carole,fr FRA,DF,Kayserispor,33,1991,27.5,,,,,,,,,,,,0,,,,,,Matches
129,Bera Çeken,tr TUR,MF,Alanyaspor,18,2005,0.0,,,,,,,,,,,,0,,,,,,Matches
130,İzzet Çelik,tr TUR,MF,Adana Demirspor,20,2004,19.9,,,,,,,,,,,,0,,,,,,Matches
131,Ondřej Čelůstka,cz CZE,DF,BB Bodrumspor,35,1989,20.7,,,,,,,,,,,,0,,,,,,Matches
132,Bedirhan Çetin,tr TUR,DF,Samsunspor,18,2006,1.1,,,,,,,,,,,,0,,,,,,Matches
133,Tarık Çetin,tr TUR,GK,Rizespor,27,1997,10.0,,,,,,,,,,,,0,,,,,,Matches
134,Erdem Çetinkaya,tr TUR,FW,Kasımpaşa,23,2001,0.4,,,,,,,,,,,,0,,,,,,Matches
135,Muhammed Cham,at AUT,MF,Trabzonspor,23,2000,17.2,,,,,,,,,,,,10,,,,,,Matches
136,Charis Charisis,gr GRE,MF,Sivasspor,29,1995,31.4,,,,,,,,,,,,1,,,,,,Matches
137,Anastasios Chatzigiovannis,gr GRE,"FW,MF",Eyüpspor,27,1997,1.0,,,,,,,,,,,,0,,,,,,Matches
138,Uğur Çiftçi,tr TUR,DF,Sivasspor,32,1992,29.5,,,,,,,,,,,,4,,,,,,Matches
139,Sadık Çiftpınar,tr TUR,DF,Kasımpaşa,31,1993,8.4,,,,,,,,,,,,0,,,,,,Matches
140,Tolga Ciğerci,tr TUR,"MF,DF",Sivasspor,32,1992,9.8,,,,,,,,,,,,1,,,,,,Matches
141,Kayra Cihan,,DF,Kayserispor,16,2007,1.0,,,,,,,,,,,,0,,,,,,Matches
142,Mirza Cihan,,MF,Gaziantep FK,23,2000,1.1,,,,,,,,,,,,0,,,,,,Matches
143,Sokol Cikalleshi,al ALB,"FW,MF",Konyaspor,34,1990,0.1,,,,,,,,,,,,0,,,,,,Matches
144,Ramazan Civelek,tr TUR,"MF,DF",Kayserispor,28,1996,15.1,,,,,,,,,,,,3,,,,,,Matches
145,Luccas Claro,br BRA,DF,Eyüpspor,32,1991,33.0,,,,,,,,,,,,0,,,,,,Matches
146,Burak Coban,de GER,MF,BB Bodrumspor,29,1994,0.7,,,,,,,,,,,,0,,,,,,Matches
147,Omar Colley,gm GAM,DF,Beşiktaş,31,1992,2.0,,,,,,,,,,,,0,,,,,,Matches
148,Sergio Córdova,ve VEN,"FW,MF",Alanyaspor,26,1997,30.3,,,,,,,,,,,,3,,,,,,Matches
149,Kamil Çörekçi,tr TUR,DF,Hatayspor,32,1992,19.1,,,,,,,,,,,,2,,,,,,Matches
150,Nuno da Costa,cv CPV,FW,Kasımpaşa,33,1991,27.7,,,,,,,,,,,,2,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
151,Crespo,pt POR,MF,Başakşehir,27,1996,23.9,,,,,,,,,,,,4,,,,,,Matches
152,Carlos Cuesta,co COL,DF,Galatasaray,25,1999,3.6,,,,,,,,,,,,0,,,,,,Matches
153,Emir Dadük,tr TUR,GK,Hatayspor,16,2008,1.0,,,,,,,,,,,,0,,,,,,Matches
154,Filip Damjanovic,rs SRB,DF,Konyaspor,26,1998,1.8,,,,,,,,,,,,0,,,,,,Matches
155,David Datro Fofana,ci CIV,FW,Göztepe,21,2002,3.2,,,,,,,,,,,,0,,,,,,Matches
156,Quentin Daubin,fr FRA,MF,Gaziantep FK,29,1995,8.8,,,,,,,,,,,,0,,,,,,Matches
157,Erkan Değişmez,tr TUR,MF,BB Bodrumspor,37,1986,2.5,,,,,,,,,,,,0,,,,,,Matches
158,Cengiz Demir,,DF,Hatayspor,23,2001,9.7,,,,,,,,,,,,1,,,,,,Matches
159,Yusuf Demir,at AUT,MF,Galatasaray,21,2003,1.7,,,,,,,,,,,,0,,,,,,Matches
160,Adil Demirbağ,tr TUR,DF,Konyaspor,26,1997,33.0,,,,,,,,,,,,3,,,,,,Matches
161,Ozan Demirbag,tr TUR,"FW,MF",Adana Demirspor,16,2008,9.9,,,,,,,,,,,,0,,,,,,Matches
162,Kerem Demirbay,de GER,MF,Galatasaray,31,1993,6.0,,,,,,,,,,,,1,,,,,,Matches
163,Ali Demirbilek,,FW,Antalyaspor,15,2009,0.1,,,,,,,,,,,,0,,,,,,Matches
164,Yusuf Demirkiran,,DF,Adana Demirspor,18,2006,1.9,,,,,,,,,,,,0,,,,,,Matches
165,Anthony Dennis,ng NGA,MF,Göztepe,20,2004,29.5,,,,,,,,,,,,2,,,,,,Matches
166,Stefano Denswil,sr SUR,DF,Trabzonspor,31,1993,8.4,,,,,,,,,,,,0,,,,,,Matches
167,Halil Dervişoğlu,tr TUR,"FW,MF",Gaziantep FK,24,1999,17.7,,,,,,,,,,,,3,,,,,,Matches
168,Enis Destan,tr TUR,"FW,MF",Trabzonspor,22,2002,5.7,,,,,,,,,,,,1,,,,,,Matches
169,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,23,2001,2.0,,,,,,,,,,,,0,,,,,,Matches
170,Lamine Diack,sn SEN,MF,Hatayspor,23,2000,18.2,,,,,,,,,,,,1,,,,,,Matches
171,Soner Dikmen,tr TUR,MF,Antalyaspor,30,1993,18.2,,,,,,,,,,,,0,,,,,,Matches
172,Deniz Dilmen,,GK,Başakşehir,19,2005,2.0,,,,,,,,,,,,0,,,,,,Matches
173,Landry Dimata,be BEL,"MF,FW",Samsunspor,26,1997,17.7,,,,,,,,,,,,3,,,,,,Matches
174,Zdravko Dimitrov,bg BUL,MF,BB Bodrumspor,25,1998,16.6,,,,,,,,,,,,2,,,,,,Matches
175,Sokratis Dioudis,gr GRE,GK,Gaziantep FK,31,1993,18.4,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
176,Novatus Dismas,tz TAN,"MF,DF",Göztepe,21,2002,17.0,,,,,,,,,,,,1,,,,,,Matches
177,Silva Djalma Antonio,br BRA,"MF,DF",Göztepe,29,1994,20.5,,,,,,,,,,,,2,,,,,,Matches
178,Matchoi Djaló,pt POR,MF,Başakşehir,21,2003,1.6,,,,,,,,,,,,0,,,,,,Matches
179,Moussa Djenepo,ml MLI,"MF,FW",Antalyaspor,26,1998,11.8,,,,,,,,,,,,0,,,,,,Matches
180,Alexander Djiku,gh GHA,DF,Fenerbahçe,29,1994,18.0,,,,,,,,,,,,0,,,,,,Matches
181,Deniz Donmezer,,GK,Adana Demirspor,15,2008,17.1,,,,,,,,,,,,0,,,,,,Matches
182,Denis Drăguș,ro ROU,"MF,FW",Trabzonspor,25,1999,10.1,,,,,,,,,,,,1,,,,,,Matches
183,Rick van Drongelen,nl NED,DF,Samsunspor,25,1998,32.7,,,,,,,,,,,,0,,,,,,Matches
184,Léo Duarte,br BRA,DF,Başakşehir,28,1996,27.4,,,,,,,,,,,,0,,,,,,Matches
185,Leo Dubois,fr FRA,DF,Eyüpspor,29,1994,8.4,,,,,,,,,,,,0,,,,,,Matches
186,Leo Dubois,fr FRA,DF,Galatasaray,29,1994,1.8,,,,,,,,,,,,0,,,,,,Matches
187,Celal Dumanlı,tr TUR,FW,BB Bodrumspor,30,1994,3.3,,,,,,,,,,,,0,,,,,,Matches
188,Tibet Durakçay,,FW,Göztepe,18,2006,0.0,,,,,,,,,,,,0,,,,,,Matches
189,Abdurrahim Dursun,tr TUR,DF,Antalyaspor,25,1998,5.6,,,,,,,,,,,,0,,,,,,Matches
190,Serdar Dursun,tr TUR,FW,Alanyaspor,32,1991,3.7,,,,,,,,,,,,0,,,,,,Matches
191,Samet Duyur,,FW,Adana Demirspor,14,2009,0.1,,,,,,,,,,,,0,,,,,,Matches
192,Edin Džeko,ba BIH,FW,Fenerbahçe,38,1986,24.9,,,,,,,,,,,,4,,,,,,Matches
193,Festy Ebosele,ie IRL,DF,Başakşehir,21,2002,1.3,,,,,,,,,,,,0,,,,,,Matches
194,Eren Elmalı,tr TUR,DF,Trabzonspor,24,2000,16.8,,,,,,,,,,,,1,,,,,,Matches
195,Eren Elmalı,tr TUR,DF,Galatasaray,24,2000,9.6,,,,,,,,,,,,0,,,,,,Matches
196,Bartuğ Elmaz,tr TUR,MF,Fenerbahçe,21,2003,0.2,,,,,,,,,,,,0,,,,,,Matches
197,Emersonn,br BRA,FW,Göztepe,20,2004,5.1,,,,,,,,,,,,0,,,,,,Matches
198,Yunus Emre Çift,tr TUR,"DF,MF",Samsunspor,20,2003,10.4,,,,,,,,,,,,0,,,,,,Matches
199,Taha Emre İnce,,DF,Trabzonspor,17,2007,0.1,,,,,,,,,,,,0,,,,,,Matches
200,Ali Emre Yanar,,GK,Kasımpaşa,26,1998,1.0,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
201,Youssef En-Nesyri,ma MAR,FW,Fenerbahçe,27,1997,22.2,,,,,,,,,,,,4,,,,,,Matches
202,Mehmet Eray Özbek,,MF,Kayserispor,21,2003,3.5,,,,,,,,,,,,0,,,,,,Matches
203,Ziya Erdal,tr TUR,"DF,MF",Sivasspor,36,1988,4.6,,,,,,,,,,,,0,,,,,,Matches
204,Doğan Erdoğan,tr TUR,MF,Göztepe,27,1996,7.3,,,,,,,,,,,,0,,,,,,Matches
205,Yusuf Erdoğan,tr TUR,"MF,FW",Konyaspor,31,1992,25.7,,,,,,,,,,,,7,,,,,,Matches
206,Adam Eren Kabak,,DF,Konyaspor,23,2000,0.0,,,,,,,,,,,,0,,,,,,Matches
207,Onur Ergün,tr TUR,"MF,DF",Başakşehir,31,1992,10.7,,,,,,,,,,,,0,,,,,,Matches
208,Üzeyir Ergün,,DF,BB Bodrumspor,31,1992,17.9,,,,,,,,,,,,1,,,,,,Matches
209,Caner Erkin,tr TUR,DF,Eyüpspor,35,1988,16.4,,,,,,,,,,,,5,,,,,,Matches
210,Burhan Ersoy,,DF,Adana Demirspor,21,2003,10.7,,,,,,,,,,,,0,,,,,,Matches
211,Ertuğrul Ersoy,tr TUR,DF,Gaziantep FK,27,1997,10.0,,,,,,,,,,,,0,,,,,,Matches
212,Deniz Ertaş,tr TUR,GK,Konyaspor,19,2005,12.0,,,,,,,,,,,,0,,,,,,Matches
213,Osman Ertuğrul Çetin,tr TUR,GK,Fenerbahçe,21,2003,1.6,,,,,,,,,,,,0,,,,,,Matches
214,Murat Eser,,GK,Adana Demirspor,19,2005,4.7,,,,,,,,,,,,0,,,,,,Matches
215,Mustafa Eskihellaç,tr TUR,"DF,MF",Gaziantep FK,27,1997,14.0,,,,,,,,,,,,1,,,,,,Matches
216,Mustafa Eskihellaç,tr TUR,"DF,MF",Trabzonspor,27,1997,13.2,,,,,,,,,,,,2,,,,,,Matches
217,Jhon Espinoza,ec ECU,"DF,MF",Kasımpaşa,25,1999,11.2,,,,,,,,,,,,0,,,,,,Matches
