rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
30,Kerim Alıcı,tr TUR,DF,Hatayspor,27,1997,19,11,966,10.7,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches
31,Nabil Alioui,fr FRA,"MF,FW",Adana Demirspor,25,1999,28,17,1608,17.9,5,3,8,4,1,1,0,0,0.28,0.17,0.45,0.22,0.39,Matches
32,Xusniddin Aliqulov,uz UZB,"DF,MF",Rizespor,25,1999,33,30,2636,29.3,3,1,4,3,0,0,6,0,0.10,0.03,0.14,0.10,0.14,Matches
33,Fidan Aliti,xk KVX,DF,Alanyaspor,30,1993,34,34,3044,33.8,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches
34,Sinan Alkaş,,FW,Kasımpaşa,17,2006,4,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Barış Alper Yılmaz,tr TUR,MF,Galatasaray,24,2000,32,29,2599,28.9,12,3,15,12,0,0,9,0,0.42,0.10,0.52,0.42,0.52,Matches
36,Taha Altıkardeş,tr TUR,DF,Göztepe,20,2003,23,15,1387,15.4,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches
37,Sofyan Amrabat,ma MAR,MF,Fenerbahçe,27,1996,26,18,1793,19.9,2,3,5,2,0,0,9,0,0.10,0.15,0.25,0.10,0.25,Matches
38,Seyfettin Anıl Yaşar,tr TUR,DF,Rizespor,22,2002,9,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Taylan Antalyalı,tr TUR,MF,BB Bodrumspor,29,1995,24,21,1853,20.6,1,1,2,1,0,1,2,0,0.05,0.05,0.10,0.05,0.10,Matches
40,Ali Arda Yildiz,,DF,Adana Demirspor,17,2007,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Keny Arroyo,ec ECU,MF,Beşiktaş,18,2006,11,1,237,2.6,1,0,1,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches
42,Burak Arslan,,FW,Kayserispor,19,2005,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Ömürcan Artan,,DF,Gaziantep FK,25,1999,10,6,610,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Serkan Asan,tr TUR,DF,Trabzonspor,25,1999,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Ahmet Aslan,,MF,BB Bodrumspor,23,2001,22,14,1190,13.2,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
46,Loide Augusto,ao ANG,"MF,FW",Alanyaspor,24,2000,18,17,1481,16.5,2,4,6,2,0,0,6,1,0.12,0.24,0.36,0.12,0.36,Matches
47,Fahri Ay,tr TUR,MF,Beşiktaş,19,2005,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Ersin Aydemir,,FW,Hatayspor,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Eyüp Aydın,tr TUR,MF,Galatasaray,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Oğuz Aydın,tr TUR,MF,Fenerbahçe,23,2000,25,18,1579,17.5,7,3,10,7,0,0,1,0,0.40,0.17,0.57,0.40,0.57,Matches
