rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
43,Mitchell van Bergen,nl NED,FW,Sparta R'dam,24,1999,12.5,194,295,65.8,3330,850,99,117,74,113,20,48,2,1.9,2.9,+0.1,22,9,26,20,16,Matches
44,Mitchell van Bergen,nl NED,FW,Twente,24,1999,8.9,163,252,64.7,2553,567,90,112,56,88,11,30,0,0.9,1.6,-0.9,10,5,16,11,18,Matches
45,Thom van Bergen,nl NED,FW,Groningen,20,2004,27.4,441,610,72.3,5859,906,266,333,132,167,14,22,1,2.5,1.9,-1.5,28,29,11,1,37,Matches
46,Steven Berghuis,nl NED,"FW,MF",Ajax,32,1991,15.9,623,851,73.2,11005,3708,298,347,219,283,82,166,5,5.6,7.0,-0.6,36,68,44,10,97,Matches
47,Steven Bergwijn,nl NED,FW,Ajax,26,1997,0.2,13,16,81.3,233,78,5,6,8,10,0,0,0,0.0,0.1,0.0,1,0,1,0,2,Matches
48,Gijs Besselink,nl NED,MF,Twente,20,2004,3.6,100,126,79.4,1648,524,55,61,32,47,10,14,0,0.1,0.1,-0.1,1,15,3,0,12,Matches
49,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32.0,873,1137,76.8,25104,17327,113,114,461,471,299,552,0,0.0,0.0,0.0,0,11,0,0,1,Matches
50,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4.0,199,226,88.1,4428,2589,37,37,135,139,27,50,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Adrian Blake,eng ENG,"FW,MF",Utrecht,19,2005,5.2,115,159,72.3,1888,628,59,73,43,58,10,17,2,2.0,1.7,0.0,12,7,11,2,17,Matches
52,Thijmen Blokzijl,nl NED,DF,Groningen,19,2005,24.7,1181,1313,89.9,21973,7305,405,449,678,727,87,113,0,0.0,0.3,0.0,1,57,1,0,78,Matches
53,Ofosu Boakye,,FW,Go Ahead Eag,,,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Paweł Bochniewicz,pl POL,DF,Heerenveen,28,1996,12.3,834,961,86.8,14421,5938,358,390,394,433,59,99,0,0.2,0.5,-0.2,5,67,4,0,62,Matches
55,Jeremy Bokila,cd COD,FW,Willem II,35,1988,15.3,153,272,56.3,2286,663,80,133,61,92,3,9,1,0.7,0.9,+0.3,8,20,5,2,26,Matches
56,Ruben van Bommel,nl NED,FW,AZ Alkmaar,19,2004,16.6,438,605,72.4,6985,2272,237,296,152,205,33,55,5,3.3,2.8,+1.7,28,40,26,0,82,Matches
57,Taylor Booth,us USA,"FW,MF",Utrecht,23,2001,2.9,26,59,44.1,326,135,20,26,5,17,1,4,0,0.1,0.0,-0.1,2,4,1,0,4,Matches
58,Taylor Booth,us USA,FW,Twente,23,2001,3.0,50,89,56.2,748,146,30,42,14,18,4,17,1,0.6,0.1,+0.4,5,4,2,0,8,Matches
59,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,26,1997,28.5,2469,2824,87.4,51926,21146,724,793,1359,1451,377,528,6,4.0,5.3,+2.0,30,410,46,3,363,Matches
60,Jesse Bosch,nl NED,MF,Willem II,24,2000,30.1,659,872,75.6,10407,2813,340,413,261,321,35,74,0,1.9,2.5,-1.9,22,62,15,4,81,Matches
61,Sven Bouland,nl NED,DF,Groningen,,,0.5,40,46,87.0,791,320,10,14,27,29,3,3,0,0.1,0.0,-0.1,2,2,1,1,5,Matches
62,Rayane Bounida,be BEL,FW,Ajax,18,2006,0.2,9,10,90.0,92,29,7,8,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
63,Can Bozdogan,de GER,MF,Utrecht,23,2001,4.5,127,163,77.9,1987,560,58,67,59,71,7,13,1,0.1,0.1,+0.9,2,12,0,0,17,Matches
64,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28.0,453,823,55.0,14473,12161,96,96,152,156,195,558,0,0.0,0.1,0.0,0,23,3,0,0,Matches
65,Oliver Braude,no NOR,DF,Heerenveen,20,2004,29.0,1389,1790,77.6,25480,8909,642,715,567,692,162,295,2,0.8,1.4,+1.2,16,145,24,6,167,Matches
66,Myron van Brederode,nl NED,FW,AZ Alkmaar,21,2003,1.9,55,65,84.6,726,193,36,38,16,18,0,2,0,0.1,0.1,-0.1,2,6,2,0,12,Matches
67,Michael Bresser,nl NED,DF,PSV Eindhoven,17,2007,0.0,2,2,100.0,36,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
68,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,20,2003,22.9,722,993,72.7,12711,4513,342,402,271,357,85,169,5,4.0,5.6,+1.0,44,81,38,4,125,Matches
69,Brian Brobbey,nl NED,FW,Ajax,22,2002,17.3,252,349,72.2,2805,403,183,220,47,69,2,2,3,1.5,2.1,+1.5,21,7,7,0,19,Matches
70,Michael Brouwer,nl NED,GK,Utrecht,31,1993,3.0,61,107,57.0,1947,1490,9,9,25,26,27,71,0,0.0,0.0,0.0,0,0,0,0,0,Matches
71,Luuk Brouwers,nl NED,MF,Heerenveen,26,1998,21.2,746,895,83.4,12249,3250,357,408,310,353,54,72,2,1.2,1.2,+0.8,19,83,8,0,87,Matches
72,Jordy Bruijn,nl NED,MF,Heracles Almelo,28,1996,3.4,62,96,64.6,1119,353,27,30,27,42,8,18,0,0.2,0.3,-0.2,3,8,3,0,12,Matches
73,Max Bruns,nl NED,DF,Twente,21,2002,18.2,1083,1200,90.3,20201,6968,368,400,621,652,82,124,1,0.6,0.5,+0.4,4,50,0,0,81,Matches
74,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,32,1992,12.8,323,506,63.8,6526,1923,132,172,114,163,69,131,2,2.6,3.3,-0.6,33,24,16,5,40,Matches
75,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,25,1998,3.4,44,65,67.7,577,41,27,39,14,16,1,2,1,1.1,0.4,-0.1,5,2,1,0,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Charles-Andréas Brym,ca CAN,FW,Almere City,25,1998,14.3,223,307,72.6,3080,630,133,165,70,86,8,17,2,1.5,2.0,+0.5,14,12,8,3,27,Matches
77,Hugo Bueno,es ESP,DF,Feyenoord,21,2002,13.3,600,700,85.7,9834,1908,284,313,279,309,27,40,3,2.5,2.3,+0.5,18,42,12,8,48,Matches
78,Thomas Buitink,nl NED,"FW,MF",Zwolle,24,2000,2.7,31,46,67.4,406,115,15,17,11,14,1,4,0,0.2,0.0,-0.2,2,3,0,0,5,Matches
79,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,23,2000,22.9,336,471,71.3,5060,1128,174,222,123,166,24,37,1,1.7,1.4,-0.7,12,28,4,0,46,Matches
80,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,1,1,100.0,9,0,1,1,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
81,Maxime Busi,be BEL,DF,NAC Breda,24,1999,9.6,336,439,76.5,5855,2220,160,180,127,160,40,74,0,0.8,1.1,-0.8,14,28,19,11,41,Matches
82,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22,2002,13.3,494,611,80.9,7774,2209,236,272,203,240,29,50,1,1.1,2.0,-0.1,19,47,19,2,61,Matches
83,Àlex Carbonell,es ESP,MF,Almere City,26,1997,2.6,181,221,81.9,3055,1089,87,95,71,83,16,31,0,0.6,0.8,-0.6,9,23,11,1,34,Matches
84,Juan Carlos Familia,do DOM,"DF,FW",RKC Waalwijk,24,2000,17.1,606,810,74.8,11453,4671,248,275,262,331,84,158,3,2.4,2.5,+0.6,27,53,35,26,65,Matches
85,Julián Carranza,ar ARG,FW,Feyenoord,24,2000,9.1,136,190,71.6,1941,366,76,101,43,56,6,10,1,0.8,0.7,+0.2,8,9,3,0,17,Matches
86,Stephano Carrillo,mx MEX,FW,Feyenoord,18,2006,0.6,6,11,54.5,85,2,4,7,2,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
87,Yoann Cathline,fr FRA,FW,Utrecht,22,2002,21.6,363,538,67.5,5399,1602,212,254,126,186,17,47,5,3.0,3.8,+2.0,28,27,34,7,68,Matches
88,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21,2003,1.3,30,42,71.4,379,100,20,25,7,9,1,3,0,0.1,0.2,-0.1,2,0,2,0,3,Matches
89,Jordy Clasie,nl NED,MF,AZ Alkmaar,33,1991,20.2,1113,1280,87.0,18800,6262,530,571,461,508,92,149,2,2.3,2.1,-0.3,21,151,28,0,161,Matches
90,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28,1996,18.6,689,887,77.7,11266,3577,346,400,259,311,59,118,4,2.8,3.2,+1.2,29,78,23,2,105,Matches
91,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,22,2001,12.2,167,242,69.0,2457,715,99,113,55,80,7,23,2,3.1,2.9,-1.1,20,10,14,10,21,Matches
92,Amara Conde,de GER,MF,Heerenveen,27,1997,8.2,310,371,83.6,5010,1127,155,175,125,144,22,29,1,0.3,0.6,+0.7,7,34,5,0,31,Matches
93,Vito van Crooij,nl NED,"MF,FW",NEC Nijmegen,28,1996,21.0,402,584,68.8,7251,1724,172,212,168,233,51,100,6,2.3,2.8,+3.7,25,34,9,3,48,Matches
94,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,27,1997,13.2,151,201,75.1,2010,183,86,105,51,67,4,10,1,0.9,0.9,+0.1,4,4,1,0,6,Matches
95,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,20,2004,0.8,27,31,87.1,475,90,12,12,13,17,2,2,0,0.0,0.0,0.0,0,1,0,0,2,Matches
96,Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,22,2001,19.6,586,864,67.8,9607,3351,304,358,222,319,47,124,2,2.0,1.6,0.0,18,36,18,16,39,Matches
97,Matteo Dams,be BEL,DF,PSV Eindhoven,20,2004,10.2,629,735,85.6,10403,2548,277,303,310,350,31,54,0,1.2,1.2,-1.2,8,44,8,4,46,Matches
98,Damil Dankerlui,sr SUR,"DF,FW",Almere City,27,1996,1.9,64,110,58.2,1257,692,26,31,29,52,7,20,0,0.1,0.1,-0.1,1,10,4,1,11,Matches
99,Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,20,2003,0.5,13,17,76.5,211,86,6,6,7,11,0,0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
100,Brynjolfur Darri Willumsson,is ISL,FW,Groningen,23,2000,10.7,161,247,65.2,1946,440,107,142,36,62,4,7,1,1.9,1.0,-0.9,16,12,7,0,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16.0,554,749,74.0,14001,9474,102,105,311,316,136,321,0,0.0,0.1,0.0,0,11,0,0,0,Matches
102,Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24,2000,30.2,1037,1245,83.3,20603,5655,379,433,491,537,149,226,3,3.4,3.2,-0.4,27,147,20,5,168,Matches
103,Mats Deijl,nl NED,DF,Go Ahead Eag,27,1997,34.0,1209,1587,76.2,22513,7613,488,559,564,693,130,258,1,2.3,2.0,-1.3,18,116,17,3,112,Matches
104,Maxim Dekker,nl NED,DF,AZ Alkmaar,20,2004,6.5,396,433,91.5,7700,2279,128,134,229,238,36,53,0,0.1,0.3,-0.1,3,48,3,2,35,Matches
105,Logan Delaurier-Chaubet,fr FRA,FW,Almere City,22,2002,6.2,98,142,69.0,1396,393,56,70,31,44,7,16,0,1.0,1.2,-1.0,9,6,7,4,13,Matches
106,Branco van den Boomen,nl NED,MF,Ajax,29,1995,7.0,436,521,83.7,8220,2368,172,190,207,239,53,83,0,1.5,2.3,-1.5,13,62,23,5,68,Matches
107,Damian van der Haar,nl NED,DF,Zwolle,20,2004,20.4,739,989,74.7,12358,4878,359,432,310,394,53,117,2,3.0,2.5,-1.0,14,47,18,10,52,Matches
108,Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,18.8,650,855,76.0,15349,10906,162,166,343,354,144,331,0,0.0,0.1,0.0,0,13,2,0,1,Matches
109,Mike van der Hoorn,nl NED,DF,Utrecht,31,1992,28.4,1332,1635,81.5,28621,11252,394,436,704,778,222,385,2,1.5,1.4,+0.5,12,150,5,1,126,Matches
110,Djevencio van der Kust,sr SUR,DF,Sparta R'dam,23,2001,10.3,401,513,78.2,6679,1724,209,236,152,203,34,52,0,0.3,0.4,-0.3,4,20,4,2,27,Matches
111,Richard van der Venne,nl NED,"MF,FW",RKC Waalwijk,32,1992,8.2,175,256,68.4,2818,768,90,107,66,93,13,35,1,1.8,1.7,-0.8,9,17,10,1,31,Matches
