rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
26,Koki Anzai,jp JPN,"DF,MF",Portimonense,24,1995,20.4,709,963,73.6,12464,5017,311,362,322,402,64,146,1,1.7,1.3,-0.7,20,66,20,15,90,Matches
27,Bilel Aouacheria,fr FRA,"MF,FW",Moreirense,25,1994,20.8,366,556,65.8,5812,1873,198,234,127,196,30,67,3,4.6,3.4,-1.6,30,26,25,11,67,Matches
28,Jaílson Araújo,br BRA,DF,Aves,28,1991,12.4,351,536,65.5,6204,3352,162,192,136,196,42,119,0,0.9,0.8,-0.9,8,28,3,2,34,Matches
29,Telmo Arcanjo,cv CPV,"FW,MF",Tondela,18,2001,0.7,21,32,65.6,365,66,7,10,11,11,2,7,0,0.0,0.0,0.0,0,2,0,0,3,Matches
30,Gustavo Assuncao,pt POR,MF,Famalicão,19,2000,27.0,1076,1251,86.0,20211,4895,417,475,495,534,141,183,0,0.8,0.7,-0.8,13,87,9,1,111,Matches
31,Filipe Augusto,br BRA,MF,Rio Ave,25,1993,27.1,1777,2084,85.3,35781,11028,601,687,844,942,293,380,2,2.3,2.3,-0.3,23,169,6,2,193,Matches
32,João Aurélio,pt POR,DF,Moreirense,30,1988,27.0,911,1316,69.2,17933,8516,371,443,400,545,129,262,2,1.9,1.3,+0.1,9,105,14,2,135,Matches
33,Marco Baixinho,pt POR,DF,Paços de Ferreira,30,1989,21.7,748,919,81.4,18719,8064,131,156,414,460,200,293,0,0.6,0.2,-0.6,5,84,1,0,86,Matches
34,Hélder Baldé,pt POR,DF,Aves,20,1998,1.0,24,29,82.8,460,86,5,6,16,16,2,6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
35,Romário Baldé,gw GNB,"FW,MF",Gil Vicente FC,22,1996,2.5,38,57,66.7,668,227,20,26,13,22,4,5,0,0.4,0.1,-0.4,2,4,3,1,8,Matches
36,Franck-Yves Bambock,fr FRA,MF,Marítimo,24,1995,19.9,707,837,84.5,13451,4018,269,303,337,376,90,124,1,0.8,0.6,+0.2,15,73,6,2,88,Matches
37,Zidane Banjaqui,gw GNB,"MF,FW",Aves,20,1998,15.4,245,364,67.3,4685,1364,122,151,67,91,49,94,1,0.9,1.1,+0.1,18,25,9,2,32,Matches
38,Yves Baraye,sn SEN,"FW,MF",Gil Vicente FC,27,1992,16.3,243,356,68.3,4304,1200,112,141,94,138,26,45,0,0.1,0.4,-0.1,2,31,9,1,47,Matches
39,Romário Baró,pt POR,MF,Porto,19,2000,4.2,132,159,83.0,1841,391,81,86,40,50,6,10,1,0.5,0.3,+0.5,2,11,4,0,12,Matches
40,Leandro Barrera,ar ARG,"MF,FW",Marítimo,28,1991,1.0,22,32,68.8,441,130,8,11,10,13,4,6,0,0.0,0.0,0.0,0,3,1,0,3,Matches
41,Rodrigo Battaglia,ar ARG,MF,Sporting CP,28,1991,9.4,553,602,91.9,9927,2025,226,239,270,281,48,63,0,0.1,0.6,-0.1,2,45,3,1,41,Matches
42,Bebeto,br BRA,DF,Marítimo,29,1990,13.5,531,743,71.5,9177,4060,247,284,227,301,52,129,1,1.0,1.0,0.0,16,23,13,10,34,Matches
43,Simão Bertelli,br BRA,GK,Paços de Ferreira,26,1993,2.0,48,71,67.6,1241,918,13,13,22,22,12,33,0,0.0,0.0,0.0,0,0,0,0,0,Matches
44,Éber Bessa,br BRA,"MF,FW",Vitória Setúbal,27,1992,25.1,510,773,66.0,9462,3062,221,278,186,266,81,162,6,3.5,2.5,+2.5,38,63,16,8,96,Matches
45,Beto,gw GNB,"FW,MF",Portimonense,21,1998,1.9,15,28,53.6,233,25,7,12,6,11,1,2,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
46,Quentin Beunardeau,fr FRA,GK,Aves,25,1994,21.0,258,553,46.7,9907,8351,26,28,89,94,143,430,0,0.0,0.0,0.0,1,9,0,0,0,Matches
47,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,25,1993,27.7,376,563,66.8,5946,1727,196,255,128,180,34,71,4,2.5,2.4,+1.5,37,25,20,11,48,Matches
48,Kelvin Boateng,gh GHA,FW,Aves,19,2000,0.2,3,3,100.0,71,14,1,1,1,1,1,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Yannick Bolasie,cd COD,"FW,MF",Sporting CP,30,1989,12.1,168,248,67.7,2497,607,94,113,61,87,8,22,0,0.5,0.6,-0.5,9,10,6,1,24,Matches
50,Léo Bonatini,br BRA,"FW,MF",Vitória,25,1994,10.9,186,246,75.6,2542,573,97,124,61,78,7,11,1,1.0,1.8,0.0,16,16,8,1,32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
