rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
28,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,650,82,358,271,22,7,650,1,0,0.0,1,100.0,325,1489,671,1,3,1,2,5,389,3,Matches
29,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,846,115,491,336,22,10,846,0,0,,0,,487,2361,1238,5,2,0,3,1,587,5,Matches
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,1598,57,234,937,459,76,1598,41,27,65.9,14,34.1,882,4840,2376,64,49,14,44,28,1080,101,Matches
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,1672,154,817,669,201,25,1672,8,5,62.5,3,37.5,760,3883,2099,23,22,1,14,6,891,26,Matches
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,2236,41,358,1168,737,54,2236,52,35,67.3,17,32.7,1305,7055,3879,99,77,12,63,28,1700,149,Matches
33,Antonio Barreca,it ITA,DF,Fiorentina,25,1995,0.9,56,2,8,25,23,3,56,0,0,,0,,23,82,42,1,1,0,1,0,29,9,Matches
34,Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,1559,16,150,652,771,119,1558,71,34,47.9,37,52.1,975,5675,2529,88,52,29,103,53,1175,253,Matches
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,150,4,24,79,48,9,150,6,4,66.7,2,33.3,87,501,284,8,2,4,6,3,110,14,Matches
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,273,7,49,164,60,5,273,7,4,57.1,3,42.9,140,777,359,7,5,1,4,2,155,9,Matches
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,2547,245,931,1357,278,19,2547,15,12,80.0,3,20.0,1649,8511,5492,70,55,2,19,6,1923,60,Matches
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,1272,41,363,544,382,26,1272,40,25,62.5,15,37.5,702,4153,2439,51,41,2,28,19,766,78,Matches
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,52,5,25,18,9,1,52,4,2,50.0,2,50.0,38,190,84,1,1,0,0,3,34,1,Matches
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,1693,215,789,789,125,26,1693,4,3,75.0,1,25.0,949,4693,3033,22,19,1,12,9,1074,22,Matches
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,310,20,82,169,63,6,310,3,1,33.3,2,66.7,129,545,270,5,4,2,7,2,148,16,Matches
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,1142,26,80,542,544,147,1137,81,47,58.0,33,40.7,688,4414,2270,81,71,27,107,41,890,214,Matches
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,899,40,241,488,178,28,899,20,9,45.0,11,55.0,512,2501,1091,24,20,5,22,11,638,48,Matches
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,1140,33,261,749,140,4,1140,36,29,80.6,7,19.4,702,3777,1719,20,23,3,21,15,798,12,Matches
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,2127,101,507,1312,339,15,2127,51,35,68.6,16,31.4,1174,5484,2550,35,41,3,29,16,1503,25,Matches
