rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
34,Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,818,1165,70.2,13878,3584,433,530,247,331,103,213,8,6.0,4.1,+2.0,60,83,31,12,103,Matches
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,91,124,73.4,1413,332,47,53,36,44,5,19,1,0.3,0.6,+0.7,5,9,2,1,10,Matches
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,163,217,75.1,2989,1031,78,94,51,68,29,39,0,0.7,0.5,-0.7,9,21,3,0,25,Matches
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,2065,2306,89.5,37276,10450,910,952,899,961,226,315,3,1.5,1.4,+1.5,12,150,16,4,146,Matches
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,794,1068,74.3,13759,4837,395,446,293,379,89,168,7,3.1,2.5,+3.9,29,69,27,10,85,Matches
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,38,41,92.7,554,152,21,22,13,15,1,1,0,0.0,0.0,0.0,0,1,2,0,3,Matches
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,1173,1371,85.6,20394,7572,498,547,553,612,96,158,0,0.3,0.3,-0.3,7,80,5,1,98,Matches
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,162,218,74.3,2214,875,90,114,51,66,8,14,0,0.1,0.1,-0.1,2,16,2,1,23,Matches
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,481,716,67.2,7066,1518,272,347,137,198,39,58,6,7.0,4.2,-1.0,37,36,32,4,64,Matches
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,662,788,84.0,10717,3005,323,363,267,300,48,74,1,1.2,1.3,-0.2,14,55,10,1,67,Matches
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,851,984,86.5,14057,4891,436,465,313,344,81,121,2,0.6,0.8,+1.4,5,105,13,0,82,Matches
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,1643,1851,88.8,28913,8319,753,804,696,754,164,221,4,2.3,1.8,+1.7,29,171,14,3,173,Matches
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,6,11,54.5,275,255,0,0,1,1,5,10,0,0.0,0.0,0.0,0,0,0,0,0,Matches
47,Domenico Berardi,it ITA,FW,Sassuolo,25,1994,27.5,984,1310,75.1,17062,4398,474,543,379,472,105,206,7,6.2,5.2,+0.8,58,72,84,13,164,Matches
48,Álex Berenguer,es ESP,MF,Torino,25,1995,1.5,32,47,68.1,467,122,21,26,9,12,1,6,0,0.0,0.1,0.0,0,4,1,0,6,Matches
49,Bartosz Bereszyński,pl POL,DF,Sampdoria,28,1992,29.0,1203,1496,80.4,18103,7023,665,728,420,526,69,139,0,0.7,1.1,-0.7,8,76,19,6,103,Matches
50,Federico Bernardeschi,it ITA,"MF,DF",Juventus,26,1994,10.8,447,585,76.4,7655,2210,222,251,152,192,55,92,2,2.8,2.2,-0.8,25,31,14,5,39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Marco Bertini,it ITA,MF,Lazio,17,2002,0.1,2,2,100.0,37,24,1,1,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
52,Daniel Bessa,it ITA,MF,Hellas Verona,27,1993,6.8,252,299,84.3,3680,987,141,150,72,86,19,31,2,1.9,1.2,+0.1,14,26,10,3,35,Matches
53,Cristiano Biraghi,it ITA,DF,Fiorentina,27,1992,31.1,1175,1735,67.7,19485,8025,580,656,414,597,124,338,5,6.7,6.0,-1.7,49,78,39,27,117,Matches
54,Davide Biraschi,it ITA,DF,Genoa,26,1994,10.2,405,518,78.2,7100,2588,175,198,197,232,29,65,0,0.0,0.1,0.0,0,34,6,2,39,Matches
55,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,23,1997,19.8,675,764,88.4,8482,1189,463,503,150,164,21,31,2,0.9,1.3,+1.1,12,24,17,0,43,Matches
56,Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,25.1,761,956,79.6,12065,2575,385,445,257,301,72,118,2,3.0,3.3,-1.0,24,75,25,6,93,Matches
57,Federico Bonazzoli,it ITA,FW,Torino,23,1997,6.3,129,155,83.2,2281,245,69,81,40,46,17,19,2,0.7,0.7,+1.3,4,9,3,0,15,Matches
58,Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,1.5,19,27,70.4,310,62,7,10,9,13,2,2,1,0.5,0.5,+0.5,2,4,1,0,3,Matches
59,Kevin Bonifazi,it ITA,DF,Udinese,24,1996,27.4,1204,1360,88.5,22919,9010,412,450,652,681,117,184,0,0.2,0.4,-0.2,2,59,3,0,58,Matches
