rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
205,Nicolás Cordero,ar ARG,"FW,MF",Huracán,20,1999,13,7,672,7.5,2,1,3,2,0,0,0,0,2.7,2.7,0.3,3.0,3,12,33,0.27,0.13,0.40,0.27,0.40,0.36,0.04,0.40,0.36,0.40,Matches
206,Emanuel Coronel,ar ARG,DF,Banfield,22,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,7,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
207,Maximiliano Coronel,ar ARG,DF,Gimnasia–LP,30,1989,16,13,1189,13.2,1,0,1,1,0,0,4,0,0.9,0.9,0.1,1.0,1,32,0,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches
208,Nicolás Correa,uy URU,DF,Cen. Córdoba–SdE,35,1983,6,6,503,5.6,0,0,0,0,0,0,4,1,0.2,0.2,0.0,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
209,Pablo Cortizo,ar ARG,"FW,MF",Patronato,29,1989,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
210,Claudio Corvalán,ar ARG,DF,Unión,30,1989,19,19,1666,18.5,0,2,2,0,0,0,5,0,0.4,0.4,1.0,1.4,17,81,63,0.00,0.11,0.11,0.00,0.11,0.02,0.05,0.07,0.02,0.07,Matches
211,Fernando Cosciuc,ar ARG,DF,Huracán,21,1998,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
212,Franco Cristaldo,ar ARG,MF,Cen. Córdoba–SdE,22,1996,17,10,1017,11.3,0,0,0,0,0,0,0,0,1.3,1.3,1.3,2.6,23,36,47,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.23,0.11,0.23,Matches
213,Jonatan Cristaldo,ar ARG,FW,Racing Club,30,1989,15,8,804,8.9,3,1,4,3,0,0,3,1,2.7,2.7,1.3,4.0,16,22,70,0.34,0.11,0.45,0.34,0.45,0.30,0.15,0.45,0.30,0.45,Matches
214,Juan Cruz Kaprof,ar ARG,FW,Arsenal,24,1995,17,13,1012,11.2,6,4,10,6,0,0,6,0,5.0,5.0,2.5,7.4,18,26,79,0.53,0.36,0.89,0.53,0.89,0.44,0.22,0.66,0.44,0.66,Matches
215,Juan Cruz Komar,ar ARG,DF,Talleres,22,1996,17,16,1462,16.2,0,0,0,0,0,0,6,0,0.6,0.6,0.2,0.8,6,35,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
216,Juan Cruz Zurbriggen,ar ARG,FW,Colón,19,2000,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
217,Pablo Cuadra,ar ARG,"FW,MF",Unión,24,1995,6,2,214,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,6,15,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
218,Pablo Cuadra,ar ARG,"MF,FW",Gimnasia–LP,24,1995,5,5,393,4.4,0,1,1,0,0,0,2,0,1.0,1.0,0.5,1.5,17,6,31,0.00,0.23,0.23,0.00,0.23,0.23,0.12,0.35,0.23,0.35,Matches
219,Andrés Cubas,py PAR,MF,Talleres,23,1996,20,20,1742,19.4,0,0,0,0,0,0,9,1,0.5,0.5,0.6,1.1,4,102,7,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
220,Fabián Cubero,ar ARG,"MF,DF",Vélez Sarsfield,40,1978,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
221,Tomás Cuello,ar ARG,"MF,FW",Atlé Tucumán,19,2000,5,4,261,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.7,1.0,16,16,34,0.00,0.00,0.00,0.00,0.00,0.08,0.24,0.33,0.08,0.33,Matches
222,Braian Cufré,ar ARG,DF,Vélez Sarsfield,22,1996,20,19,1709,19.0,0,2,2,0,0,0,4,0,0.7,0.7,0.8,1.5,27,104,67,0.00,0.11,0.11,0.00,0.11,0.04,0.04,0.08,0.04,0.08,Matches
223,Dany Cure,ve VEN,"FW,MF",Cen. Córdoba–SdE,29,1990,5,3,259,2.9,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,2,4,16,0.35,0.00,0.35,0.35,0.35,0.29,0.00,0.29,0.29,0.29,Matches
224,Agustín Curruhinca,ar ARG,"FW,MF",Huracán,19,2000,6,1,248,2.8,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,12,5,27,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.24,0.18,0.24,Matches
225,Darío Cvitanich,ar ARG,FW,Racing Club,35,1984,17,7,780,8.7,3,2,5,2,1,1,2,0,3.6,2.8,0.9,3.7,6,21,67,0.35,0.23,0.58,0.23,0.46,0.42,0.11,0.52,0.33,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
