rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
38,Lucas Ambrogio,ar ARG,FW,Arg Juniors,20,1999,0.1,1,1,100.0,13,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
39,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20.0,454,660,68.8,13301,10046,78,78,200,201,170,374,0,0.0,0.0,0.0,0,9,0,0,0,Matches
40,Federico Andrada,ar ARG,FW,Aldosivi,25,1994,15.9,256,377,67.9,3453,586,134,181,63,93,20,30,2,0.6,1.0,+1.4,16,19,3,0,32,Matches
41,Juan Andrada,ar ARG,MF,Godoy Cruz,24,1995,15.2,407,545,74.7,7796,2318,160,197,180,209,62,113,0,0.8,0.6,-0.8,9,46,3,0,62,Matches
42,Luca Andrada,ar ARG,MF,Racing Club,18,2001,0.8,22,31,71.0,353,113,10,13,9,11,2,3,0,0.0,0.0,0.0,0,4,1,0,2,Matches
43,Tomás Andrade,ar ARG,"FW,MF",Arg Juniors,22,1996,0.6,19,31,61.3,216,35,14,16,3,7,0,4,0,0.0,0.0,0.0,0,0,0,0,2,Matches
44,Walter Andrade,ar ARG,DF,Patronato,34,1984,2.0,22,38,57.9,395,247,9,14,8,15,3,6,0,0.1,0.1,-0.1,1,4,1,0,6,Matches
45,Fernando Andrés Márquez,ar ARG,FW,Defensa y Just,31,1987,8.9,176,266,66.2,2440,520,113,153,41,65,11,15,0,1.3,1.4,-1.3,8,12,5,1,23,Matches
46,Mariano Andújar,ar ARG,GK,Estudiantes–LP,36,1983,23.0,491,647,75.9,13049,9099,108,109,229,229,149,303,0,0.0,0.0,0.0,0,6,0,0,0,Matches
47,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,30,1988,21.5,678,1014,66.9,17175,7317,144,184,312,426,213,371,1,0.3,0.6,+0.7,5,89,4,0,96,Matches
48,Marcos Angeleri,ar ARG,DF,Arg Juniors,36,1983,5.1,81,124,65.3,1445,602,33,41,34,51,9,21,0,0.1,0.2,-0.1,2,5,1,0,4,Matches
49,Fabrizio Angileri,ar ARG,"DF,MF",River Plate,25,1994,4.0,115,171,67.3,1805,664,66,74,39,56,8,27,0,0.3,0.3,-0.3,2,9,5,2,15,Matches
50,Alejo Antilef,ar ARG,MF,Arsenal,21,1998,1.0,30,41,73.2,516,93,16,18,9,12,4,7,0,0.0,0.0,0.0,1,3,0,0,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
