rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
617,Ángel Romero,py PAR,"FW,MF",San Lorenzo,27,1992,17.7,5,28,13,46.4,1.58,0.74,0.14,0.31,15.8,1,1,1,4.0,3.2,0.11,+1.0,+0.8,Matches
618,Braian Romero,ar ARG,"MF,FW",Independiente,28,1991,4.1,1,3,3,100.0,0.73,0.73,0.33,0.33,8.8,0,0,0,1.2,1.2,0.39,-0.2,-0.2,Matches
619,Lucas Romero,ar ARG,MF,Independiente,25,1994,17.9,0,8,4,50.0,0.45,0.22,0.00,0.00,31.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
620,Matías Romero,ar ARG,"MF,DF",Arg Juniors,23,1996,6.1,0,7,1,14.3,1.15,0.16,0.00,0.00,25.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
621,Maximiliano Romero,ar ARG,FW,Vélez Sarsfield,20,1999,16.2,7,36,20,55.6,2.22,1.23,0.19,0.35,13.5,0,0,0,7.4,7.4,0.23,-0.4,-0.4,Matches
622,Óscar Romero,py PAR,"MF,FW",San Lorenzo,27,1992,14.0,2,30,8,26.7,2.15,0.57,0.07,0.25,26.0,8,0,0,1.5,1.5,0.05,+0.5,+0.5,Matches
623,Silvio Romero,ar ARG,FW,Independiente,31,1988,18.7,12,33,17,51.5,1.77,0.91,0.24,0.47,15.3,0,4,4,9.3,6.1,0.19,+2.7,+1.9,Matches
624,Zaid Romero,ar ARG,DF,Godoy Cruz,19,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
625,Mauricio Rosales,ar ARG,DF,Estudiantes–LP,27,1992,1.9,0,4,0,0.0,2.13,0.00,0.00,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
626,Santiago Rosales,ar ARG,"FW,MF",Patronato,24,1995,6.4,0,25,5,20.0,3.89,0.78,0.00,0.00,19.1,1,0,0,1.8,1.8,0.07,-1.8,-1.8,Matches
627,Agustín Rossi,ar ARG,GK,Lanús,23,1995,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
628,Marcos Rouzies,ar ARG,DF,Godoy Cruz,22,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
629,Marco Ruben,ar ARG,FW,Rosario Central,32,1986,6.8,4,16,7,43.8,2.35,1.03,0.19,0.43,16.4,0,1,1,4.2,3.4,0.21,-0.2,-0.4,Matches
630,Alan Ruiz,ar ARG,"MF,DF",Aldosivi,25,1993,1.4,1,6,1,16.7,4.19,0.70,0.00,0.00,30.4,1,1,1,1.0,0.2,0.04,0.0,-0.2,Matches
631,Ramiro Ruiz,ar ARG,MF,Atlé Tucumán,19,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
632,Saúl Salcedo,py PAR,DF,Huracán,21,1997,19.0,0,9,3,33.3,0.47,0.16,0.00,0.00,12.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
633,Rodrigo Salinas,ar ARG,FW,Newell's OB,33,1986,6.0,1,16,5,31.3,2.69,0.84,0.06,0.20,15.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
634,Oscar Salomón,ar ARG,DF,Cen. Córdoba–SdE,20,1999,8.1,0,5,1,20.0,0.62,0.12,0.00,0.00,21.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
635,Eduardo Salvio,ar ARG,"MF,FW",Boca Juniors,29,1990,12.4,6,39,20,51.3,3.16,1.62,0.15,0.30,16.9,0,0,0,4.3,4.2,0.11,+1.7,+1.8,Matches
636,Facundo Sánchez,ar ARG,DF,Estudiantes–LP,29,1990,19.7,1,21,4,19.0,1.06,0.20,0.05,0.25,15.1,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
637,Juan Sánchez Miño,ar ARG,"DF,MF",Independiente,29,1990,19.9,1,19,7,36.8,0.95,0.35,0.05,0.14,26.1,3,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
638,José Sand,ar ARG,FW,Lanús,39,1980,23.0,10,41,16,39.0,1.79,0.70,0.10,0.25,15.7,1,6,6,10.8,6.0,0.15,-0.8,-2.0,Matches
