rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
51,Carlos Araujo,ar ARG,DF,Huracán,37,1981,9.0,322,21,110,163,54,1,322,6,5,83.3,1,16.7,89,468,204,3,5,0,6,2,102,10,Matches
52,Iván Arboleda,co COL,GK,Banfield,23,1996,13.0,377,348,376,1,0,0,377,0,0,,0,,153,1399,1079,0,0,0,0,0,49,0,Matches
53,Rodrigo Arciero,ar ARG,DF,Banfield,26,1993,6.7,399,10,94,191,116,1,399,5,3,60.0,2,40.0,156,607,344,5,7,1,5,4,176,24,Matches
54,Nahuel Arena,ar ARG,DF,Godoy Cruz,20,1998,5.3,324,15,83,165,84,8,324,11,6,54.5,5,45.5,141,708,272,5,11,0,5,10,135,31,Matches
55,Gabriel Arias,cl CHI,GK,Racing Club,31,1987,21.4,717,622,717,0,0,0,717,0,0,,0,,303,1699,1223,0,0,0,1,1,260,0,Matches
56,Junior Arias,uy URU,FW,Banfield,26,1993,14.2,360,11,25,166,171,48,360,14,5,35.7,9,64.3,183,746,207,6,3,5,32,20,240,51,Matches
57,Junior Arias,uy URU,FW,Talleres,26,1993,0.4,10,1,1,6,3,1,10,2,2,100.0,0,0.0,8,28,13,0,0,0,0,0,7,0,Matches
58,Ramón Arias,uy URU,DF,San Lorenzo,27,1992,9.8,539,68,262,263,19,4,539,5,2,40.0,3,60.0,268,1220,747,3,4,0,2,1,300,1,Matches
59,Franco Armani,ar ARG,GK,River Plate,32,1986,21.0,596,530,595,1,0,0,596,0,0,,0,,267,1481,1137,0,0,0,0,0,185,0,Matches
60,Martin Aruga,ar ARG,DF,Patronato,20,1998,1.7,68,9,21,35,13,0,68,0,0,,0,,22,109,79,4,2,0,1,1,20,3,Matches
