rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
23,Ignacio Aliseda,ar ARG,"FW,MF",Defensa y Just,19,2000,7.9,5,1,1,4,0,3,5,2,1,0,1,1,6,4,0,Matches
24,Agustín Allione,ar ARG,"FW,MF",Rosario Central,24,1994,0.7,7,6,4,1,2,2,6,4,1,0,1,0,7,0,0,Matches
25,Facundo Almada,ar ARG,DF,Rosario Central,21,1998,1.9,5,2,5,0,0,1,2,1,1,0,1,2,7,6,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Thiago Almada,ar ARG,"FW,MF",Vélez Sarsfield,18,2001,13.4,19,9,6,10,3,9,26,17,5,0,5,5,24,4,0,Matches
27,Christian Almeida,uy URU,DF,Godoy Cruz,29,1989,3.9,4,3,2,1,1,2,9,7,4,0,4,4,8,22,0,Matches
28,Agustín Almendra,ar ARG,MF,Boca Juniors,19,2000,4.8,11,5,3,8,0,6,18,12,8,1,7,9,20,5,0,Matches
29,Júnior Alonso,py PAR,DF,Boca Juniors,26,1993,12.8,21,14,12,9,0,16,18,2,18,12,6,23,44,59,0,Matches
30,Matías Alustiza,mx MEX,"FW,MF",Atlé Tucumán,35,1984,2.2,1,1,0,1,0,1,2,1,0,0,0,2,3,0,0,Matches
31,Braian Álvarez,ar ARG,MF,Unión,21,1997,1.5,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,Matches
32,Juan Álvarez,ar ARG,"MF,FW",Banfield,23,1996,8.4,13,10,5,8,0,6,17,11,12,0,12,7,20,7,0,Matches
33,Julián Álvarez,ar ARG,"FW,MF",River Plate,19,2000,4.3,4,2,0,1,3,1,9,8,6,1,5,0,4,4,0,Matches
34,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,31,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Gastón Álvarez Suárez,ae UAE,MF,Arsenal,26,1993,20.7,37,22,15,21,1,20,58,38,16,0,16,13,50,20,0,Matches
36,Tomás Álvarez,ar ARG,DF,Godoy Cruz,19,2000,1.1,1,1,1,0,0,1,1,0,2,2,0,1,2,2,0,Matches
37,Lisandro Alzugaray,ar ARG,MF,Cen. Córdoba–SdE,29,1990,10.7,19,14,8,7,4,9,31,22,10,1,9,10,29,7,0,Matches
38,Lucas Ambrogio,ar ARG,FW,Arg Juniors,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20.0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,Matches
40,Federico Andrada,ar ARG,FW,Aldosivi,25,1994,15.9,11,7,0,9,2,2,12,10,10,0,10,4,15,8,0,Matches
41,Juan Andrada,ar ARG,MF,Godoy Cruz,24,1995,15.2,31,17,12,17,2,11,44,33,28,12,16,34,65,26,0,Matches
42,Luca Andrada,ar ARG,MF,Racing Club,18,2001,0.8,2,1,2,0,0,1,3,2,2,0,2,0,2,1,0,Matches
43,Tomás Andrade,ar ARG,"FW,MF",Arg Juniors,22,1996,0.6,2,2,1,1,0,0,4,4,0,0,0,0,2,0,0,Matches
44,Walter Andrade,ar ARG,DF,Patronato,34,1984,2.0,3,2,3,0,0,3,8,5,1,1,0,1,4,7,0,Matches
45,Fernando Andrés Márquez,ar ARG,FW,Defensa y Just,31,1987,8.9,10,5,3,6,1,2,16,14,6,1,5,4,14,16,0,Matches
46,Mariano Andújar,ar ARG,GK,Estudiantes–LP,36,1983,23.0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,1,Matches
