rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
86,Jonathan Bay,ar ARG,DF,Cen. Córdoba–SdE,26,1993,20.4,816,583,229,15,0,4,61,214,0,0,0,0,490,4,22,Matches
87,Nicolás Bazzana,ar ARG,DF,Aldosivi,23,1996,7.2,292,283,7,7,0,5,0,0,0,0,0,0,231,2,2,Matches
88,José Luis Rodríguez Bebanz,uy URU,DF,Racing Club,22,1997,0.5,23,20,3,0,0,0,2,3,0,0,0,0,12,0,4,Matches
89,Pablo Becker,ar ARG,MF,Aldosivi,27,1992,1.4,38,33,5,2,0,0,0,2,0,0,0,0,31,0,1,Matches
90,Fernando Belluschi,ar ARG,MF,Lanús,35,1983,1.4,97,91,6,0,1,0,6,0,6,3,3,0,77,0,5,Matches
91,Fernando Belluschi,ar ARG,MF,San Lorenzo,35,1983,7.2,359,297,56,25,1,4,41,1,28,11,15,0,238,6,11,Matches
92,Tomás Belmonte,ar ARG,MF,Lanús,21,1998,7.2,303,295,7,7,1,3,0,0,0,0,0,0,229,1,11,Matches
93,Carlos Benavídez,uy URU,MF,Independiente,21,1998,1.8,59,57,1,1,0,0,0,0,0,0,0,0,43,1,1,Matches
94,Marcelo Benitez,ar ARG,MF,Defensa y Just,28,1991,7.0,382,349,31,8,0,1,21,8,15,12,3,0,293,2,7,Matches
95,Martín Benítez,ar ARG,"MF,FW",Independiente,25,1994,7.6,324,297,25,9,3,6,16,7,4,1,2,0,228,2,3,Matches
96,Alexandro Bernabei,ar ARG,"DF,FW",Lanús,18,2000,10.5,415,345,67,3,0,3,31,64,0,0,0,0,310,3,15,Matches
97,Christian Bernardi,ar ARG,MF,Colón,29,1990,10.3,315,286,28,11,0,1,33,4,13,4,9,0,207,1,19,Matches
98,Facundo Bertoglio,ar ARG,"MF,FW",Aldosivi,29,1990,15.9,491,438,50,18,2,1,39,7,24,8,11,0,334,3,16,Matches
99,Nicolás Bertolo,ar ARG,"MF,FW",Banfield,33,1986,13.9,344,321,22,2,0,1,7,20,0,0,0,0,250,1,23,Matches
100,Gonzalo Bettini,ar ARG,"DF,MF",Huracán,26,1992,14.5,740,563,175,10,1,2,68,164,1,0,1,0,487,2,24,Matches
