rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
654,Taison,br BRA,"MF,FW",Internacional,33,1988,22,22,1668,18.5,4,1,5,4,0,0,3,0,2.9,2.9,4.6,7.5,110,150,84,0.22,0.05,0.27,0.22,0.27,0.16,0.25,0.41,0.16,0.41,Matches
655,Diego Tardelli,br BRA,FW,Santos,35,1985,12,7,591,6.6,1,0,1,1,0,0,1,0,1.9,1.9,0.3,2.2,15,17,32,0.15,0.00,0.15,0.15,0.15,0.28,0.05,0.33,0.28,0.33,Matches
656,Júnior Tavares,br BRA,DF,Sport Recife,24,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1.0,19,20,29,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.14,0.04,0.14,Matches
657,Tchê Tchê,br BRA,MF,Atlético Mineiro,28,1992,33,22,1964,21.8,1,1,2,1,0,0,4,0,0.9,0.9,0.7,1.7,46,101,36,0.05,0.05,0.09,0.05,0.09,0.04,0.03,0.08,0.04,0.08,Matches
658,Matheus Teixeira,br BRA,GK,Bahia,21,1999,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
659,David Terans,uy URU,"MF,FW",Ath Paranaense,26,1994,29,21,1752,19.5,6,7,13,6,0,0,7,0,5.7,5.7,3.8,9.5,43,75,98,0.31,0.36,0.67,0.31,0.67,0.29,0.20,0.49,0.29,0.49,Matches
660,Thaciano,br BRA,"MF,FW",Bahia,25,1995,11,10,703,7.8,2,1,3,2,0,0,2,0,1.7,1.7,0.3,2.0,13,25,38,0.26,0.13,0.38,0.26,0.38,0.21,0.04,0.25,0.21,0.25,Matches
661,Thiaguinho,br BRA,"MF,FW",Flamengo,19,2001,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.52,0.00,0.52,Matches
662,Rafael Thyere,br BRA,DF,Sport Recife,27,1993,32,32,2795,31.1,0,0,0,0,0,0,5,0,0.6,0.6,0.8,1.4,22,80,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
663,Tiepo,br BRA,GK,Chapecoense,22,1998,3,3,213,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
664,Guilherme Tinga,br BRA,DF,Fortaleza,27,1993,36,34,3100,34.4,1,2,3,1,0,0,3,0,1.9,1.9,2.2,4.1,80,235,67,0.03,0.06,0.09,0.03,0.09,0.05,0.06,0.12,0.05,0.12,Matches
665,Titi,br BRA,DF,Fortaleza,32,1988,34,34,3001,33.3,2,1,3,2,0,0,6,0,2.1,2.1,0.9,3.0,32,118,10,0.06,0.03,0.09,0.06,0.09,0.06,0.03,0.09,0.06,0.09,Matches
666,Igor Torres,br BRA,FW,Fortaleza,20,2000,16,1,294,3.3,3,0,3,3,0,0,2,0,1.7,1.7,0.1,1.8,5,10,39,0.92,0.00,0.92,0.92,0.92,0.51,0.04,0.55,0.51,0.55,Matches
