rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
182,Emre Çolak,tr TUR,MF,Fatih Karagümrük,29,1991,1.7,1,0,0,6,2,0,7,0,2,,,0,Matches
183,Kamil Çörekçi,tr TUR,"DF,MF",Trabzonspor,28,1992,9.7,4,0,0,11,11,0,10,10,16,,,0,Matches
184,Manuel da Costa,ma MAR,DF,Erzurum BB,34,1986,14.0,1,1,0,14,10,0,3,30,17,,,0,Matches
185,Enzo Crivelli,fr FRA,FW,Başakşehir,25,1995,21.7,4,0,0,37,22,6,17,8,9,,,0,Matches
186,Christian Cueva,pe PER,MF,Yeni Mal'spor,28,1991,6.1,0,0,0,8,7,2,25,6,6,,,0,Matches
187,Robert Piris Da Motta,py PAR,MF,Gençlerbirliği,26,1994,35.3,12,0,0,52,45,1,6,46,47,,,0,Matches
188,Erdon Daci,mk MKD,"FW,MF",Konyaspor,22,1998,7.9,2,0,0,19,19,9,23,3,5,,,0,Matches
189,Abdulsamed Damlu,tr TUR,GK,Yeni Mal'spor,21,1999,13.0,1,0,0,0,2,0,1,1,0,,,0,Matches
190,Brahim Darri,nl NED,"FW,MF",Erzurum BB,25,1994,0.6,0,0,0,2,0,0,0,2,0,,,0,Matches
191,Brahim Darri,nl NED,MF,Fatih Karagümrük,25,1994,3.5,0,0,0,4,5,1,5,2,3,,,0,Matches
192,Emre Demir,tr TUR,MF,Kayserispor,16,2004,2.5,1,0,0,10,7,0,2,1,4,,,0,Matches
193,Mete-Kaan Demir,tr TUR,MF,Başakşehir,22,1998,1.0,0,0,0,2,3,0,1,1,2,,,0,Matches
194,Muhammet Demir,tr TUR,FW,Gaziantep FK,28,1992,22.5,5,0,0,29,33,5,3,7,5,,,0,Matches
195,Adil Demirbağ,tr TUR,DF,Konyaspor,22,1997,14.0,6,0,0,11,15,0,6,20,24,,,1,Matches
196,Uğur Demirok,tr TUR,DF,Kayserispor,32,1988,11.8,3,0,0,5,6,1,1,14,9,,,0,Matches
197,Uğur Demirok,tr TUR,DF,Konyaspor,32,1988,7.0,2,0,0,7,7,0,0,5,5,,,0,Matches
198,İlhan Depe,tr TUR,MF,Kayserispor,27,1992,0.6,1,0,0,2,1,0,4,1,0,,,0,Matches
199,Halil Dervişoğlu,tr TUR,"FW,MF",Galatasaray,20,1999,6.4,1,0,0,15,6,5,2,1,7,,,0,Matches
200,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,19,2001,34.6,2,1,0,3,4,1,0,1,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Fousseni Diabaté,ml MLI,MF,Göztepe,24,1995,12.0,3,0,0,14,18,0,9,10,13,,,0,Matches
202,Fousseni Diabaté,ml MLI,MF,Trabzonspor,24,1995,1.9,0,0,0,1,3,0,5,2,2,,,0,Matches
203,Mbaye Diagne,sn SEN,FW,Galatasaray,28,1991,9.5,1,1,0,11,13,7,3,3,4,,,0,Matches
