wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
7,Sat,2020-10-31,13:30 (11:30),Gençlerbirliği,1–1,Gaziantep FK,,Eryaman Stadyumu,Turgut Doman,Match Report,
7,Sat,2020-10-31,19:00 (17:00),Galatasaray,1–0,Ankaragücü,,Türk Telekom Arena,Ali Şansalan,Match Report,
7,Sun,2020-11-01,13:30 (11:30),Rizespor,1–0,Kayserispor,,Yeni Rize Şehir Stadı,Koray Gençerler,Match Report,
7,Sun,2020-11-01,16:00 (14:00),Konyaspor,1–2,Başakşehir,,Konya Büyükşehir Stadı,Halil Umut Meler,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,2020-11-01,19:00 (17:00),Beşiktaş,1–0,Yeni Mal'spor,,Vodafone Arena,Atilla Karaoğlan,Match Report,
7,Mon,2020-11-02,20:00 (18:00),Hatayspor,1–1,Sivasspor,,Antakya Atatürk Stadı,Yasin Kol,Match Report,
7,Mon,2020-11-02,20:00 (18:00),Antalyaspor,1–2,Fenerbahçe,,Antalya Stadyumu,Bahattin Şimşek,Match Report,
8,Fri,2020-11-06,20:00 (18:00),Gaziantep FK,3–1,Beşiktaş,,Kalyon Arena,Yaşar Kemal Uğurlu,Match Report,
8,Sat,2020-11-07,13:30 (11:30),Kasımpaşa,2–2,Antalyaspor,,Recep Tayyip Erdoğan Stadyumu,Serkan Tokat,Match Report,
8,Sat,2020-11-07,16:00 (14:00),Erzurum BB,1–1,Göztepe,,Kazım Karabekir Stadyumu,Cüneyt Çakιr,Match Report,
8,Sat,2020-11-07,16:00 (14:00),Alanyaspor,1–1,Trabzonspor,,Bahçeşehir Okulları Stadyumu,Ali Palabıyık,Match Report,
8,Sat,2020-11-07,19:00 (17:00),Fenerbahçe,0–2,Konyaspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Ali Şansalan,Match Report,
8,Sun,2020-11-08,13:30 (11:30),Yeni Mal'spor,2–0,Denizlispor,,Yeni Malatya Stadyumu,Mete Kalkavan,Match Report,
8,Sun,2020-11-08,13:30 (11:30),Ankaragücü,2–2,Fatih Karagümrük,,Eryaman Stadyumu,Suat Arslanboga,Match Report,
8,Sun,2020-11-08,16:00 (14:00),Kayserispor,0–1,Hatayspor,,Kadir Has Şehir Stadı,Volkan Bayarslan,Match Report,
8,Sun,2020-11-08,16:00 (14:00),Başakşehir,2–1,Gençlerbirliği,,Başakşehir Fatih Terim Stadium,Mustafa Öğretmenoğlu,Match Report,
8,Sun,2020-11-08,19:00 (17:00),Sivasspor,1–2,Galatasaray,,Sivas Arena,Abdulkadir Bitigen,Match Report,
9,Sat,2020-11-21,13:30 (11:30),Fatih Karagümrük,1–1,Sivasspor,,Atatürk Olimpiyat Stadı,Hüseyin Göçek,Match Report,
9,Sat,2020-11-21,16:00 (14:00),Denizlispor,0–1,Gaziantep FK,,Denizli Atatürk Stadyumu,Atilla Karaoğlan,Match Report,
9,Sat,2020-11-21,16:00 (14:00),Gençlerbirliği,1–5,Fenerbahçe,,Eryaman Stadyumu,Halil Umut Meler,Match Report,
9,Sat,2020-11-21,19:00 (17:00),Beşiktaş,3–2,Başakşehir,,Vodafone Arena,Umit Öztürk,Match Report,
9,Sun,2020-11-22,13:30 (11:30),Hatayspor,2–2,Rizespor,,Antakya Atatürk Stadı,Halis Özkahya,Match Report,
9,Sun,2020-11-22,16:00 (14:00),Konyaspor,2–1,Kasımpaşa,,Konya Büyükşehir Stadı,Yasin Kol,Match Report,
9,Sun,2020-11-22,16:00 (14:00),Göztepe,3–1,Ankaragücü,,Gürsel Aksel Stadyumu,Fırat Aydınus,Match Report,
9,Sun,2020-11-22,19:00 (17:00),Antalyaspor,0–2,Alanyaspor,,Antalya Stadyumu,Özgür Yankaya,Match Report,
9,Sun,2020-11-22,19:00 (17:00),Trabzonspor,1–0,Erzurum BB,,Şenol Güneş Stadyumu,Erkan Özdamar,Match Report,
9,Mon,2020-11-23,19:30 (17:30),Galatasaray,1–1,Kayserispor,,Türk Telekom Arena,Turgut Doman,Match Report,
10,Fri,2020-11-27,19:30 (17:30),Ankaragücü,0–1,Trabzonspor,,Eryaman Stadyumu,Mustafa Öğretmenoğlu,Match Report,
10,Sat,2020-11-28,13:30 (11:30),Gaziantep FK,2–2,Yeni Mal'spor,,Kalyon Arena,Ali Palabıyık,Match Report,
10,Sat,2020-11-28,16:00 (14:00),Başakşehir,3–3,Denizlispor,,Başakşehir Fatih Terim Stadium,Arda Kardeşler,Match Report,
10,Sat,2020-11-28,19:00 (17:00),Rizespor,0–4,Galatasaray,,Yeni Rize Şehir Stadı,Atilla Karaoğlan,Match Report,
10,Sun,2020-11-29,13:30 (11:30),Erzurum BB,2–2,Antalyaspor,,Kazım Karabekir Stadyumu,Ali Şansalan,Match Report,
10,Sun,2020-11-29,16:00 (14:00),Kasımpaşa,2–0,Gençlerbirliği,,Recep Tayyip Erdoğan Stadyumu,Mete Kalkavan,Match Report,
10,Sun,2020-11-29,16:00 (14:00),Alanyaspor,1–0,Konyaspor,,Bahçeşehir Okulları Stadyumu,Bahattin Şimşek,Match Report,
10,Sun,2020-11-29,19:00 (17:00),Fenerbahçe,3–4,Beşiktaş,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tugay Kaan Numanoğlu,Match Report,
10,Mon,2020-11-30,19:30 (17:30),Kayserispor,0–0,Fatih Karagümrük,,Kadir Has Şehir Stadı,Alper Ulusoy,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Mon,2020-11-30,19:30 (17:30),Sivasspor,0–1,Göztepe,,Sivas Arena,Serkan Tokat,Match Report,
11,Fri,2020-12-04,19:30 (17:30),Beşiktaş,3–0,Kasımpaşa,,Vodafone Arena,Bahattin Şimşek,Match Report,
11,Sat,2020-12-05,13:30 (11:30),Gençlerbirliği,2–1,Alanyaspor,,Eryaman Stadyumu,Fırat Aydınus,Match Report,
11,Sat,2020-12-05,13:30 (11:30),Göztepe,1–1,Kayserispor,,Gürsel Aksel Stadyumu,Yaşar Kemal Uğurlu,Match Report,
11,Sat,2020-12-05,16:00 (14:00),Yeni Mal'spor,1–1,Başakşehir,,Yeni Malatya Stadyumu,Cüneyt Çakιr,Match Report,
11,Sat,2020-12-05,16:00 (14:00),Konyaspor,2–0,Erzurum BB,,Konya Büyükşehir Stadı,Halis Özkahya,Match Report,
11,Sat,2020-12-05,19:00 (17:00),Galatasaray,3–0,Hatayspor,,Türk Telekom Arena,Erkan Özdamar,Match Report,
11,Sun,2020-12-06,13:30 (11:30),Fatih Karagümrük,2–1,Rizespor,,Atatürk Olimpiyat Stadı,Umit Öztürk,Match Report,
11,Sun,2020-12-06,16:00 (14:00),Antalyaspor,1–0,Ankaragücü,,Antalya Stadyumu,Halil Umut Meler,Match Report,
11,Sun,2020-12-06,19:00 (17:00),Denizlispor,0–2,Fenerbahçe,,Denizli Atatürk Stadyumu,Ali Palabıyık,Match Report,
11,Mon,2020-12-07,19:30 (17:30),Trabzonspor,1–1,Sivasspor,,Şenol Güneş Stadyumu,Suat Arslanboga,Match Report,
7,Wed,2020-12-09,18:30 (16:30),Göztepe,1–0,Alanyaspor,,Gürsel Aksel Stadyumu,Ali Şansalan,Match Report,
5,Wed,2020-12-09,19:30 (17:30),Hatayspor,3–0,Erzurum BB,,Antakya Atatürk Stadı,Sarper Baris Saka,Match Report,
12,Fri,2020-12-11,19:00 (17:00),Kasımpaşa,3–2,Denizlispor,,Recep Tayyip Erdoğan Stadyumu,Ramazan Keleş,Match Report,
12,Sat,2020-12-12,13:30 (11:30),Hatayspor,3–1,Fatih Karagümrük,,Antakya Atatürk Stadı,Tugay Kaan Numanoğlu,Match Report,
12,Sat,2020-12-12,16:00 (14:00),Rizespor,3–2,Göztepe,,Yeni Rize Şehir Stadı,Özgür Yankaya,Match Report,
12,Sat,2020-12-12,16:00 (14:00),Kayserispor,0–0,Trabzonspor,,Kadir Has Şehir Stadı,Burak Şeker,Match Report,
12,Sat,2020-12-12,19:00 (17:00),Fenerbahçe,0–3,Yeni Mal'spor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Erkan Özdamar,Match Report,
12,Sat,2020-12-12,19:00 (17:00),Ankaragücü,4–3,Konyaspor,,Eryaman Stadyumu,Mete Kalkavan,Match Report,
12,Sun,2020-12-13,13:30 (11:30),Erzurum BB,0–1,Gençlerbirliği,,Kazım Karabekir Stadyumu,Alper Ulusoy,Match Report,
12,Sun,2020-12-13,19:00 (17:00),Başakşehir,1–2,Gaziantep FK,,Başakşehir Fatih Terim Stadium,Abdulkadir Bitigen,Match Report,
12,Sun,2020-12-13,19:00 (17:00),Alanyaspor,2–1,Beşiktaş,,Bahçeşehir Okulları Stadyumu,Atilla Karaoğlan,Match Report,
12,Mon,2020-12-14,19:00 (17:00),Sivasspor,0–0,Antalyaspor,,Sivas Arena,Halis Özkahya,Match Report,
6,Tue,2020-12-15,16:00 (14:00),Ankaragücü,2–0,Hatayspor,,Eryaman Stadyumu,Hüseyin Göçek,Match Report,
13,Fri,2020-12-18,19:00 (17:00),Fatih Karagümrük,2–1,Galatasaray,,Atatürk Olimpiyat Stadı,Mustafa Öğretmenoğlu,Match Report,
13,Sat,2020-12-19,13:30 (11:30),Göztepe,0–1,Hatayspor,,Gürsel Aksel Stadyumu,Volkan Bayarslan,Match Report,
13,Sat,2020-12-19,16:00 (14:00),Yeni Mal'spor,2–0,Kasımpaşa,,Yeni Malatya Stadyumu,Arda Kardeşler,Match Report,
13,Sat,2020-12-19,16:00 (14:00),Trabzonspor,2–1,Rizespor,,Şenol Güneş Stadyumu,Ali Şansalan,Match Report,
13,Sat,2020-12-19,19:00 (17:00),Gaziantep FK,3–1,Fenerbahçe,,Kalyon Arena,Cüneyt Çakιr,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2020-12-20,13:30 (11:30),Gençlerbirliği,1–1,Ankaragücü,,Eryaman Stadyumu,Yaşar Kemal Uğurlu,Match Report,
13,Sun,2020-12-20,16:00 (14:00),Denizlispor,1–0,Alanyaspor,,Denizli Atatürk Stadyumu,Suat Arslanboga,Match Report,
13,Sun,2020-12-20,19:00 (17:00),Beşiktaş,4–0,Erzurum BB,,Vodafone Arena,Halil Umut Meler,Match Report,
13,Mon,2020-12-21,19:00 (17:00),Konyaspor,0–1,Sivasspor,,Konya Büyükşehir Stadı,Fırat Aydınus,Match Report,
13,Mon,2020-12-21,19:00 (17:00),Antalyaspor,2–0,Kayserispor,,Antalya Stadyumu,Umit Öztürk,Match Report,
14,Tue,2020-12-22,16:00 (14:00),Hatayspor,0–1,Trabzonspor,,Antakya Atatürk Stadı,Abdulkadir Bitigen,Match Report,
14,Tue,2020-12-22,19:00 (17:00),Galatasaray,3–1,Göztepe,,Türk Telekom Arena,Mete Kalkavan,Match Report,
14,Wed,2020-12-23,16:00 (14:00),Alanyaspor,1–1,Yeni Mal'spor,,Bahçeşehir Okulları Stadyumu,Alper Ulusoy,Match Report,
14,Wed,2020-12-23,16:00 (14:00),Erzurum BB,1–2,Denizlispor,,Kazım Karabekir Stadyumu,Hüseyin Göçek,Match Report,
14,Wed,2020-12-23,19:00 (17:00),Kasımpaşa,0–4,Gaziantep FK,,Recep Tayyip Erdoğan Stadyumu,Koray Gençerler,Match Report,
14,Wed,2020-12-23,19:00 (17:00),Fenerbahçe,4–1,Başakşehir,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Bahattin Şimşek,Match Report,
14,Thu,2020-12-24,16:00 (14:00),Kayserispor,1–2,Konyaspor,,Kadir Has Şehir Stadı,Ali Palabıyık,Match Report,
14,Thu,2020-12-24,16:00 (14:00),Sivasspor,3–1,Gençlerbirliği,,Sivas Arena,Tugay Kaan Numanoğlu,Match Report,
14,Thu,2020-12-24,19:00 (17:00),Rizespor,2–1,Antalyaspor,,Yeni Rize Şehir Stadı,Erkan Özdamar,Match Report,
14,Thu,2020-12-24,19:00 (17:00),Ankaragücü,0–1,Beşiktaş,,Eryaman Stadyumu,Halis Özkahya,Match Report,
15,Sat,2020-12-26,16:00 (14:00),Göztepe,1–1,Fatih Karagümrük,,Gürsel Aksel Stadyumu,Sarper Baris Saka,Match Report,
15,Sat,2020-12-26,19:00 (17:00),Trabzonspor,0–2,Galatasaray,,Şenol Güneş Stadyumu,Halil Umut Meler,Match Report,
15,Sun,2020-12-27,13:30 (11:30),Gaziantep FK,3–1,Alanyaspor,,Kalyon Arena,Yaşar Kemal Uğurlu,Match Report,
15,Sun,2020-12-27,16:00 (14:00),Yeni Mal'spor,1–3,Erzurum BB,,Yeni Malatya Stadyumu,Mustafa Öğretmenoğlu,Match Report,
15,Sun,2020-12-27,16:00 (14:00),Denizlispor,1–2,Ankaragücü,,Denizli Atatürk Stadyumu,Özgür Yankaya,Match Report,
15,Sun,2020-12-27,19:00 (17:00),Başakşehir,2–2,Kasımpaşa,,Başakşehir Fatih Terim Stadium,Fırat Aydınus,Match Report,
15,Mon,2020-12-28,16:00 (14:00),Konyaspor,1–1,Rizespor,,Konya Büyükşehir Stadı,Burak Şeker,Match Report,
15,Mon,2020-12-28,16:00 (14:00),Gençlerbirliği,3–2,Kayserispor,,Eryaman Stadyumu,Cüneyt Çakιr,Match Report,
15,Mon,2020-12-28,19:00 (17:00),Beşiktaş,3–0,Sivasspor,,Vodafone Arena,Arda Kardeşler,Match Report,
15,Tue,2020-12-29,19:00 (17:00),Antalyaspor,0–6,Hatayspor,,Antalya Stadyumu,Ramazan Keleş,Match Report,
16,Sat,2021-01-02,13:30 (11:30),Erzurum BB,1–1,Gaziantep FK,,Kazım Karabekir Stadyumu,Tugay Kaan Numanoğlu,Match Report,
16,Sat,2021-01-02,13:30 (11:30),Sivasspor,2–2,Denizlispor,,Sivas Arena,Erkan Özdamar,Match Report,
16,Sat,2021-01-02,16:00 (14:00),Alanyaspor,3–0,Başakşehir,,Bahçeşehir Okulları Stadyumu,Mete Kalkavan,Match Report,
16,Sat,2021-01-02,16:00 (14:00),Ankaragücü,3–1,Yeni Mal'spor,,Eryaman Stadyumu,Volkan Bayarslan,Match Report,
16,Sat,2021-01-02,19:00 (17:00),Galatasaray,0–0,Antalyaspor,,Türk Telekom Arena,Abdulkadir Bitigen,Match Report,
16,Sat,2021-01-02,19:00 (17:00),Hatayspor,2–1,Konyaspor,,Antakya Atatürk Stadı,Alper Ulusoy,Match Report,
16,Sun,2021-01-03,13:30 (11:30),Rizespor,1–1,Gençlerbirliği,,Yeni Rize Şehir Stadı,Suat Arslanboga,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2021-01-03,16:00 (14:00),Fatih Karagümrük,1–2,Trabzonspor,,Atatürk Olimpiyat Stadı,Ali Palabıyık,Match Report,
16,Sun,2021-01-03,19:00 (17:00),Kayserispor,0–2,Beşiktaş,,Kadir Has Şehir Stadı,Fırat Aydınus,Match Report,
16,Mon,2021-01-04,19:00 (17:00),Kasımpaşa,0–3,Fenerbahçe,,Recep Tayyip Erdoğan Stadyumu,Halis Özkahya,Match Report,
17,Tue,2021-01-05,16:00 (14:00),Yeni Mal'spor,2–2,Sivasspor,,Yeni Malatya Stadyumu,Sarper Baris Saka,Match Report,
17,Tue,2021-01-05,16:00 (14:00),Gaziantep FK,2–0,Ankaragücü,,Kalyon Arena,Alper Ulusoy,Match Report,
17,Tue,2021-01-05,19:00 (17:00),Konyaspor,4–3,Galatasaray,,Konya Büyükşehir Stadı,Arda Kardeşler,Match Report,
17,Wed,2021-01-06,13:30 (11:30),Denizlispor,0–1,Kayserispor,,Denizli Atatürk Stadyumu,Ali Şansalan,Match Report,
17,Wed,2021-01-06,16:00 (14:00),Başakşehir,1–0,Erzurum BB,,Başakşehir Fatih Terim Stadium,Yaşar Kemal Uğurlu,Match Report,
17,Wed,2021-01-06,16:00 (14:00),Gençlerbirliği,3–1,Hatayspor,,Eryaman Stadyumu,Yasin Kol,Match Report,
17,Wed,2021-01-06,16:00 (14:00),Trabzonspor,1–0,Göztepe,,Şenol Güneş Stadyumu,Cüneyt Çakιr,Match Report,
17,Wed,2021-01-06,19:00 (17:00),Antalyaspor,3–1,Fatih Karagümrük,,Antalya Stadyumu,Hüseyin Göçek,Match Report,
17,Wed,2021-01-06,19:00 (17:00),Beşiktaş,6–0,Rizespor,,Vodafone Arena,Umit Öztürk,Match Report,
17,Thu,2021-01-07,19:00 (17:00),Fenerbahçe,2–1,Alanyaspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halil Umut Meler,Match Report,
18,Sat,2021-01-09,13:30 (11:30),Sivasspor,2–1,Gaziantep FK,,Sivas Arena,Mustafa Öğretmenoğlu,Match Report,
18,Sat,2021-01-09,16:00 (14:00),Göztepe,0–1,Antalyaspor,,Gürsel Aksel Stadyumu,Mert Güzenge,Match Report,
18,Sat,2021-01-09,16:00 (14:00),Kayserispor,1–0,Yeni Mal'spor,,Kadir Has Şehir Stadı,Erkan Özdamar,Match Report,
18,Sat,2021-01-09,19:00 (17:00),Galatasaray,6–0,Gençlerbirliği,,Türk Telekom Arena,Halis Özkahya,Match Report,
18,Sun,2021-01-10,13:30 (11:30),Fatih Karagümrük,2–1,Konyaspor,,Atatürk Olimpiyat Stadı,Serkan Tokat,Match Report,
18,Sun,2021-01-10,16:00 (14:00),Ankaragücü,1–2,Başakşehir,,Eryaman Stadyumu,Tugay Kaan Numanoğlu,Match Report,
18,Sun,2021-01-10,16:00 (14:00),Rizespor,1–1,Denizlispor,,Yeni Rize Şehir Stadı,Volkan Bayarslan,Match Report,
18,Sun,2021-01-10,19:00 (17:00),Hatayspor,2–2,Beşiktaş,,Antakya Atatürk Stadı,Ali Palabıyık,Match Report,
18,Mon,2021-01-11,16:00 (14:00),Erzurum BB,0–3,Fenerbahçe,,Kazım Karabekir Stadyumu,Mete Kalkavan,Match Report,
18,Mon,2021-01-11,19:00 (17:00),Alanyaspor,1–2,Kasımpaşa,,Bahçeşehir Okulları Stadyumu,Abdulkadir Bitigen,Match Report,
19,Fri,2021-01-15,19:00 (17:00),Gençlerbirliği,1–3,Fatih Karagümrük,,Eryaman Stadyumu,Ali Şansalan,Match Report,
19,Sat,2021-01-16,13:30 (11:30),Konyaspor,2–3,Göztepe,,Konya Büyükşehir Stadı,Fırat Aydınus,Match Report,
19,Sat,2021-01-16,16:00 (14:00),Başakşehir,1–1,Sivasspor,,Başakşehir Fatih Terim Stadium,Alper Ulusoy,Match Report,
