rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
107,Ammar Al-Daheem,sa KSA,DF,Al-Fateh,29,1993,4.7,,,,,,,,,,,,,,,,,,,,,Matches
108,Aymen Dahmen,tn TUN,GK,Al-Hazem,26,1997,24.0,,,,,,,,,,,,,,,,,,,,,Matches
109,Abdurahman Al Dakheel,sa KSA,DF,Al-Hazem,,,6.7,,,,,,,,,,,,,,,,,,,,,Matches
110,Abdulkarim Darisi,sa KSA,FW,Al-Ahli,20,2003,1.2,,,,,,,,,,,,,,,,,,,,,Matches
111,Khalifah Al Dawsari,sa KSA,DF,Al-Hilal,24,1999,0.1,,,,,,,,,,,,,,,,,,,,,Matches
112,Nasser Al-Dawsari,sa KSA,"DF,MF",Al-Hilal,24,1998,6.5,,,,,,,,,,,,,,,,,,,,,Matches
113,Salem Al-Dawsari,sa KSA,MF,Al-Hilal,31,1991,25.4,,,,,,,,,,,,,,,,,,,,,Matches
114,Moussa Dembélé,fr FRA,FW,Al-Ettifaq,27,1996,21.5,,,,,,,,,,,,,,,,,,,,,Matches
115,Merih Demiral,tr TUR,DF,Al-Ahli,25,1998,17.7,,,,,,,,,,,,,,,,,,,,,Matches
116,Jason Denayer,be BEL,DF,Al-Fateh,28,1995,18.6,,,,,,,,,,,,,,,,,,,,,Matches
117,Habib Diallo,sn SEN,FW,Al-Shabab,28,1995,22.5,,,,,,,,,,,,,,,,,,,,,Matches
118,Djaniny,cv CPV,FW,Al-Fateh,32,1991,11.9,,,,,,,,,,,,,,,,,,,,,Matches
119,Mohammed Al Dosari,sa KSA,DF,Al-Ettifaq,20,2003,1.3,,,,,,,,,,,,,,,,,,,,,Matches
120,Rakan Al Dosari,sa KSA,FW,Al-Raed,21,2002,0.6,,,,,,,,,,,,,,,,,,,,,Matches
121,Saud Al Dosari,,FW,Al-Raed,,,0.1,,,,,,,,,,,,,,,,,,,,,Matches
122,Abdullah Ibrahim Al Dossary,sa KSA,"MF,DF",Al-Riyadh SC,24,1998,9.2,,,,,,,,,,,,,,,,,,,,,Matches
123,Mohammed Al Dossary,sa KSA,"DF,MF",Al-Raed,24,1999,27.3,,,,,,,,,,,,,,,,,,,,,Matches
124,Óscar Duarte,cr CRC,DF,Al-Wehda,34,1989,16.5,,,,,,,,,,,,,,,,,,,,,Matches
125,Hisham Al Dubais,sa KSA,FW,Al-Khaleej,21,2001,0.3,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
126,Marko Dugandžić,hr CRO,FW,Al-Ta'ee,29,1994,17.9,,,,,,,,,,,,,,,,,,,,,Matches
127,Abdulraouf Al Duqayl,sa KSA,GK,Al-Fayha,27,1995,5.3,,,,,,,,,,,,,,,,,,,,,Matches
128,Majid Duran,,MF,Al-Ettifaq,,,1.4,,,,,,,,,,,,,,,,,,,,,Matches
129,Abdulaziz Al Elewai,sa KSA,"MF,FW",Al-Nassr,19,2004,3.1,,,,,,,,,,,,,,,,,,,,,Matches
130,Devis Epassy,cm CMR,GK,Abha,30,1993,1.0,,,,,,,,,,,,,,,,,,,,,Matches
131,Hussain Al Essa,sa KSA,"MF,FW",Al-Wehda,22,2000,10.5,,,,,,,,,,,,,,,,,,,,,Matches
132,Mohammed Essa,sa KSA,DF,Al-Shabab,21,2002,0.5,,,,,,,,,,,,,,,,,,,,,Matches
133,Fabinho,br BRA,"MF,DF",Al-Ittihad,29,1993,17.4,,,,,,,,,,,,,,,,,,,,,Matches
134,Muath Fagihy,sa KSA,"DF,MF",Al-Taawoun,21,2002,19.3,,,,,,,,,,,,,,,,,,,,,Matches
135,Abdullah Al-Fahad,sa KSA,DF,Al-Raed,29,1994,15.0,,,,,,,,,,,,,,,,,,,,,Matches
136,Sultan Fahran,sa KSA,MF,Al-Ittihad,26,1996,5.4,,,,,,,,,,,,,,,,,,,,,Matches
137,Fayçal Fajr,ma MAR,MF,Al-Wehda,34,1988,32.8,,,,,,,,,,,,,,,,,,,,,Matches
138,Sultan Faqihi,sa KSA,DF,Damac,28,1995,7.7,,,,,,,,,,,,,,,,,,,,,Matches
139,Abdulaziz Al Faraj,sa KSA,DF,Al-Nassr,20,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
140,Salman Al-Faraj,sa KSA,MF,Al-Hilal,33,1989,6.9,,,,,,,,,,,,,,,,,,,,,Matches
141,Mohammed Al Fatil,sa KSA,DF,Al-Nassr,31,1992,12.5,,,,,,,,,,,,,,,,,,,,,Matches
142,Luiz Felipe,it ITA,DF,Al-Ittihad,26,1997,15.4,,,,,,,,,,,,,,,,,,,,,Matches
143,Ahmed Al Fiqi,sa KSA,MF,Al-Taawoun,30,1992,0.6,,,,,,,,,,,,,,,,,,,,,Matches
144,Roberto Firmino,br BRA,"MF,FW",Al-Ahli,31,1991,25.9,,,,,,,,,,,,,,,,,,,,,Matches
145,Flávio,br BRA,MF,Al-Taawoun,27,1996,31.7,,,,,,,,,,,,,,,,,,,,,Matches
146,Seko Fofana,ci CIV,MF,Al-Ettifaq,28,1995,12.3,,,,,,,,,,,,,,,,,,,,,Matches
147,Seko Fofana,ci CIV,MF,Al-Nassr,28,1995,8.5,,,,,,,,,,,,,,,,,,,,,Matches
148,Rayen Fourgi,tn TUN,FW,Al-Taawoun,20,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
149,Mohamed Fouzair,ma MAR,"MF,FW",Al-Raed,31,1991,24.9,,,,,,,,,,,,,,,,,,,,,Matches
150,Mohammed Al-Fuhaid,sa KSA,MF,Al-Fateh,33,1990,12.8,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
151,Ahmed Al Ghamdi,sa KSA,FW,Al-Ettifaq,21,2001,2.9,,,,,,,,,,,,,,,,,,,,,Matches
152,Ahmed Al Ghamdi,sa KSA,"MF,FW",Al-Ittihad,21,2001,6.6,,,,,,,,,,,,,,,,,,,,,Matches
153,Faisal Al Ghamdi,sa KSA,MF,Al-Ettifaq,21,2001,4.2,,,,,,,,,,,,,,,,,,,,,Matches
154,Faisal Al Ghamdi,sa KSA,MF,Al-Ittihad,21,2001,15.0,,,,,,,,,,,,,,,,,,,,,Matches
155,Feras Al Ghamdi,sa KSA,"MF,FW",Al-Raed,23,1999,6.0,,,,,,,,,,,,,,,,,,,,,Matches
156,Hamed Al-Ghamdi,sa KSA,"MF,FW",Al-Ettifaq,24,1999,4.9,,,,,,,,,,,,,,,,,,,,,Matches
157,Hazzaa Al Ghamdi,sa KSA,"FW,MF",Al-Wehda,22,2001,7.2,,,,,,,,,,,,,,,,,,,,,Matches
158,Mohammed Al Ghamdi,sa KSA,DF,Al-Taawoun,31,1992,10.0,,,,,,,,,,,,,,,,,,,,,Matches
159,Raed Al-Ghamdi,sa KSA,FW,Al-Raed,29,1994,2.3,,,,,,,,,,,,,,,,,,,,,Matches
160,Sultan Al-Ghanam,sa KSA,DF,Al-Nassr,29,1994,22.0,,,,,,,,,,,,,,,,,,,,,Matches
