rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-261,1993,22.6,1324,1514,87.5,24838,9337,468,501,705,772,133,196,1,0.2,0.6,+0.8,6,132,7,2,127,Matches
19,Matheus Alves,br BRA,"MF,FW",São Paulo,20-237,2005,4.1,95,122,77.9,1328,247,55,63,28,35,5,12,1,0.7,0.4,+0.3,3,7,3,0,12,Matches
20,Francis Amuzu,be BEL,FW,Grêmio,26-066,1999,7.9,168,215,78.1,2620,570,99,113,50,61,15,27,2,1.8,1.3,+0.2,14,10,10,4,17,Matches
21,Felipe Anderson,br BRA,"MF,FW",Palmeiras,32-196,1993,15.8,600,719,83.4,9075,2474,323,356,226,260,22,38,2,1.5,1.3,+0.5,21,50,21,1,82,Matches
22,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-198,2005,1.8,42,65,64.6,733,235,25,31,12,23,5,10,1,0.4,0.1,+0.6,2,8,2,0,10,Matches
23,André,br BRA,"MF,FW",Corinthians,19-130,2006,1.4,28,43,65.1,486,142,11,15,13,18,3,4,0,0.0,0.0,0.0,0,3,1,0,3,Matches
24,José Andrés Martínez,ve VEN,MF,Corinthians,31-082,1994,13.0,456,576,79.2,8768,2309,200,233,184,220,64,86,1,0.9,1.0,+0.1,9,52,9,3,57,Matches
25,Wilker Ángel,ve VEN,DF,Juventude,32-224,1993,13.7,452,528,85.6,9275,3213,122,125,275,297,53,103,0,0.0,0.0,0.0,1,11,0,0,23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Fabrizio Angileri,ar ARG,DF,Corinthians,31-227,1994,13.8,702,887,79.1,13218,4776,296,328,315,382,85,132,0,0.6,0.5,-0.6,9,59,7,5,60,Matches
27,Anthoni,br BRA,GK,Internacional,23-278,2002,16.5,288,411,70.1,7572,5587,69,71,131,132,82,202,0,0.0,0.0,0.0,1,5,0,0,0,Matches
28,Marcos Antônio,br BRA,MF,São Paulo,25-137,2000,16.8,808,907,89.1,13268,3247,400,435,324,347,59,68,3,2.5,2.3,+0.5,21,90,18,1,96,Matches
29,Léo Aragão,br BRA,GK,Cruzeiro,23-192,2002,2.7,56,70,80.0,1445,783,8,8,37,37,11,25,0,0.0,0.0,0.0,0,1,0,0,0,Matches
30,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-197,1997,12.0,633,735,86.1,9884,2779,355,375,232,266,38,61,1,1.5,1.9,-0.5,13,44,19,11,72,Matches
31,Willian Arão,br BRA,MF,Santos,32-329,1992,1.0,41,51,80.4,695,236,20,25,17,18,4,6,0,0.0,0.0,0.0,0,5,0,0,7,Matches
32,Luiz Araújo,br BRA,"FW,MF",Flamengo,29-148,1996,15.5,516,679,76.0,8462,2022,264,299,191,226,44,98,2,3.4,2.9,-1.4,32,40,18,3,77,Matches
33,Matheus Araújo,br BRA,"MF,FW",Ceará,23-159,2002,3.0,66,90,73.3,1162,408,31,41,23,26,8,13,1,0.6,0.3,+0.4,5,12,5,2,15,Matches
34,Michel Araujo,uy URU,"MF,FW",Bahia,29-030,1996,7.5,258,310,83.2,3928,962,141,159,92,102,17,31,1,0.5,0.4,+0.5,11,21,9,1,34,Matches
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-052,2002,5.8,133,164,81.1,1954,399,71,80,50,58,5,7,0,0.8,0.8,-0.8,6,5,7,3,10,Matches
36,Robert Arboleda,ec ECU,DF,São Paulo,34-006,1991,18.2,839,919,91.3,16415,5215,252,261,501,523,78,119,0,0.0,0.1,0.0,0,26,0,0,15,Matches
37,Lucas Arcanjo,br BRA,GK,Vitória,27-081,1998,28.3,558,810,68.9,16940,11765,64,64,305,311,186,431,0,0.1,0.0,-0.1,3,14,0,0,1,Matches
38,Matias Arezo,uy URU,FW,Grêmio,22-341,2002,3.0,32,55,58.2,508,98,17,31,12,13,2,4,1,0.8,0.2,+0.2,6,3,2,1,5,Matches
39,Jhon Arias,co COL,FW,Fluminense,28-037,1997,12.0,610,732,83.3,8431,2112,375,405,163,189,30,74,4,2.9,3.0,+1.1,33,37,24,10,55,Matches
40,Santiago Arias,co COL,DF,Bahia,33-288,1992,9.8,545,641,85.0,8532,3226,271,294,243,271,19,36,0,0.3,0.7,-0.3,5,46,8,6,44,Matches
41,Keny Arroyo,ec ECU,FW,Cruzeiro,19-256,2006,3.2,90,107,84.1,1231,264,51,56,28,34,3,4,1,0.7,0.3,+0.3,6,3,4,1,8,Matches
42,Arthur,br BRA,FW,Sport Recife,22-230,2003,2.2,26,30,86.7,348,42,16,18,9,10,0,0,0,0.3,0.1,-0.3,8,1,0,0,1,Matches
43,Artur,br BRA,"FW,MF",Botafogo (RJ),27-255,1998,15.4,362,468,77.4,5895,1468,182,211,144,186,25,46,4,2.8,3.0,+1.2,30,26,24,6,58,Matches
44,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,23-120,2002,6.0,263,330,79.7,4957,1189,125,140,86,104,44,70,0,0.5,1.3,-0.5,13,31,4,0,40,Matches
45,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-244,2000,2.1,65,81,80.2,868,161,40,47,18,22,3,3,0,0.2,0.1,-0.2,4,5,2,1,5,Matches
46,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,25-121,2000,1.8,16,27,59.3,186,24,15,16,1,5,0,1,0,0.1,0.0,-0.1,3,0,0,0,0,Matches
47,Leo Augusto Pereira,br BRA,FW,Sport Recife,25-121,2000,6.0,46,89,51.7,681,228,24,29,18,34,2,10,1,1.0,0.6,0.0,4,2,6,3,6,Matches
48,Renato Augusto,br BRA,"MF,FW",Fluminense,37-262,1988,0.2,3,3,100.0,53,0,2,2,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Gastón Ávila,ar ARG,DF,Fortaleza,24-028,2001,16.8,585,767,76.3,12293,4874,185,209,299,343,94,190,0,0.2,0.4,-0.2,5,45,8,3,49,Matches
50,Aylon,br BRA,"FW,MF",Ceará,33-204,1992,7.5,114,167,68.3,1584,373,80,100,28,42,4,7,0,0.1,0.2,-0.1,2,7,5,2,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Matheus Babi,br BRA,FW,Juventude,28-102,1997,4.6,46,73,63.0,601,68,30,40,16,25,0,1,0,0.1,0.2,-0.1,3,2,1,0,3,Matches
52,Bahia,br BRA,MF,Corinthians,19-299,2006,0.5,13,17,76.5,169,63,8,9,4,5,0,1,0,0.0,0.0,0.0,0,1,0,0,2,Matches
53,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26-338,1998,1.6,91,102,89.2,1476,517,41,44,42,45,6,10,0,0.0,0.0,0.0,0,7,0,0,7,Matches
54,Matheus Bahia,br BRA,DF,Ceará,26-078,1999,19.5,642,849,75.6,11118,4787,296,342,277,352,61,112,1,1.6,2.1,-0.6,18,59,24,22,61,Matches
