rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
16,José Aja,uy URU,DF,Minnesota Utd,26,1993,11.9,26,20,23,1,2,24,35,11,17,11,6,20,46,63,0,Matches
17,Jacob Akanyirige,us USA,DF,SJ Earthquakes,18,2001,0.8,1,1,1,0,0,0,0,0,0,0,0,4,5,1,0,Matches
18,Tesho Akindele,ca CAN,FW,Orlando City,27,1992,9.1,9,3,3,4,2,4,9,5,6,1,5,4,13,8,0,Matches
19,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,20,2000,11.8,3,1,0,2,1,1,7,6,2,1,1,1,4,4,0,Matches
20,Oswaldo Alanís,mx MEX,DF,SJ Earthquakes,30,1989,13.2,19,11,12,7,0,12,20,8,15,8,7,17,36,43,0,Matches
21,Fatai Alashe,us USA,MF,Columbus Crew,26,1993,4.8,1,0,1,0,0,0,5,5,6,0,6,4,5,2,0,Matches
22,Fatai Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,2,1,2,0,0,1,1,0,0,0,0,0,2,1,0,Matches
23,Ignacio Aliseda,ar ARG,"FW,MF",Chicago Fire,19,2000,15.5,9,4,3,5,1,5,12,7,8,0,8,10,19,5,0,Matches
24,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,34,1985,8.3,14,7,9,3,2,8,20,12,8,4,4,11,25,10,0,Matches
25,Jozy Altidore,us USA,FW,Toronto FC,30,1989,8.3,4,3,0,3,1,0,3,3,3,1,2,1,5,4,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Alexander Alvarado,ec ECU,"FW,MF",Orlando City,20,1999,0.3,2,0,1,0,1,2,4,2,0,0,0,2,4,1,0,Matches
27,Efrain Alvarez,mx MEX,"FW,MF",LA Galaxy,17,2002,8.0,11,5,1,8,2,3,13,10,6,0,6,10,21,3,0,Matches
28,Luis Amarilla,py PAR,FW,Minnesota Utd,24,1995,4.7,3,2,0,2,1,0,4,4,2,0,2,1,4,1,0,Matches
29,Frankie Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,60,39,28,23,9,14,48,34,22,6,16,25,85,19,0,Matches
30,Mikey Ambrose,us USA,DF,Inter Miami,26,1993,3.4,4,2,3,1,0,2,3,1,2,0,2,4,8,4,0,Matches
31,José Andrés Martínez,ve VEN,MF,Philadelphia Union,25,1994,12.7,31,20,18,11,2,11,33,22,19,7,12,23,54,18,0,Matches
32,Jalil Anibaba,us USA,DF,Nashville SC,31,1988,6.5,7,4,4,2,1,4,4,0,9,4,5,6,13,16,0,Matches
33,Brian Anunga,cm CMR,MF,Nashville SC,23,1996,8.7,15,9,12,2,1,5,11,6,10,1,9,15,30,9,1,Matches
34,Julian Araujo,mx MEX,"DF,FW",LA Galaxy,18,2001,14.3,37,28,20,8,9,18,31,13,28,5,23,25,62,25,0,Matches
35,Luis Argudo,us USA,MF,Inter Miami,24,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Daniel Armando Ríos,mx MEX,FW,Nashville SC,24,1995,7.8,3,0,0,3,0,0,3,3,5,0,5,1,4,1,0,Matches
37,Xavier Arreaga,ec ECU,DF,Seattle Sounders,25,1994,12.7,22,13,15,7,0,16,27,11,9,2,7,27,49,38,1,Matches
38,Paul Arriola,us USA,"DF,MF",D.C. United,24,1995,0.2,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,Matches
39,Artur,br BRA,MF,Columbus Crew,23,1996,20.3,74,40,27,37,10,34,61,27,26,6,20,28,102,18,0,Matches
40,Yamil Asad,ar ARG,"MF,FW",D.C. United,25,1994,17.5,44,27,28,10,6,21,51,30,26,6,20,18,62,5,0,Matches
41,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,27,1992,0.5,3,2,1,1,1,1,1,0,0,0,0,2,5,0,0,Matches
42,Joshua Atencio,us USA,"MF,DF",Seattle Sounders,18,2002,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Matches
43,Jeff Attinella,us USA,GK,Portland Timbers,31,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Eduard Atuesta,co COL,MF,LAFC,22,1997,14.7,32,24,10,16,6,15,44,29,19,0,19,31,63,15,0,Matches
45,Auro,br BRA,DF,Toronto FC,24,1996,16.6,30,22,13,13,4,15,29,14,10,0,10,25,55,32,0,Matches
46,Micheal Azira,ug UGA,"MF,DF",Chicago Fire,32,1987,1.4,2,1,1,1,0,2,2,0,0,0,0,5,7,3,0,Matches
47,Dominique Badji,sn SEN,FW,Nashville SC,27,1992,8.3,2,0,0,0,2,0,2,2,4,1,3,2,4,7,0,Matches
48,Zico Bailey,ph PHI,DF,FC Cincinnati,19,2000,3.3,7,5,3,3,1,3,8,5,2,2,0,10,17,10,0,Matches
49,Theo Bair,ca CAN,"FW,MF",Vancouver W'caps,20,1999,4.9,5,3,1,0,4,1,3,2,1,1,0,1,6,5,0,Matches
