squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Minnesota Utd,28,27.5,47.1,21,231,1890,21.0,33,27,60,31,2,3,40,2,32.3,29.8,23.4,53.2,361,831,1.57,1.29,2.86,1.48,2.76,1.54,1.11,2.65,1.42,2.54
Montreal Impact,26,26.2,48.0,23,253,2070,23.0,33,21,54,29,4,4,32,5,31.3,28.2,22.1,50.3,402,928,1.43,0.91,2.35,1.26,2.17,1.36,0.96,2.32,1.22,2.19
Nashville SC,26,26.9,44.6,23,253,2070,23.0,24,20,44,24,0,1,34,1,25.6,24.8,19.7,44.5,362,784,1.04,0.87,1.91,1.04,1.91,1.11,0.86,1.97,1.08,1.93
NE Revolution,25,26.6,51.0,23,253,2070,23.0,25,17,42,24,1,3,36,2,35.9,33.4,27.7,61.1,393,963,1.09,0.74,1.83,1.04,1.78,1.56,1.2,2.76,1.45,2.66
NY Red Bulls,27,25.0,45.9,23,253,2070,23.0,29,21,50,28,1,1,30,1,29.1,28.4,22.8,51.1,332,929,1.26,0.91,2.17,1.22,2.13,1.27,0.99,2.26,1.23,2.22
NYCFC,22,26.7,55.7,23,253,2070,23.0,36,26,62,33,3,3,50,1,38.1,35.7,29.4,65.1,504,1107,1.57,1.13,2.7,1.43,2.57,1.66,1.28,2.93,1.55,2.83
Orlando City,28,26.2,50.2,23,253,2070,23.0,39,30,69,38,1,1,48,2,33.2,32.4,27.0,59.4,375,846,1.7,1.3,3.0,1.65,2.96,1.44,1.17,2.62,1.41,2.58
Philadelphia Union,23,25.8,48.2,23,253,2070,23.0,43,30,73,41,2,2,55,0,36.7,35.1,29.4,64.5,376,928,1.87,1.3,3.17,1.78,3.09,1.6,1.28,2.87,1.53,2.8
Portland Timbers,27,27.9,46.6,23,253,2070,23.0,46,34,80,43,3,3,45,1,33.1,30.8,24.4,55.1,384,893,2.0,1.48,3.48,1.87,3.35,1.44,1.06,2.5,1.34,2.4
Real Salt Lake,26,27.0,52.8,22,242,1980,22.0,23,14,37,21,2,3,49,2,28.5,26.1,20.1,46.2,335,775,1.05,0.64,1.68,0.95,1.59,1.3,0.91,2.21,1.19,2.1
Seattle Sounders,27,27.9,54.2,22,242,1980,22.0,42,30,72,37,5,5,32,0,40.9,37.0,32.4,69.4,348,1014,1.91,1.36,3.27,1.68,3.05,1.86,1.47,3.33,1.68,3.15
SJ Earthquakes,27,27.3,55.4,23,253,2070,23.0,34,23,57,30,4,5,38,1,32.1,28.2,21.0,49.2,438,961,1.48,1.0,2.48,1.3,2.3,1.4,0.91,2.31,1.23,2.14
Sporting KC,23,27.9,49.7,21,231,1890,21.0,37,24,61,36,1,1,45,2,34.2,33.4,23.3,56.7,492,925,1.76,1.14,2.9,1.71,2.86,1.63,1.11,2.74,1.59,2.7
Toronto FC,29,28.0,54.2,23,253,2070,23.0,33,22,55,28,5,5,35,0,36.4,32.7,25.5,58.2,404,1105,1.43,0.96,2.39,1.22,2.17,1.58,1.11,2.69,1.42,2.53
Vancouver W'caps,27,25.5,41.9,23,253,2070,23.0,24,18,42,22,2,4,45,4,25.0,21.9,18.1,39.9,283,685,1.04,0.78,1.83,0.96,1.74,1.09,0.79,1.87,0.95,1.74
