rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
21,Fatai Alashe,us USA,MF,Columbus Crew,26,1993,4.8,190,227,83.7,3355,970,85,97,80,88,20,30,0,0.1,0.1,-0.1,4,27,1,0,24,Matches
22,Fatai Alashe,us USA,MF,FC Cincinnati,26,1993,0.3,5,5,100.0,113,0,2,2,1,1,2,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
23,Ignacio Aliseda,ar ARG,"FW,MF",Chicago Fire,19,2000,15.5,323,379,85.2,5009,1001,168,185,132,150,15,20,2,1.9,1.6,+0.1,16,28,16,1,67,Matches
24,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,34,1985,8.3,451,498,90.6,8316,2919,188,200,196,210,58,65,0,0.3,0.3,-0.3,4,62,2,2,51,Matches
25,Jozy Altidore,us USA,FW,Toronto FC,30,1989,8.3,178,238,74.8,2729,602,86,113,58,72,16,23,0,0.8,0.8,-0.8,10,18,7,1,32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Alexander Alvarado,ec ECU,"FW,MF",Orlando City,20,1999,0.3,9,10,90.0,129,25,6,6,3,3,0,1,0,0.0,0.0,0.0,0,0,0,0,1,Matches
27,Efrain Alvarez,mx MEX,"FW,MF",LA Galaxy,17,2002,8.0,266,379,70.2,5025,1833,133,160,77,98,51,96,1,2.1,1.4,-1.1,19,30,13,1,48,Matches
28,Luis Amarilla,py PAR,FW,Minnesota Utd,24,1995,4.7,84,119,70.6,1196,248,54,68,26,35,3,6,1,0.5,0.2,+0.5,4,7,4,1,11,Matches
29,Frankie Amaya,us USA,MF,FC Cincinnati,19,2000,19.3,795,920,86.4,15002,3105,327,362,345,373,107,156,0,0.4,0.9,-0.4,10,60,5,0,74,Matches
30,Mikey Ambrose,us USA,DF,Inter Miami,26,1993,3.4,100,138,72.5,1601,795,59,71,34,43,6,14,0,0.1,0.3,-0.1,3,10,5,2,7,Matches
31,José Andrés Martínez,ve VEN,MF,Philadelphia Union,25,1994,12.7,505,613,82.4,10374,3164,186,217,229,264,87,110,2,0.8,0.7,+1.2,5,67,3,1,70,Matches
32,Jalil Anibaba,us USA,DF,Nashville SC,31,1988,6.5,191,263,72.6,3922,1668,67,78,91,112,32,66,0,0.0,0.1,0.0,0,15,0,0,16,Matches
33,Brian Anunga,cm CMR,MF,Nashville SC,23,1996,8.7,334,389,85.9,5486,1192,167,188,132,142,24,40,0,0.0,0.1,0.0,1,24,1,0,28,Matches
34,Julian Araujo,mx MEX,"DF,FW",LA Galaxy,18,2001,14.3,424,589,72.0,6803,2919,224,268,147,205,35,69,2,2.2,1.6,-0.2,14,32,16,10,38,Matches
35,Luis Argudo,us USA,MF,Inter Miami,24,1995,0.1,9,10,90.0,137,4,4,4,4,4,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
36,Daniel Armando Ríos,mx MEX,FW,Nashville SC,24,1995,7.8,139,169,82.2,1758,160,93,100,33,42,6,8,0,0.9,0.7,-0.9,7,6,2,0,11,Matches
37,Xavier Arreaga,ec ECU,DF,Seattle Sounders,25,1994,12.7,660,728,90.7,13855,4788,199,210,344,365,113,143,1,0.3,0.1,+0.7,1,23,1,0,34,Matches
38,Paul Arriola,us USA,"DF,MF",D.C. United,24,1995,0.2,11,17,64.7,161,77,6,7,4,7,0,1,0,0.0,0.0,0.0,0,2,0,0,2,Matches
39,Artur,br BRA,MF,Columbus Crew,23,1996,20.3,1047,1191,87.9,20702,5365,374,420,496,538,159,190,2,1.0,1.9,+1.0,11,104,8,0,104,Matches
40,Yamil Asad,ar ARG,"MF,FW",D.C. United,25,1994,17.5,610,797,76.5,10041,2808,328,372,207,265,60,113,2,1.7,1.2,+0.3,17,61,20,4,91,Matches
41,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,27,1992,0.5,9,16,56.3,127,32,4,4,5,9,0,2,0,0.0,0.1,0.0,0,1,1,1,0,Matches
42,Joshua Atencio,us USA,"MF,DF",Seattle Sounders,18,2002,0.2,31,34,91.2,566,134,11,12,18,19,2,2,0,0.0,0.0,0.0,0,4,0,0,2,Matches
43,Jeff Attinella,us USA,GK,Portland Timbers,31,1988,1.0,26,33,78.8,833,643,3,3,11,11,12,18,0,0.0,0.0,0.0,1,0,0,0,0,Matches
44,Eduard Atuesta,co COL,MF,LAFC,22,1997,14.7,1025,1233,83.1,18064,6229,485,529,428,475,102,164,2,1.9,2.4,+0.1,18,153,36,1,168,Matches
45,Auro,br BRA,DF,Toronto FC,24,1996,16.6,1008,1219,82.7,15462,5485,528,574,358,418,69,126,0,2.9,2.4,-2.9,14,83,15,5,92,Matches
46,Micheal Azira,ug UGA,"MF,DF",Chicago Fire,32,1987,1.4,59,75,78.7,995,272,31,34,20,27,6,9,0,0.0,0.0,0.0,1,3,0,0,3,Matches
47,Dominique Badji,sn SEN,FW,Nashville SC,27,1992,8.3,101,137,73.7,1468,297,61,77,31,38,5,11,1,0.3,0.5,+0.7,7,4,5,1,10,Matches
48,Zico Bailey,ph PHI,DF,FC Cincinnati,19,2000,3.3,151,170,88.8,2700,741,66,68,70,79,15,16,0,0.4,0.2,-0.4,4,9,5,1,18,Matches
49,Theo Bair,ca CAN,"FW,MF",Vancouver W'caps,20,1999,4.9,78,101,77.2,1085,222,49,59,25,34,1,1,0,0.3,0.6,-0.3,2,2,2,1,2,Matches
50,Corey Baird,us USA,"FW,MF",Real Salt Lake,24,1996,17.0,409,557,73.4,5993,1372,230,280,141,180,18,43,2,1.5,2.9,+0.5,16,32,14,4,51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Michael Baldisimo,ph PHI,MF,Vancouver W'caps,19,2000,7.8,350,427,82.0,7726,2581,121,131,150,171,77,114,0,0.3,0.5,-0.3,6,30,0,0,28,Matches
52,Esequiel Barco,ar ARG,"MF,FW",Atlanta Utd,20,1999,11.5,483,591,81.7,7468,1524,269,307,155,186,37,59,2,0.9,1.4,+1.1,16,36,20,0,60,Matches
53,Tom Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,142,209,67.9,1795,274,90,122,38,56,4,7,0,0.6,0.4,-0.6,4,9,3,0,11,Matches
54,Álvaro Barreal,ar ARG,"FW,MF",FC Cincinnati,19,2000,3.6,57,85,67.1,1036,284,23,33,28,35,5,13,0,0.0,0.3,0.0,0,3,2,2,5,Matches
55,Michael Barrios,co COL,"FW,MF",FC Dallas,28,1991,18.6,389,588,66.2,6127,1898,199,251,141,208,29,69,3,5.6,3.8,-2.6,39,28,39,10,67,Matches
56,Cole Bassett,us USA,MF,Colorado Rapids,18,2001,10.9,352,440,80.0,5553,1203,176,195,144,165,20,46,5,1.7,0.8,+3.3,11,22,7,1,42,Matches
57,Clement Bayiha,ca CAN,"DF,FW",Montreal Impact,20,1999,0.8,23,32,71.9,328,102,15,15,7,11,1,2,0,0.1,0.0,-0.1,1,0,0,0,3,Matches
