squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Houston Dynamo,27,27.8,48.4,34,374,3060,34.0,43,30,73,38,5,6,95,6,44.3,39.8,30.6,70.4,533,1193,1.26,0.88,2.15,1.12,2.0,1.3,0.9,2.2,1.17,2.07
Inter Miami,30,26.5,47.4,34,374,3060,34.0,46,31,77,41,5,5,69,5,42.0,38.1,30.5,68.6,566,1157,1.35,0.91,2.26,1.21,2.12,1.23,0.9,2.13,1.12,2.02
LA Galaxy,25,27.0,56.1,34,374,3060,34.0,57,42,99,48,9,14,80,4,59.6,49.1,40.4,89.5,643,1635,1.68,1.24,2.91,1.41,2.65,1.75,1.19,2.94,1.44,2.63
LAFC,30,26.9,51.8,34,374,3060,34.0,65,41,106,60,5,7,79,2,62.2,56.7,43.4,100.1,570,1557,1.91,1.21,3.12,1.76,2.97,1.83,1.28,3.11,1.67,2.94
Minnesota Utd,26,27.5,45.8,34,374,3060,34.0,46,31,77,43,3,4,79,2,45.4,42.1,31.0,73.0,538,1416,1.35,0.91,2.26,1.26,2.18,1.33,0.91,2.24,1.24,2.15
Nashville SC,23,28.7,46.3,34,374,3060,34.0,52,37,89,45,7,9,73,2,52.4,45.6,36.1,81.7,488,1205,1.53,1.09,2.62,1.32,2.41,1.54,1.06,2.6,1.34,2.4
NE Revolution,32,27.1,51.3,34,374,3060,34.0,47,36,83,41,6,6,56,2,44.7,40.3,33.8,74.2,602,1554,1.38,1.06,2.44,1.21,2.26,1.32,0.99,2.31,1.19,2.18
NY Red Bulls,28,23.6,42.9,34,374,3060,34.0,48,29,77,39,9,10,85,5,45.5,37.7,26.4,64.0,481,1192,1.41,0.85,2.26,1.15,2.0,1.34,0.78,2.11,1.11,1.88
NYCFC,25,25.9,56.4,34,374,3060,34.0,56,39,95,49,7,9,81,2,58.5,52.8,41.3,94.1,678,1486,1.65,1.15,2.79,1.44,2.59,1.72,1.21,2.94,1.55,2.77
Orlando City,27,27.1,50.4,34,374,3060,34.0,42,34,76,39,3,4,81,3,40.1,37.1,29.9,66.9,517,1406,1.24,1.0,2.24,1.15,2.15,1.18,0.88,2.06,1.09,1.97
Philadelphia Union,22,26.1,43.9,34,374,3060,34.0,70,49,119,61,9,10,68,3,59.3,51.6,38.7,90.3,451,1236,2.06,1.44,3.5,1.79,3.24,1.74,1.14,2.88,1.52,2.66
Portland Timbers,27,27.9,48.2,34,374,3060,34.0,52,35,87,42,10,11,94,5,50.3,41.6,34.3,75.9,518,1326,1.53,1.03,2.56,1.24,2.26,1.48,1.01,2.49,1.22,2.23
Real Salt Lake,31,27.6,47.4,34,374,3060,34.0,43,33,76,42,1,2,69,1,45.0,43.4,33.7,77.2,531,1278,1.26,0.97,2.24,1.24,2.21,1.32,0.99,2.32,1.28,2.27
Seattle Sounders,26,27.7,52.9,34,374,3060,34.0,44,27,71,38,6,7,64,4,47.6,42.4,33.0,75.3,516,1458,1.29,0.79,2.09,1.12,1.91,1.4,0.97,2.37,1.25,2.22
SJ Earthquakes,27,25.7,56.4,34,374,3060,34.0,52,35,87,45,7,7,66,1,44.9,39.5,30.8,70.3,581,1426,1.53,1.03,2.56,1.32,2.35,1.32,0.91,2.23,1.16,2.07
Sporting KC,25,28.0,50.0,34,374,3060,34.0,40,21,61,37,3,5,64,6,38.8,34.9,26.1,61.0,619,1197,1.18,0.62,1.79,1.09,1.71,1.14,0.77,1.91,1.03,1.8
Toronto FC,33,26.9,51.0,34,374,3060,34.0,48,31,79,42,6,8,66,2,42.3,36.0,28.5,64.5,575,1415,1.41,0.91,2.32,1.24,2.15,1.24,0.84,2.08,1.06,1.9
Vancouver W'caps,33,25.6,41.9,34,374,3060,34.0,40,23,63,36,4,5,70,3,38.3,34.3,26.1,60.5,471,1294,1.18,0.68,1.85,1.06,1.74,1.13,0.77,1.89,1.01,1.78
