rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
18,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,20,1999,0.8,3,1,0,3,0,0,2,2,0,0,0,0,3,1,0,Matches
19,Felipe Araruna,br BRA,DF,Reading,24,1996,1.7,4,4,3,1,0,3,4,1,0,0,0,0,4,5,0,Matches
20,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5.0,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,Matches
21,Adam Armstrong,eng ENG,FW,Blackburn,23,1997,38.4,17,11,6,8,3,3,13,10,28,0,28,6,23,1,1,Matches
22,Paul Arriola,us USA,MF,Swansea City,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Harry Arter,ie IRL,MF,Nott'ham Forest,30,1989,8.0,19,12,4,12,3,9,24,15,8,3,5,5,24,7,0,Matches
24,Britt Assombalonga,cd COD,FW,Middlesbrough,27,1992,19.2,0,0,0,0,0,0,2,2,3,0,3,1,1,10,0,Matches
25,Charlie Austin,eng ENG,FW,QPR,31,1989,15.7,13,7,2,9,2,4,9,5,9,1,8,5,18,9,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Daniel Ayala,es ESP,DF,Blackburn,29,1990,8.7,12,9,10,2,0,3,5,2,8,7,1,11,23,41,0,Matches
27,André Ayew,gh GHA,FW,Swansea City,30,1989,40.6,32,13,8,19,5,7,31,24,25,6,19,9,41,65,1,Matches
28,Femi Azeez,eng ENG,MF,Reading,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Fouad Bachirou,km COM,MF,Nott'ham Forest,30,1990,0.4,0,0,0,0,0,0,1,1,1,0,1,2,2,2,0,Matches
30,Daniel Bachmann,at AUT,GK,Watford,26,1994,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Matches
31,Juninho Bacuna,cw CUW,"MF,FW",Huddersfield,22,1997,36.8,43,28,15,24,4,22,70,48,49,3,46,26,69,36,0,Matches
32,Leandro Bacuna,cw CUW,"DF,MF",Cardiff City,28,1991,32.4,50,37,21,26,3,25,45,20,26,2,24,27,77,44,2,Matches
33,Joel Bagan,ie IRL,DF,Cardiff City,20,2000,5.2,13,7,8,4,1,3,6,3,9,3,6,4,17,13,0,Matches
34,Amadou Bakayoko,sl SLE,"FW,MF",Coventry City,24,1996,3.5,1,1,1,0,0,0,0,0,3,0,3,0,1,2,0,Matches
35,Nathan Baker,eng ENG,DF,Bristol City,29,1991,2.2,0,0,0,0,0,0,1,1,2,2,0,6,6,6,0,Matches
36,Tyreeq Bakinson,eng ENG,MF,Bristol City,21,1998,22.9,30,17,11,17,2,12,40,28,21,9,12,29,59,34,1,Matches
37,Sam Baldock,eng ENG,FW,Reading,31,1989,5.7,7,4,3,3,1,1,2,1,4,0,4,3,10,2,0,Matches
38,Dominic Ball,eng ENG,MF,QPR,24,1995,24.3,32,21,14,13,5,14,40,26,21,7,14,27,59,34,0,Matches
39,Sol Bamba,ci CIV,DF,Cardiff City,35,1985,0.3,1,0,0,1,0,1,2,1,1,0,1,0,1,4,0,Matches
40,Beni Baningime,cd COD,MF,Derby County,21,1998,1.0,6,2,2,3,1,4,4,0,0,0,0,0,6,3,1,Matches
41,Barry Bannan,sct SCO,MF,Sheffield Weds,30,1989,44.6,62,36,25,32,5,34,73,39,35,6,29,54,116,35,0,Matches
42,Will Bapaga,eng ENG,"MF,FW",Coventry City,17,2002,0.3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Matches
43,Shandon Baptiste,gd GRN,MF,Brentford,22,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
