rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
13,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29,29,2610,29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
14,Sone Aluko,ng NGA,"FW,MF",Reading,31,1989,33,9,991,11.0,2,2,4,2,0,0,0,0,1.5,1.5,0.8,2.3,52,41,66,0.18,0.18,0.36,0.18,0.36,0.14,0.08,0.22,0.14,0.21,Matches
15,Sammy Ameobi,eng ENG,"FW,MF",Nott'ham Forest,28,1992,32,27,2225,24.7,3,2,5,3,0,0,3,0,3.1,3.1,3.6,6.7,91,102,130,0.12,0.08,0.20,0.12,0.20,0.13,0.15,0.27,0.13,0.27,Matches
16,Luke Amos,eng ENG,MF,QPR,23,1997,5,5,397,4.4,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,3,11,15,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches
17,Miguel Ángel Guerrero,es ESP,"FW,MF",Nott'ham Forest,30,1990,9,4,392,4.4,0,0,0,0,0,0,1,0,1.1,1.1,0.8,1.9,7,9,19,0.00,0.00,0.00,0.00,0.00,0.26,0.17,0.43,0.26,0.43,Matches
18,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,20,1999,5,0,71,0.8,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,5,1,15,0.00,1.27,1.27,0.00,1.27,0.16,0.46,0.61,0.16,0.61,Matches
19,Felipe Araruna,br BRA,DF,Reading,24,1996,2,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Adam Armstrong,eng ENG,FW,Blackburn,23,1997,40,40,3459,38.4,28,5,33,23,5,8,3,0,29.3,23.0,4.8,27.8,104,83,307,0.73,0.13,0.86,0.60,0.73,0.76,0.12,0.89,0.60,0.72,Matches
22,Paul Arriola,us USA,MF,Swansea City,25,1995,2,0,18,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,2.26,0.00,2.26,2.26,2.26,Matches
