rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Mads Bech Sørensen,dk DEN,DF,Brentford,21,1999,29.8,2,4,2,50.0,0.13,0.07,0.50,1.00,9.8,0,0,0,0.6,0.6,0.16,+1.4,+1.4,Matches
52,Asmir Begović,ba BIH,GK,Bournemouth,33,1987,45.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Jérémie Bela,ao ANG,"FW,MF",Birmingham City,27,1993,25.0,3,52,18,34.6,2.08,0.72,0.02,0.06,20.6,7,2,2,4.8,3.2,0.06,-1.8,-2.2,Matches
54,Amari'i Bell,jm JAM,DF,Blackburn,26,1994,17.0,0,10,3,30.0,0.59,0.18,0.00,0.00,19.3,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
55,Sam Bell,eng ENG,"MF,FW",Bristol City,18,2002,0.4,0,1,0,0.0,2.57,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
56,Steven Benda,de GER,GK,Swansea City,21,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Filip Benković,hr CRO,DF,Cardiff City,23,1997,0.8,0,1,0,0.0,1.27,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
58,Elliott Bennett,eng ENG,"DF,FW",Blackburn,31,1988,2.8,0,2,1,50.0,0.72,0.36,0.00,0.00,23.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
59,Joe Bennett,eng ENG,DF,Cardiff City,30,1990,26.5,1,9,1,11.1,0.34,0.04,0.11,1.00,12.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
60,Mason Bennett,eng ENG,"FW,MF",Millwall,24,1996,25.5,6,49,14,28.6,1.92,0.55,0.12,0.43,16.2,0,0,0,5.4,5.4,0.11,+0.6,+0.6,Matches
61,Ryan Bennett,eng ENG,DF,Swansea City,30,1990,26.9,0,4,1,25.0,0.15,0.04,0.00,0.00,7.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
62,Saïd Benrahma,dz ALG,"MF,FW",Brentford,24,1995,0.5,0,2,0,0.0,4.39,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
63,Daniel Bentley,eng ENG,GK,Bristol City,27,1993,43.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Luke Berry,eng ENG,MF,Luton Town,28,1992,20.8,2,26,12,46.2,1.25,0.58,0.08,0.17,15.0,0,0,0,3.3,3.3,0.13,-1.3,-1.3,Matches
65,Faysal Bettache,eng ENG,MF,QPR,20,2000,0.8,0,2,0,0.0,2.43,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
66,Marcus Bettinelli,eng ENG,GK,Middlesbrough,28,1992,41.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
67,Maxime Biamou,fr FRA,FW,Coventry City,29,1990,22.4,5,57,15,26.3,2.55,0.67,0.09,0.33,13.3,1,0,0,8.3,8.3,0.15,-3.3,-3.3,Matches
68,Bartosz Białkowski,pl POL,GK,Millwall,33,1987,46.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Mads Bidstrup,dk DEN,"MF,FW",Brentford,19,2001,1.3,0,1,0,0.0,0.78,0.00,0.00,,11.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
70,Jake Bidwell,eng ENG,DF,Swansea City,27,1993,34.9,1,27,5,18.5,0.77,0.14,0.04,0.20,9.0,0,0,0,3.3,3.3,0.12,-2.3,-2.3,Matches
71,Krystian Bielik,pl POL,MF,Derby County,22,1998,12.1,2,9,4,44.4,0.74,0.33,0.22,0.50,11.5,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
72,Philip Billing,dk DEN,MF,Bournemouth,24,1996,23.0,8,32,14,43.8,1.39,0.61,0.25,0.57,16.9,1,0,0,4.0,4.0,0.13,+4.0,+4.0,Matches
73,Max Bird,eng ENG,MF,Derby County,19,2000,23.0,0,18,3,16.7,0.78,0.13,0.00,0.00,19.9,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
74,Tyler Blackett,eng ENG,DF,Nott'ham Forest,26,1994,9.4,0,4,0,0.0,0.43,0.00,0.00,,16.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
75,Jamal Blackman,eng ENG,GK,Rotherham Utd,26,1993,25.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
