rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
87,James Bree,eng ENG,DF,Luton Town,22,1997,17.8,1035,48,245,415,387,14,1035,18,10,55.6,8,44.4,438,2461,1230,35,25,2,27,8,513,86,Matches
88,Luke Brennan,eng ENG,FW,Blackburn,18,2001,0.1,7,0,3,1,3,0,7,1,0,0.0,1,100.0,2,4,2,0,0,0,0,0,3,0,Matches
89,Ben Brereton,cl CHI,FW,Blackburn,21,1999,27.0,1046,18,134,407,533,120,1046,105,54,51.4,51,48.6,717,5322,2133,73,42,25,96,44,789,222,Matches
90,Callum Brittain,eng ENG,"DF,MF",Barnsley,22,1998,39.4,2334,90,625,982,761,56,2334,127,70,55.1,57,44.9,894,4758,2303,75,47,16,57,33,906,187,Matches
91,Louis Britton,eng ENG,FW,Bristol City,19,2001,0.2,8,0,1,3,4,1,8,0,0,,0,,4,9,7,0,0,0,1,0,6,1,Matches
92,David Brooks,wls WAL,"FW,MF",Bournemouth,23,1997,23.8,1278,12,124,618,558,63,1278,76,32,42.1,44,57.9,847,6150,2283,61,53,17,63,35,961,156,Matches
93,Ciaron Brown,nir NIR,DF,Cardiff City,22,1998,11.6,510,50,173,255,85,12,510,4,1,25.0,3,75.0,192,771,287,5,3,0,5,1,207,11,Matches
94,Izzy Brown,eng ENG,MF,Sheffield Weds,23,1997,6.0,361,7,36,199,134,16,361,17,10,58.8,7,41.2,184,1094,502,15,10,5,27,11,195,29,Matches
95,Jacob Brown,sct SCO,FW,Stoke City,22,1998,26.9,896,35,93,375,443,89,896,49,25,51.0,24,49.0,486,2488,970,43,27,19,92,51,644,205,Matches
96,Jaden Brown,eng ENG,"DF,FW",Huddersfield,21,1999,2.7,146,3,46,62,39,4,146,1,0,0.0,1,100.0,76,480,186,4,2,1,9,4,94,10,Matches
97,Alan Browne,ie IRL,"MF,DF",Preston,25,1995,36.0,2161,87,478,1141,580,68,2160,67,32,47.8,35,52.2,993,5240,2161,38,35,5,68,42,1137,110,Matches
98,Marcus Browne,eng ENG,FW,Middlesbrough,22,1997,1.6,65,0,4,22,39,6,65,1,0,0.0,1,100.0,38,269,105,5,4,1,2,1,45,9,Matches
99,Chris Brunt,nir NIR,MF,Bristol City,35,1984,5.7,361,20,90,222,51,0,361,1,1,100.0,0,0.0,148,652,217,1,3,0,3,3,179,3,Matches
100,Lee Buchanan,eng ENG,"DF,MF",Derby County,19,2001,28.7,1889,120,589,843,472,57,1889,46,21,45.7,25,54.3,829,4341,2244,69,40,20,53,28,976,110,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,John Buckley,eng ENG,"MF,FW",Blackburn,20,1999,11.1,744,15,110,385,255,16,744,13,7,53.8,6,46.2,433,2167,1052,23,17,4,22,11,515,40,Matches
102,Emi Buendía,ar ARG,FW,Norwich City,23,1996,36.8,2628,75,342,1183,1138,124,2627,101,63,62.4,38,37.6,1493,7866,3796,98,79,24,84,69,1800,224,Matches
103,Ajani Burchall,bm BER,FW,Bournemouth,15,2004,0.0,3,0,0,2,1,0,3,0,0,,0,,4,21,16,1,1,0,1,0,4,1,Matches
104,Tyler Burey,eng ENG,"FW,MF",Millwall,18,2001,1.6,66,4,11,18,38,5,66,5,1,20.0,4,80.0,44,330,121,8,0,3,3,5,45,14,Matches
105,Jack Burroughs,sct SCO,DF,Coventry City,19,2001,1.0,84,5,21,37,27,0,84,3,1,33.3,2,66.7,32,226,62,2,1,0,4,1,34,4,Matches
106,Josef Bursik,eng ENG,GK,Stoke City,20,2000,15.0,573,445,569,4,0,0,573,1,0,0.0,1,100.0,302,1826,1010,0,0,0,0,1,249,0,Matches
107,Daniel Butterworth,eng ENG,FW,Blackburn,20,1999,0.3,20,0,2,7,11,2,20,3,1,33.3,2,66.7,15,136,38,2,1,2,2,1,15,2,Matches
108,Nathan Byrne,eng ENG,"DF,MF",Derby County,28,1992,38.5,2606,85,637,1229,775,42,2606,70,45,64.3,25,35.7,1255,6663,3472,100,78,11,54,26,1388,191,Matches
109,Ben Cabango,wls WAL,DF,Swansea City,20,2000,28.2,1604,206,856,700,57,33,1604,0,0,,0,,787,3672,2120,8,3,2,11,3,839,4,Matches
110,Rafael Cabral,br BRA,GK,Reading,30,1990,45.0,1660,1496,1646,14,0,0,1660,1,1,100.0,0,0.0,933,4643,2737,0,0,0,2,1,789,0,Matches
111,Cafú,pt POR,MF,Nott'ham Forest,27,1993,26.0,1177,30,184,726,280,18,1177,33,17,51.5,16,48.5,663,3521,1473,34,28,3,40,36,801,55,Matches
112,Mamadi Camará,gw GNB,MF,Reading,16,2003,0.1,5,0,0,5,0,0,5,0,0,,0,,2,13,0,0,0,0,0,0,4,1,Matches
