rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
15,Abdulfattah Adam,sa KSA,FW,Al-Nassr,24,1995,7,2,276,3.1,2,2,4,2,0,0,0,0,0.65,0.65,1.30,0.65,1.30,Matches
16,Imran Adam,ng NGA,"DF,MF",Al-Shabab,23,1996,8,4,419,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Imran Adam,ng NGA,"DF,MF",Damac,23,1996,9,9,765,8.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Khaled Adénon,bj BEN,DF,Al-Wehda,34,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Muath Adnan Afaneh,jo JOR,FW,Abha,,,4,0,29,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Matías Aguirregaray,uy URU,"DF,MF",Al-Fateh,30,1989,25,23,1903,21.1,2,0,2,2,0,0,2,1,0.09,0.00,0.09,0.09,0.09,Matches
21,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,34,1985,26,26,2292,25.5,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Mohamed Ahmed,SUD,FW,Damac,26,1993,2,1,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,5,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Qasim Alawjami,sa KSA,DF,Al-Fateh,23,1996,2,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Danijel Aleksić,rs SRB,FW,Al-Ahli,28,1991,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Alemão,br BRA,DF,Al-Hazem,28,1990,29,29,2610,29.0,6,0,6,3,3,3,4,0,0.21,0.00,0.21,0.10,0.10,Matches
27,Abdelaziz Ali Guechi,dz ALG,DF,Al-Adalah,28,1990,11,11,953,10.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Mashel Ali,,MF,Al-Faisaly,,,2,1,107,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Mukhtar Ali,sa KSA,MF,Al-Nassr,21,1997,20,11,1058,11.8,0,2,2,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,Matches
30,Mohammed Alkhaibari,sa KSA,DF,Al-Shabab,,,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
