rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
77,Yassin Barnawi,sa KSA,"DF,MF",Al-Taawoun,25,1993,12.0,,15,,,,,,,,,,14,,,,Matches
78,Mohammad Al Bassas,sa KSA,DF,Al-Ahli,20,1998,1.6,,5,,,,,,,,,,6,,,,Matches
79,Mustafa Bassas,sa KSA,"FW,MF",Al-Ahli,26,1993,0.2,,1,,,,,,,,,,0,,,,Matches
80,Mustafa Bassas,sa KSA,"MF,FW",Al-Faisaly,26,1993,1.8,,0,,,,,,,,,,1,,,,Matches
81,Zaid Al Bawardi,sa KSA,GK,Al-Nassr,22,1997,1.3,,0,,,,,,,,,,0,,,,Matches
82,Youcef Belaïli,dz ALG,MF,Al-Ahli,27,1992,10.6,,14,,,,,,,,,,5,,,,Matches
83,Hatim Belal,sa KSA,DF,Al-Wehda,25,1994,0.6,,1,,,,,,,,,,0,,,,Matches
84,Farouk Ben Mustapha,tn TUN,GK,Al-Shabab,30,1989,24.3,,2,,,,,,,,,,0,,,,Matches
85,Sofiane Bendebka,dz ALG,MF,Al-Fateh,26,1992,13.2,,19,,,,,,,,,,11,,,,Matches
86,Djamel Benlamri,dz ALG,DF,Al-Shabab,29,1989,8.2,,17,,,,,,,,,,22,,,,Matches
87,Saad Bguir,tn TUN,"MF,FW",Abha,25,1994,28.1,,12,,,,,,,,,,6,,,,Matches
88,Fahad bin Jumayah,sa KSA,"MF,DF",Al-Nassr,24,1995,5.2,,3,,,,,,,,,,4,,,,Matches
89,Mohammed bin Nukhaylan,sa KSA,DF,Al-Faisaly,17,2002,0.1,,0,,,,,,,,,,0,,,,Matches
90,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,25,1994,14.5,,17,,,,,,,,,,6,,,,Matches
91,Medwine Biteghe,ga GAB,MF,Al-Adalah,22,1996,27.3,,31,,,,,,,,,,35,,,,Matches
92,Roly Bonevacia,cw CUW,MF,Al-Faisaly,27,1991,19.0,,22,,,,,,,,,,15,,,,Matches
93,Wilfried Bony,ci CIV,FW,Al-Ittihad,30,1988,6.9,,0,,,,,,,,,,0,,,,Matches
94,Alberto Botía,es ESP,DF,Al-Wehda,30,1989,23.5,,24,,,,,,,,,,42,,,,Matches
95,Salim Boukhanchouche,dz ALG,MF,Abha,27,1991,2.3,,4,,,,,,,,,,3,,,,Matches
96,Nawaf Boushal,sa KSA,DF,Al-Fateh,19,1999,13.5,,25,,,,,,,,,,32,,,,Matches
97,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,26,1992,18.0,,26,,,,,,,,,,26,,,,Matches
98,Tawfiq Bu Haymid,sa KSA,"DF,MF",Al-Fateh,31,1987,18.7,,33,,,,,,,,,,31,,,,Matches
99,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,29,1989,12.3,,7,,,,,,,,,,17,,,,Matches
