rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
30,Willian Arão,br BRA,"MF,DF",Flamengo,27,1992,29.2,1,19,3,15.8,0.65,0.10,0.05,0.33,22.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
31,Ángelo Araos,cl CHI,MF,Corinthians,23,1997,8.9,1,17,5,29.4,1.91,0.56,0.06,0.20,21.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
32,Davi Araújo,br BRA,"FW,MF",Botafogo (RJ),20,1999,3.6,0,7,1,14.3,1.95,0.28,0.00,0.00,17.3,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
33,Márcio Araújo,br BRA,MF,Sport Recife,35,1984,4.8,0,2,0,0.0,0.41,0.00,0.00,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
34,Michel Araujo,uy URU,"MF,FW",Fluminense,23,1996,20.6,1,42,11,26.2,2.04,0.53,0.02,0.09,20.0,1,0,0,4.4,4.4,0.11,-3.4,-3.4,Matches
35,Robert Arboleda,ec ECU,DF,São Paulo,28,1991,19.2,1,16,8,50.0,0.83,0.42,0.06,0.13,17.0,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
36,Arnaldo,br BRA,"DF,FW",Atl Goianiense,27,1992,4.9,0,1,0,0.0,0.20,0.00,0.00,,21.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
37,Arthur,br BRA,"MF,FW",Santos,21,1998,13.6,2,19,13,68.4,1.40,0.96,0.05,0.08,19.2,0,1,1,2.1,1.3,0.07,-0.1,-0.3,Matches
38,Arthur,br BRA,GK,Coritiba,23,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Artur,br BRA,"FW,MF",RB Bragantino,21,1998,31.0,1,72,23,31.9,2.33,0.74,0.01,0.04,20.3,3,0,1,5.3,4.5,0.06,-4.3,-3.5,Matches
40,Otavio Ataide,br BRA,DF,Flamengo,17,2002,1.0,0,1,0,0.0,1.00,0.00,0.00,,12.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
41,Giovanni Augusto,br BRA,"MF,FW",Coritiba,30,1989,14.2,4,24,8,33.3,1.69,0.56,0.17,0.50,21.2,4,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches
42,Danilo Avelar,br BRA,DF,Corinthians,30,1989,12.9,2,11,8,72.7,0.85,0.62,0.18,0.25,15.6,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches
43,Gui Azevedo,br BRA,"FW,MF",Grêmio,18,2001,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,11.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
44,Márcio Azevedo,br BRA,DF,Ath Paranaense,33,1986,4.2,0,3,0,0.0,0.72,0.00,0.00,,28.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
45,Matheus Babi,br BRA,"FW,MF",Botafogo (RJ),22,1997,24.7,10,47,19,40.4,1.91,0.77,0.19,0.47,15.5,0,1,1,7.8,7.0,0.15,+2.2,+2.0,Matches
46,Douglas Baggio,br BRA,"FW,MF",Goiás,24,1995,11.6,0,21,7,33.3,1.81,0.60,0.00,0.00,20.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
47,Matheus Bahia,br BRA,DF,Bahia,20,1999,11.5,0,8,2,25.0,0.69,0.17,0.00,0.00,22.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
48,Guilherme Bala,br BRA,FW,Flamengo,18,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Gabriel Baralhas,br BRA,MF,Atl Goianiense,21,1998,1.7,0,2,0,0.0,1.15,0.00,0.00,,28.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
50,Diogo Barbosa,br BRA,DF,Palmeiras,27,1992,3.6,0,3,0,0.0,0.84,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Diogo Barbosa,br BRA,DF,Grêmio,27,1992,17.9,0,8,2,25.0,0.45,0.11,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
