rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
17,Dani Alves,br BRA,"MF,FW",São Paulo,36,1983,29.9,53,31,19,28,6,16,42,26,24,7,17,19,72,16,1,Matches
18,Diego Alves,br BRA,GK,Flamengo,34,1985,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Matches
19,Marcelo Alves,br BRA,DF,Vasco da Gama,21,1998,12.7,19,14,14,5,0,10,14,4,21,15,6,21,40,65,1,Matches
20,Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,2,2,2,0,0,2,3,1,0,0,0,1,3,16,0,Matches
21,Anderson,br BRA,GK,Bahia,36,1983,5.9,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,Matches
22,Thonny Anderson,br BRA,"MF,FW",RB Bragantino,22,1997,1.8,4,2,1,2,1,2,5,3,4,0,4,1,5,2,0,Matches
23,Victor Andrade,br BRA,"FW,MF",Goiás,24,1995,4.4,8,7,4,4,0,2,7,5,6,1,5,2,10,4,0,Matches
24,André,br BRA,"MF,FW",Fluminense,18,2001,3.1,5,4,2,3,0,2,7,5,7,0,7,9,14,7,0,Matches
25,Ângelo,br BRA,"MF,FW",Santos,15,2004,1.8,3,3,1,2,0,1,1,0,0,0,0,0,3,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Angelo,br BRA,DF,Coritiba,18,2001,0.9,1,1,0,1,0,1,2,1,1,0,1,0,1,1,0,Matches
27,Iván Angulo,co COL,FW,Botafogo (RJ),20,1999,0.7,2,2,0,2,0,1,2,1,2,0,2,1,3,0,0,Matches
28,Marco Antônio Junior,br BRA,"FW,MF",Bahia,22,1997,4.7,6,3,1,4,1,2,8,6,5,0,5,1,7,1,0,Matches
29,Guilherme Arana,br BRA,"DF,MF",Atlético Mineiro,22,1997,35.5,46,29,18,24,4,14,34,20,35,8,27,39,85,37,1,Matches
30,Willian Arão,br BRA,"MF,DF",Flamengo,27,1992,29.2,45,31,21,21,3,18,50,32,28,12,16,47,92,47,1,Matches
31,Ángelo Araos,cl CHI,MF,Corinthians,23,1997,8.9,6,3,2,3,1,3,13,10,6,1,5,9,15,4,0,Matches
32,Davi Araújo,br BRA,"FW,MF",Botafogo (RJ),20,1999,3.6,3,2,1,1,1,2,7,5,7,2,5,3,6,0,0,Matches
33,Márcio Araújo,br BRA,MF,Sport Recife,35,1984,4.8,11,4,7,2,2,6,11,5,4,0,4,6,17,3,1,Matches
34,Michel Araujo,uy URU,"MF,FW",Fluminense,23,1996,20.6,39,25,18,17,4,17,50,33,26,6,20,10,49,21,0,Matches
35,Robert Arboleda,ec ECU,DF,São Paulo,28,1991,19.2,17,9,11,4,2,9,15,6,20,10,10,31,48,85,2,Matches
36,Arnaldo,br BRA,"DF,FW",Atl Goianiense,27,1992,4.9,9,3,4,2,3,3,9,6,6,1,5,7,16,8,0,Matches
37,Arthur,br BRA,"MF,FW",Santos,21,1998,13.6,10,6,4,4,2,2,19,17,13,0,13,16,26,3,0,Matches
38,Arthur,br BRA,GK,Coritiba,23,1997,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches
39,Artur,br BRA,"FW,MF",RB Bragantino,21,1998,31.0,32,16,13,14,5,18,47,29,38,2,36,18,50,14,0,Matches
40,Otavio Ataide,br BRA,DF,Flamengo,17,2002,1.0,2,1,2,0,0,1,1,0,0,0,0,1,3,6,0,Matches
41,Giovanni Augusto,br BRA,"MF,FW",Coritiba,30,1989,14.2,26,16,10,12,4,8,29,21,10,1,9,6,32,4,0,Matches
42,Danilo Avelar,br BRA,DF,Corinthians,30,1989,12.9,8,4,5,2,1,3,9,6,13,10,3,20,28,45,0,Matches
43,Gui Azevedo,br BRA,"FW,MF",Grêmio,18,2001,1.2,5,2,2,2,1,3,7,4,1,0,1,2,7,1,0,Matches
44,Márcio Azevedo,br BRA,DF,Ath Paranaense,33,1986,4.2,1,0,0,0,1,0,1,1,5,1,4,8,9,3,0,Matches
45,Matheus Babi,br BRA,"FW,MF",Botafogo (RJ),22,1997,24.7,21,16,5,9,7,4,40,36,25,3,22,15,36,24,0,Matches
46,Douglas Baggio,br BRA,"FW,MF",Goiás,24,1995,11.6,28,15,16,8,4,11,18,7,12,0,12,9,37,4,0,Matches
47,Matheus Bahia,br BRA,DF,Bahia,20,1999,11.5,27,16,21,4,2,16,28,12,12,3,9,22,49,46,0,Matches
48,Guilherme Bala,br BRA,FW,Flamengo,18,2001,0.8,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,Matches
49,Gabriel Baralhas,br BRA,MF,Atl Goianiense,21,1998,1.7,8,5,2,6,0,6,6,0,2,1,1,7,15,4,0,Matches
50,Diogo Barbosa,br BRA,DF,Palmeiras,27,1992,3.6,13,8,8,4,1,8,10,2,6,1,5,8,21,7,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Diogo Barbosa,br BRA,DF,Grêmio,27,1992,17.9,31,23,18,10,3,16,33,17,10,4,6,23,54,41,0,Matches
52,Gabriel Barbosa,br BRA,FW,Flamengo,23,1996,19.5,10,5,1,4,5,3,18,15,6,0,6,0,10,0,0,Matches
53,Danilo Barcelos,br BRA,DF,Fluminense,28,1991,17.0,34,21,17,14,3,15,22,7,14,4,10,21,55,55,0,Matches
54,Danilo Barcelos,br BRA,DF,Botafogo (RJ),28,1991,2.3,4,2,1,3,0,2,4,2,1,1,0,2,6,10,0,Matches
55,Leandro Barcia,uy URU,"FW,MF",Sport Recife,27,1992,11.4,26,18,9,13,4,13,46,33,8,2,6,7,33,7,0,Matches
56,Federico Barrandeguy,uy URU,DF,Botafogo (RJ),23,1996,6.1,5,4,4,1,0,3,7,4,9,2,7,9,14,8,0,Matches
57,Barreto,br BRA,"MF,DF",RB Bragantino,24,1995,1.2,3,0,1,2,0,1,3,2,1,0,1,1,4,2,0,Matches
58,Fellipe Bastos,br BRA,MF,Vasco da Gama,29,1990,8.8,21,10,9,10,2,6,28,22,8,3,5,8,29,13,0,Matches
59,Gabriel Batista,br BRA,GK,Flamengo,21,1998,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,Matches
60,Muriel Becker,br BRA,GK,Fluminense,32,1987,19.0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,Matches
61,Ramiro Benetti,br BRA,"MF,FW",Corinthians,26,1993,20.0,38,23,16,16,6,19,50,31,24,1,23,42,80,30,0,Matches
62,Martín Benítez,ar ARG,"MF,FW",Vasco da Gama,25,1994,19.1,29,15,12,11,6,12,43,31,24,1,23,23,52,9,0,Matches
63,Bento,br BRA,GK,Ath Paranaense,20,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
64,Daniel Bessa,it ITA,MF,Goiás,27,1993,12.0,19,9,6,11,2,9,26,17,19,5,14,16,35,11,0,Matches
65,Éber Bessa,br BRA,"FW,MF",Botafogo (RJ),27,1992,2.1,6,3,3,2,1,1,2,1,1,1,0,2,8,1,0,Matches
66,Betinho,br BRA,MF,Sport Recife,27,1992,17.2,52,30,21,27,4,21,66,45,21,7,14,27,79,21,0,Matches
67,Fabrício Biato,br BRA,FW,Palmeiras,18,2001,1.2,1,0,0,1,0,1,2,1,1,0,1,0,1,0,0,Matches
68,Guilherme Biro,br BRA,DF,Coritiba,19,2000,7.2,13,8,5,5,3,7,11,4,4,1,3,11,24,21,0,Matches
69,Guilherme Bissoli,br BRA,FW,Ath Paranaense,22,1998,6.0,5,1,0,4,1,2,7,5,6,0,6,1,6,4,1,Matches
70,Gustavo Blanco,br BRA,"FW,MF",Goiás,25,1994,1.8,5,4,2,0,3,2,5,3,2,0,2,2,7,1,0,Matches
71,Paulinho Bóia,br BRA,"FW,DF",São Paulo,21,1998,5.6,11,8,3,6,2,5,15,10,3,0,3,3,14,2,0,Matches
72,Dani Bolt,br BRA,DF,Fluminense,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,Matches
73,Leonardo Borges,br BRA,DF,Internacional,19,2001,0.6,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,Matches
74,Marllon Borges,br BRA,DF,Corinthians,27,1992,6.7,3,1,2,1,0,1,1,0,8,4,4,6,9,35,1,Matches
75,Neto Borges,br BRA,"DF,MF",Vasco da Gama,23,1996,11.2,22,12,14,6,2,6,16,10,17,6,11,18,40,29,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Dylan Borrero,co COL,MF,Atlético Mineiro,18,2002,1.6,8,5,2,6,0,2,5,3,2,0,2,5,13,2,0,Matches
77,Gabriel Boschilia,br BRA,"MF,FW",Internacional,23,1996,9.5,17,14,4,10,3,7,34,27,20,1,19,6,23,5,0,Matches
78,Mauro Boselli,ar ARG,"FW,MF",Corinthians,34,1985,2.2,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,Matches
79,Lucas Braga,br BRA,"FW,MF",Santos,23,1996,22.9,22,17,9,12,1,5,20,15,21,1,20,13,35,16,0,Matches
80,Júnior Brandão,br BRA,FW,Atl Goianiense,25,1995,1.9,7,6,1,3,3,2,4,2,2,0,2,1,8,6,0,Matches
81,David Braz,br BRA,DF,Grêmio,32,1987,16.0,25,18,16,9,0,11,21,10,8,6,2,33,58,65,0,Matches
82,Brenner,br BRA,FW,São Paulo,20,2000,21.2,12,3,2,7,3,2,24,22,19,0,19,6,18,5,0,Matches
83,Breno,br BRA,MF,Goiás,19,2000,24.3,57,32,28,24,5,30,85,55,30,2,28,35,92,32,1,Matches
84,Breno,br BRA,"FW,MF",Palmeiras,24,1996,10.8,7,5,2,3,2,4,15,11,6,1,5,3,10,8,0,Matches
85,Eduardo Brock,br BRA,DF,Ceará,28,1991,5.5,6,3,4,2,0,1,4,3,11,8,3,5,11,33,2,Matches
86,Bruninho,br BRA,"MF,FW",Sport Recife,19,2000,3.9,8,8,3,4,1,2,11,9,3,1,2,3,11,1,0,Matches
87,Fabrício Bruno,br BRA,DF,RB Bragantino,23,1996,12.5,14,9,12,2,0,9,14,5,6,3,3,18,32,54,0,Matches
88,Matheus Bueno,br BRA,"MF,FW",Coritiba,21,1998,14.6,27,16,14,9,4,11,19,8,11,1,10,21,48,15,0,Matches
89,Vitor Bueno,br BRA,"FW,MF",São Paulo,25,1994,14.8,19,9,8,7,4,8,21,13,12,1,11,13,32,10,0,Matches
