rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
447,Marco Ribeiro,pt POR,"MF,DF",Boavista,19,2005,3.8,174,11,36,88,51,2,174,2,0,0.0,2,100.0,73,369,143,3,6,0,5,1,89,11,Matches
448,Rodrigo Ribeiro,pt POR,FW,AVS Futebol,19,2005,11.0,363,17,62,155,154,49,363,46,14,30.4,30,65.2,175,1014,409,19,11,7,32,10,244,45,Matches
449,Rodrigo Ribeiro,pt POR,FW,Sporting CP,19,2005,0.0,1,0,0,0,1,1,1,0,0,,0,,1,3,3,0,0,0,0,0,1,1,Matches
450,Tomás Ribeiro,pt POR,DF,Vitória,25,1999,3.5,219,29,127,82,10,5,219,0,0,,0,,111,409,148,0,2,0,0,2,149,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
451,Tomás Ribeiro,pt POR,DF,Farense,25,1999,7.2,346,52,225,106,17,5,346,0,0,,0,,130,628,382,1,0,0,1,1,170,3,Matches
452,Yuri Ribeiro,pt POR,"DF,MF",Braga,27,1997,5.1,427,16,80,202,147,11,427,4,2,50.0,2,50.0,248,897,448,9,10,2,5,7,290,33,Matches
453,Ricardinho,pt POR,"FW,MF",Santa Clara,25,1998,13.8,521,7,66,216,253,39,521,46,17,37.0,29,63.0,304,1910,1035,40,22,9,36,22,321,54,Matches
454,Riccieli,br BRA,DF,Famalicão,25,1998,6.5,389,77,235,147,8,8,389,2,2,100.0,0,0.0,249,1245,758,3,0,0,0,0,269,1,Matches
455,Omar Richards,eng ENG,DF,Rio Ave,26,1998,22.1,1419,74,521,656,256,12,1419,50,21,42.0,24,48.0,688,3238,1728,32,27,2,25,14,815,73,Matches
456,Rivaldo,,"DF,MF",Farense,23,2000,5.0,310,24,113,121,79,3,310,10,5,50.0,5,50.0,131,692,458,12,9,2,4,5,147,27,Matches
457,Óscar Rivas,es ESP,DF,Vitória,24,2000,8.9,577,59,279,283,16,5,577,5,3,60.0,1,20.0,327,1466,882,3,1,0,4,1,385,2,Matches
458,Pablo Roberto,br BRA,"MF,FW",Casa Pia,24,1999,12.4,660,7,125,398,159,16,660,47,32,68.1,14,29.8,423,2518,1060,23,14,6,37,18,456,37,Matches
459,Joel Robles,es ESP,GK,Estoril,34,1990,29.0,969,765,962,7,0,0,969,0,0,,0,,426,2070,1227,0,0,0,1,1,340,0,Matches
460,Matí­as Rocha,uy URU,DF,Arouca,23,2001,3.3,274,33,142,129,3,3,274,0,0,,0,,165,602,384,0,0,0,0,1,206,0,Matches
461,Rochinha,pt POR,FW,Famalicão,29,1995,10.0,356,4,53,160,149,13,356,42,9,21.4,26,61.9,237,1347,574,16,12,6,23,22,258,48,Matches
462,Afonso Rodrigues,pt POR,"MF,FW",Famalicão,21,2002,0.1,9,0,1,4,4,1,9,0,0,,0,,6,11,7,0,0,0,1,0,7,2,Matches
463,Diego Rodrigues,pt POR,MF,Braga,19,2005,1.8,118,1,18,69,32,5,118,2,2,100.0,0,0.0,80,512,270,6,5,1,4,2,86,6,Matches
464,Gerson Rodrigues,lu LUX,FW,AVS Futebol,29,1995,2.1,91,2,7,36,50,9,91,7,2,28.6,5,71.4,61,315,115,6,4,0,8,6,70,15,Matches
465,Ivo Rodrigues,pt POR,"MF,FW",Arouca,29,1995,7.1,367,14,64,150,158,22,367,32,12,37.5,15,46.9,240,1252,544,14,23,6,20,29,272,48,Matches
466,Ivo Rodrigues,pt POR,"MF,FW",Moreirense,29,1995,8.4,543,23,160,320,74,2,543,16,5,31.3,9,56.3,277,1544,764,13,8,0,16,12,346,12,Matches
467,Luís Carlos Rocha Rodrigues,pt POR,DF,Santa Clara,37,1986,28.6,1393,196,809,556,31,17,1393,3,2,66.7,0,0.0,716,3254,1552,5,0,0,7,3,851,3,Matches
468,Rafael Rodrigues,pt POR,"DF,MF",AVS Futebol,22,2002,11.5,641,37,261,256,132,2,641,12,7,58.3,4,33.3,240,859,362,11,5,1,15,7,291,25,Matches
469,Rodrigo Rodrigues,pt POR,FW,Gil Vicente FC,16,2007,0.1,5,0,0,1,4,1,5,0,0,,0,,4,65,51,1,0,0,0,0,4,2,Matches
470,Ignacio Rodríguez,uy URU,DF,AVS Futebol,20,2003,13.2,755,111,458,284,15,5,755,2,2,100.0,0,0.0,358,1504,826,2,3,1,5,1,455,0,Matches
471,Benjamín Rollheiser,ar ARG,"MF,FW",Benfica,24,2000,1.5,142,0,19,70,55,3,142,8,3,37.5,4,50.0,96,468,209,6,4,0,3,4,114,16,Matches
472,Baptiste Roux,fr FRA,DF,AVS Futebol,24,1999,20.7,1158,151,612,505,46,11,1158,2,1,50.0,1,50.0,565,2373,1209,6,5,0,4,0,719,3,Matches
473,Alan Ruiz,ar ARG,"MF,FW",Estrela,30,1993,16.3,957,27,132,549,288,14,956,46,23,50.0,19,41.3,476,2056,761,15,18,1,31,14,604,56,Matches
474,Gustavo sá,pt POR,MF,Famalicão,19,2004,28.0,1239,31,189,573,489,88,1239,62,17,27.4,33,53.2,832,4136,1783,42,44,9,53,32,952,149,Matches
475,Josué Sá,pt POR,DF,Gil Vicente FC,32,1992,14.3,1035,127,560,445,34,12,1035,6,3,50.0,3,50.0,678,3390,2153,11,7,0,7,2,775,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
476,Safira,br BRA,FW,Santa Clara,29,1995,11.0,321,11,29,158,136,41,319,8,0,0.0,5,62.5,134,482,187,6,5,0,27,12,224,34,Matches
477,Sala,es ESP,"FW,MF",Estoril,21,2003,1.9,83,4,9,40,34,5,83,5,2,40.0,2,40.0,59,275,85,4,5,1,7,4,62,17,Matches
478,Samu,pt POR,MF,Vitória,28,1996,19.4,1044,14,116,492,442,63,1044,21,6,28.6,15,71.4,496,1892,794,24,14,11,30,18,702,107,Matches
479,Renato Sanches,pt POR,MF,Benfica,26,1997,2.2,213,1,22,141,51,1,213,6,3,50.0,3,50.0,137,717,470,7,5,0,4,4,161,9,Matches
480,Caio Santana,br BRA,"FW,MF",Estrela,20,2004,2.0,88,3,23,34,32,5,88,8,3,37.5,5,62.5,48,215,74,3,1,1,11,7,47,9,Matches
481,Aderlan Santos,br BRA,DF,AVS Futebol,35,1989,6.6,292,87,200,91,2,1,292,0,0,,0,,113,367,118,0,0,0,4,0,128,2,Matches
482,Aderlan Santos,br BRA,DF,Rio Ave,35,1989,17.6,1131,192,701,417,20,13,1131,2,2,100.0,0,0.0,544,2029,863,3,1,0,4,0,658,1,Matches
483,Bruno Santos,pt POR,FW,Farense,21,2003,0.6,20,0,3,6,11,3,20,3,0,0.0,3,100.0,7,34,4,0,0,0,0,2,10,2,Matches
