rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
70,Matías Belloso,ar ARG,"FW,MF",Arsenal,20,2000,2.6,42,66,63.6,672,87,24,33,13,18,4,5,0,0.2,0.4,-0.2,1,3,0,0,2,Matches
71,Fernando Belluschi,ar ARG,MF,Newell's OB,37,1983,2.0,79,116,68.1,1537,575,38,49,21,32,17,23,1,0.1,0.2,+0.9,2,10,4,0,23,Matches
72,Tomás Belmonte,ar ARG,MF,Lanús,22,1998,8.9,310,377,82.2,5591,1608,126,144,142,166,32,40,1,0.4,0.9,+0.6,2,23,2,0,32,Matches
73,Lucas Beltrán,ar ARG,FW,Colón,19,2001,8.8,163,218,74.8,2006,513,97,121,44,56,4,7,1,1.4,0.8,-0.4,14,10,6,1,21,Matches
74,Carlos Benavídez,uy URU,MF,Independiente,22,1998,3.2,83,113,73.5,1608,355,35,43,35,41,12,18,0,0.1,0.0,-0.1,2,7,0,0,13,Matches
75,Gastón Benavídez,ar ARG,DF,Arsenal,25,1995,14.8,422,636,66.4,7852,3540,185,223,159,241,63,132,0,1.5,1.5,-1.5,13,39,15,12,50,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Marcelo Benitez,ar ARG,DF,Defensa y Just,30,1991,6.3,307,419,73.3,5726,2306,129,148,128,164,45,90,1,1.3,1.2,-0.3,9,12,6,1,17,Matches
77,Oscar Benítez,ar ARG,"FW,MF",Atlé Tucumán,28,1993,6.6,293,370,79.2,4024,1197,191,225,74,87,14,25,0,0.6,0.8,-0.6,10,38,7,3,47,Matches
78,Valentín Benítez,ar ARG,FW,Newell's OB,18,2002,0.7,30,36,83.3,501,104,17,17,8,10,4,6,0,0.0,0.0,0.0,0,3,1,0,7,Matches
79,Alexandro Bernabei,ar ARG,DF,Lanús,20,2000,22.2,746,1134,65.8,13619,7037,331,408,303,415,98,222,2,2.3,2.5,-0.3,21,85,26,16,118,Matches
80,Balthazar Bernardi,ar ARG,DF,Boca Juniors,19,2001,2.0,79,96,82.3,1612,654,23,24,42,48,13,19,0,0.0,0.0,0.0,0,1,0,0,3,Matches
81,Christian Bernardi,ar ARG,"MF,FW",Colón,30,1990,20.0,384,603,63.7,5920,1851,215,275,113,163,35,83,2,2.9,2.5,-0.9,32,37,19,4,60,Matches
82,Nicolás Bertolo,ar ARG,"MF,FW",Platense,35,1986,11.3,163,228,71.5,1972,690,106,129,40,60,3,9,1,0.7,0.3,+0.3,6,22,7,0,27,Matches
83,Gonzalo Bettini,ar ARG,DF,Cen. Córdoba–SdE,28,1992,20.2,644,988,65.2,12152,6495,260,312,299,433,78,187,1,1.8,2.1,-0.8,20,60,26,18,88,Matches
84,Bruno Bianchi,ar ARG,DF,Colón,31,1989,10.0,319,438,72.8,6796,2671,68,86,196,220,50,104,0,0.0,0.0,0.0,1,13,0,0,27,Matches
