wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
10,Sat,2020-12-26,17:50 (15:50),Al-Nassr,2–2,Damac,50,Mrsool Park,Abdullah Saleh Al Harbi,Match Report,
10,Sat,2020-12-26,19:50 (17:50),Al-Hilal,1–1,Al-Ittihad,10,King Fahd International Stadium,Mohammed Khaled Al Hoish,Match Report,
10,Sun,2020-12-27,15:40 (13:40),Abha,0–1,Al-Wehda,46,Prince Sultan bin Abdul Aziz Stadium,Mohammed Sami Al Ismail,Match Report,
10,Sun,2020-12-27,15:45 (13:45),Al-Ain,1–0,Al-Taawoun,30,King Saud Sport City Stadium,Abdullah Al-Shehri,Match Report,
10,Sun,2020-12-27,17:35 (15:35),Al-Fateh,3–2,Al-Faisaly,35,Prince Abdullah bin Jalawi Stadium,Sami Ahmed Al Jurays,Match Report,
10,Sun,2020-12-27,17:55 (15:55),Al-Raed,1–2,Al-Ahli,38,Prince Abdullah bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
10,Sun,2020-12-27,19:40 (17:40),Al-Qadsiah,1–2,Al-Ettifaq,35,Prince Saud bin Jalawi Stadium,Faisal Suleiman Al Balawi,Match Report,
11,Thu,2020-12-31,15:10 (13:10),Al-Batin,1–2,Al-Ittihad,50,Al-Batin FC Stadium,Abdullah Saleh Al Harbi,Match Report,
11,Thu,2020-12-31,17:55 (15:55),Al-Faisaly,2–3,Al-Nassr,50,Al Majma'ah Sport City,Faisal Suleiman Al Balawi,Match Report,
11,Thu,2020-12-31,19:50 (17:50),Al-Hilal,1–1,Al-Shabab,31,Prince Faisal bin Fahd Stadium,Khalid Saleh Al Turais,Match Report,
11,Fri,2021-01-01,15:45 (13:45),Damac,1–2,Al-Fateh,50,Prince Sultan bin Abdul Aziz Stadium,Turki Mohammed Al Khudayr,Match Report,
11,Fri,2021-01-01,15:50 (13:50),Al-Ain,2–4,Abha,50,King Saud Sport City Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
11,Fri,2021-01-01,17:35 (15:35),Al-Ettifaq,1–2,Al-Wehda,50,Prince Mohamed bin Fahd Stadium,Raed Ali Al Zahrani,Match Report,
11,Sat,2021-01-02,15:25 (13:25),Al-Raed,2–2,Al-Qadsiah,38,Prince Abdullah bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
11,Sat,2021-01-02,18:20 (16:20),Al-Ahli,0–3,Al-Taawoun,49,King Abdullah Sports City,Mohammed Khaled Al Hoish,Match Report,
12,Thu,2021-01-07,15:50 (13:50),Abha,1–0,Al-Faisaly,50,Prince Sultan bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
12,Thu,2021-01-07,18:35 (16:35),Al-Wehda,0–0,Al-Fateh,46,King Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
12,Fri,2021-01-08,15:20 (13:20),Al-Batin,2–2,Al-Hilal,50,Al-Batin FC Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
12,Fri,2021-01-08,17:40 (15:40),Al-Qadsiah,3–1,Al-Ahli,47,Prince Saud bin Jalawi Stadium,Abdullah Saleh Al Harbi,Match Report,
