rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
85,Tawfiq Bu Haymid,sa KSA,DF,Al-Fateh,32,1987,25.3,1,13,3,23.1,0.51,0.12,0.08,0.33,,0,0,Matches
86,Constantin Budescu,ro ROU,"MF,FW",Damac,31,1989,9.3,0,37,13,35.1,3.96,1.39,0.00,0.00,,0,0,Matches
87,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,30,1989,15.3,2,7,3,42.9,0.46,0.20,0.29,0.67,,0,0,Matches
88,Firas Al-Buraikan,sa KSA,FW,Al-Nassr,20,2000,5.1,2,9,2,22.2,1.76,0.39,0.22,1.00,,0,0,Matches
89,Abdulelah Al Burayh,sa KSA,MF,Damac,23,1997,0.7,0,2,1,50.0,3.05,1.53,0.00,0.00,,0,0,Matches
90,Haroune Camara,sa KSA,FW,Al-Ittihad,22,1998,4.9,2,6,4,66.7,1.24,0.82,0.33,0.50,,0,0,Matches
91,Martín Campaña,uy URU,GK,Al-Batin,31,1989,27.0,0,0,0,,0.00,0.00,,,,0,0,Matches
92,André Carrillo,pe PER,MF,Al-Hilal,29,1991,22.9,7,51,18,35.3,2.23,0.79,0.14,0.39,,0,0,Matches
93,Cássio,pt POR,GK,Al-Taawoun,39,1980,28.0,0,0,0,,0.00,0.00,,,,0,0,Matches
94,Farouk Chafaï,dz ALG,DF,Damac,30,1990,29.0,6,35,11,31.4,1.21,0.38,0.17,0.55,,0,0,Matches
95,Renato Chaves,br BRA,DF,Al-Batin,30,1990,23.0,1,14,3,21.4,0.61,0.13,0.07,0.33,,0,0,Matches
96,Ibrahim Chenihi,dz ALG,MF,Damac,30,1990,6.9,2,11,3,27.3,1.59,0.43,0.18,0.67,,0,0,Matches
97,Gustavo Cuellar,co COL,MF,Al-Hilal,27,1992,22.4,0,7,3,42.9,0.31,0.13,0.00,0.00,,0,0,Matches
98,Christian Cueva,pe PER,MF,Al-Fateh,28,1991,11.7,8,25,15,60.0,2.14,1.28,0.24,0.40,,2,2,Matches
99,Ammar Al-Daheem,sa KSA,DF,Al-Fateh,26,1993,22.9,1,7,2,28.6,0.31,0.09,0.14,0.50,,0,0,Matches
100,Abdulaziz Damdam,sa KSA,MF,Al-Batin,25,1995,2.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
101,Jalal Daoudi,ma MAR,MF,Al-Raed,31,1988,9.7,2,18,7,38.9,1.85,0.72,0.06,0.14,,1,1,Matches
102,Faisel Darwish,sa KSA,"MF,DF",Al-Taawoun,29,1991,4.3,0,4,0,0.0,0.93,0.00,0.00,,,0,0,Matches
103,Abdullaziz Al-Dawsari,sa KSA,MF,Al-Nassr,31,1988,0.8,0,1,0,0.0,1.30,0.00,0.00,,,0,0,Matches
104,Khalifah Al Dawsari,sa KSA,DF,Al-Qadsiah,21,1999,22.8,1,7,4,57.1,0.31,0.18,0.14,0.25,,0,0,Matches
105,Nasser Al-Dawsari,sa KSA,MF,Al-Hilal,21,1998,6.7,1,12,3,25.0,1.78,0.45,0.08,0.33,,0,0,Matches
106,Salem Al-Dawsari,sa KSA,MF,Al-Hilal,28,1991,20.3,9,54,22,40.7,2.67,1.09,0.15,0.36,,1,1,Matches
107,Mohammed Al-Dhafiri,sa KSA,FW,Al-Batin,,,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
108,Mohammed Sayed Al-Dhaw,sa KSA,"FW,MF",Al-Fateh,26,1993,0.4,0,1,0,0.0,2.37,0.00,0.00,,,0,0,Matches
109,Khalid Dighriri,sa KSA,DF,Al-Faisaly,18,2001,6.7,0,0,0,,0.00,0.00,,,,0,0,Matches
110,Makhete Diop,sn SEN,FW,Al-Shabab,33,1987,6.9,2,21,9,42.9,3.03,1.30,0.10,0.22,,0,0,Matches
111,Arnaud Djoum,cm CMR,MF,Al-Raed,31,1989,23.8,3,17,9,52.9,0.71,0.38,0.12,0.22,,1,1,Matches
112,Abdurahman Al-Dossari,sa KSA,MF,Al-Nassr,22,1997,1.2,0,0,0,,0.00,0.00,,,,0,0,Matches
113,Fahad Al Dossari,sa KSA,MF,Al-Ettifaq,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
114,Mohammed Al Dossary,sa KSA,"MF,DF",Al-Raed,21,1999,13.3,0,2,0,0.0,0.15,0.00,0.00,,,0,0,Matches
115,Souleymane Doukara,mr MTN,"FW,MF",Al-Ettifaq,28,1991,23.2,2,54,23,42.6,2.33,0.99,0.04,0.09,,0,0,Matches
116,Azzedine Doukha,dz ALG,GK,Al-Raed,33,1986,25.0,0,0,0,,0.00,0.00,,,,0,0,Matches
117,Khalid Dubaysh,sa KSA,DF,Al-Shabab,21,1998,1.1,0,2,0,0.0,1.87,0.00,0.00,,,0,0,Matches
118,Mitchell Duke,au AUS,"MF,FW",Al-Taawoun,29,1991,8.7,0,15,6,40.0,1.73,0.69,0.00,0.00,,0,0,Matches
119,Edson,br BRA,MF,Al-Qadsiah,29,1991,20.8,1,12,4,33.3,0.58,0.19,0.08,0.25,,0,0,Matches
120,Hussain Al Essa,sa KSA,MF,Al-Wehda,19,2000,15.3,2,15,5,33.3,0.98,0.33,0.13,0.40,,0,0,Matches
121,Jaber Essa,sa KSA,MF,Al-Raed,23,1997,3.6,0,3,0,0.0,0.83,0.00,0.00,,,0,0,Matches
122,Abdullah Al-Fahad,sa KSA,DF,Al-Raed,26,1994,27.9,0,7,1,14.3,0.25,0.04,0.00,0.00,,0,0,Matches
123,Sultan Fahran,sa KSA,MF,Al-Raed,23,1996,26.6,1,11,2,18.2,0.41,0.08,0.09,0.50,,0,0,Matches
124,Hicham Faik,nl NED,MF,Al-Faisaly,28,1992,26.5,3,41,10,24.4,1.55,0.38,0.07,0.30,,0,0,Matches
125,Hamed Falatah,sa KSA,MF,Al-Faisaly,27,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
126,Abdulmohsen Fallatah,sa KSA,DF,Al-Ittihad,26,1994,1.9,1,1,1,100.0,0.53,0.53,1.00,1.00,,0,0,Matches
127,Fawaz Fallatah,sa KSA,DF,Al-Raed,31,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,Matches
128,Muhannad Fallatah,sa KSA,MF,Damac,24,1996,2.4,0,2,1,50.0,0.84,0.42,0.00,0.00,,0,0,Matches
129,Salman Al-Faraj,sa KSA,MF,Al-Hilal,30,1989,13.6,0,6,1,16.7,0.44,0.07,0.00,0.00,,0,0,Matches
130,Nawaf Al Farshan,sa KSA,"DF,MF",Al-Ain,22,1998,2.1,0,0,0,,0.00,0.00,,,,0,0,Matches
131,Mohammed Al Fatil,sa KSA,DF,Al-Ahli,28,1992,20.0,1,9,6,66.7,0.45,0.30,0.11,0.17,,0,0,Matches
132,Ljubomir Fejsa,rs SRB,MF,Al-Ahli,31,1988,18.3,1,5,1,20.0,0.27,0.05,0.20,1.00,,0,0,Matches
133,Ronnie Fernández,cl CHI,FW,Al-Raed,29,1991,8.1,3,26,11,42.3,3.22,1.36,0.08,0.18,,1,3,Matches
134,Driss Fettouhi,ma MAR,MF,Al-Ahli,30,1989,16.2,2,23,10,43.5,1.42,0.62,0.04,0.10,,1,1,Matches
135,Ahmed Al Fiqi,sa KSA,MF,Al-Hilal,27,1992,1.7,0,2,1,50.0,1.20,0.60,0.00,0.00,,0,0,Matches
136,Ahmed Al Fiqi,sa KSA,"MF,FW",Al-Faisaly,27,1992,15.4,1,13,4,30.8,0.84,0.26,0.08,0.25,,0,0,Matches
137,Hernâni Fortes,pt POR,"MF,FW",Al-Wehda,28,1991,20.8,5,82,30,36.6,3.94,1.44,0.06,0.17,,0,0,Matches
138,Mohammed Fouad,eg EGY,"MF,FW",Al-Ain,30,1989,17.5,2,29,8,27.6,1.65,0.46,0.07,0.25,,0,0,Matches
139,Mohamed Fouzair,ma MAR,MF,Al-Raed,28,1991,12.9,2,31,12,38.7,2.41,0.93,0.06,0.17,,0,0,Matches
140,Ahmed Al-Fraidi,sa KSA,MF,Al-Qadsiah,32,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
141,Mazyad Freeh,sa KSA,GK,Al-Batin,31,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
142,Abraham Frimpong,gh GHA,DF,Al-Ain,27,1993,5.7,0,2,0,0.0,0.35,0.00,0.00,,,0,0,Matches
143,Ali Fuad,sa KSA,DF,Al-Ettifaq,18,2001,4.2,0,1,0,0.0,0.24,0.00,0.00,,,0,0,Matches
144,Mohammed Al-Fuhaid,sa KSA,MF,Al-Fateh,30,1990,22.8,0,6,1,16.7,0.26,0.04,0.00,0.00,,0,0,Matches
145,Getterson,br BRA,"FW,MF",Al-Ain,29,1991,24.7,4,62,25,40.3,2.51,1.01,0.05,0.12,,1,2,Matches
146,Abdulrahman Al-Ghamdi,sa KSA,FW,Al-Raed,25,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
147,Ahmed Al Ghamdi,sa KSA,MF,Al-Ettifaq,18,2001,0.1,0,3,1,33.3,27.00,9.00,0.00,0.00,,0,0,Matches
148,Hamed Al-Ghamdi,sa KSA,"MF,FW",Al-Ettifaq,21,1999,3.6,2,9,4,44.4,2.52,1.12,0.22,0.50,,0,0,Matches
149,Hazzaa Al Ghamdi,sa KSA,MF,Al-Wehda,19,2001,5.0,2,5,2,40.0,1.01,0.40,0.40,1.00,,0,0,Matches
150,Khalid Al-Ghamdi,sa KSA,DF,Al-Shabab,32,1988,1.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
151,Mohammed Al Ghamdi,sa KSA,DF,Al-Taawoun,28,1992,9.7,0,4,1,25.0,0.41,0.10,0.00,0.00,,0,0,Matches
152,Raed Al-Ghamdi,sa KSA,"FW,MF",Al-Nassr,26,1994,7.0,2,21,10,47.6,3.00,1.43,0.10,0.20,,0,0,Matches
153,Sultan Al-Ghanam,sa KSA,DF,Al-Nassr,26,1994,23.7,1,24,11,45.8,1.01,0.46,0.04,0.09,,0,1,Matches
154,Khalid Al Ghannam,sa KSA,MF,Al-Nassr,19,2000,14.5,4,26,12,46.2,1.79,0.83,0.15,0.33,,0,0,Matches
155,Abdulrahman Ghareeb,sa KSA,MF,Al-Ahli,23,1997,15.2,6,28,14,50.0,1.84,0.92,0.21,0.43,,0,0,Matches
156,Fahad Ghazi,sa KSA,DF,Al-Ettifaq,26,1994,16.1,0,3,2,66.7,0.19,0.12,0.00,0.00,,0,0,Matches
157,Sebastian Giovinco,it ITA,"MF,FW",Al-Hilal,33,1987,15.1,1,49,16,32.7,3.25,1.06,0.02,0.06,,0,0,Matches
158,Bafétimbi Gomis,fr FRA,FW,Al-Hilal,34,1985,26.5,24,99,48,48.5,3.73,1.81,0.16,0.33,,8,9,Matches
159,Craig Goodwin,au AUS,MF,Abha,28,1991,14.7,2,21,7,33.3,1.42,0.47,0.10,0.29,,0,0,Matches
160,Marcelo Grohe,br BRA,GK,Al-Ittihad,33,1987,29.0,0,0,0,,0.00,0.00,,,,0,0,Matches
161,Cristian Guanca,ar ARG,"MF,FW",Al-Shabab,27,1993,22.9,17,78,40,51.3,3.40,1.75,0.22,0.43,,0,0,Matches
162,Guilherme,br BRA,"MF,FW",Al-Faisaly,25,1995,26.9,8,75,32,42.7,2.79,1.19,0.11,0.25,,0,0,Matches
163,Ahmed Al-Habib,sa KSA,DF,Abha,27,1993,3.6,0,2,0,0.0,0.55,0.00,0.00,,,0,0,Matches
164,Hassan Al-Habib,sa KSA,"MF,FW",Al-Fateh,25,1994,7.9,0,9,4,44.4,1.14,0.51,0.00,0.00,,0,0,Matches
165,Abdullah Hadhariti,sa KSA,FW,Al-Qadsiah,27,1992,1.7,0,4,1,25.0,2.38,0.60,0.00,0.00,,0,0,Matches
166,Abdullah Al-Hafith,sa KSA,DF,Al-Wehda,27,1992,21.9,0,8,1,12.5,0.37,0.05,0.00,0.00,,0,0,Matches
167,Asiri Haitham,sa KSA,FW,Al-Ahli,19,2001,0.6,0,2,0,0.0,3.21,0.00,0.00,,,0,0,Matches
168,Mohammed Al-Haiti,sa KSA,GK,Al-Ettifaq,24,1996,12.0,0,0,0,,0.00,0.00,,,,0,0,Matches
169,Othman Al Haj,sa KSA,FW,Al-Ahli,26,1994,0.3,0,1,0,0.0,3.46,0.00,0.00,,,0,0,Matches
170,Hussain Halawani,sa KSA,MF,Al-Ettifaq,24,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
171,Hussain Halawani,sa KSA,"MF,DF",Al-Ain,24,1996,5.0,1,5,1,20.0,0.99,0.20,0.20,1.00,,0,0,Matches
172,Fahad Al Hamad,sa KSA,DF,Al-Taawoun,22,1998,5.0,0,0,0,,0.00,0.00,,,,0,0,Matches
173,Abderrazak Hamdallah,ma MAR,FW,Al-Nassr,29,1990,13.5,11,69,25,36.2,5.12,1.85,0.06,0.16,,7,12,Matches
174,Abdullah Al Hamdan,sa KSA,FW,Al-Shabab,20,1999,9.3,2,25,12,48.0,2.69,1.29,0.08,0.17,,0,0,Matches
175,Abdullah Al Hamdan,sa KSA,MF,Al-Hilal,20,1999,2.1,1,5,2,40.0,2.41,0.96,0.20,0.50,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
176,Saeed Al Hamsal,sa KSA,DF,Abha,24,1996,6.9,0,3,0,0.0,0.43,0.00,0.00,,,0,0,Matches
177,Mansor Hamzi,sa KSA,MF,Damac,28,1992,17.7,4,29,15,51.7,1.64,0.85,0.14,0.27,,0,0,Matches
178,Fahad Al Harbi,sa KSA,DF,Al-Fateh,23,1997,3.7,0,3,1,33.3,0.82,0.27,0.00,0.00,,0,0,Matches
179,Hassan Al Harbi,sa KSA,DF,Al-Ain,25,1994,26.9,2,14,5,35.7,0.52,0.19,0.14,0.40,,0,0,Matches
180,Mansoor Al-Harbi,sa KSA,MF,Al-Raed,32,1987,2.9,1,4,2,50.0,1.39,0.69,0.25,0.50,,0,1,Matches
181,Moteb Al-Harbi,sa KSA,"DF,MF",Al-Shabab,20,2000,10.5,1,6,3,50.0,0.57,0.29,0.17,0.33,,0,0,Matches
182,Rakan Al Harbi,sa KSA,DF,Al-Wehda,19,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,,,0,0,Matches
183,Yousef Al Harbi,sa KSA,MF,Al-Ahli,23,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
