rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
153,Sultan Al-Ghanam,sa KSA,DF,Al-Nassr,26,1994,23.7,4,0,0,12,22,1,107,43,4,,,0,Matches
154,Khalid Al Ghannam,sa KSA,MF,Al-Nassr,19,2000,14.5,0,0,0,18,26,8,16,4,14,,,0,Matches
155,Abdulrahman Ghareeb,sa KSA,MF,Al-Ahli,23,1997,15.2,2,0,0,13,26,2,45,10,10,,,0,Matches
156,Fahad Ghazi,sa KSA,DF,Al-Ettifaq,26,1994,16.1,5,0,0,27,16,1,33,31,23,,,0,Matches
157,Sebastian Giovinco,it ITA,"MF,FW",Al-Hilal,33,1987,15.1,4,0,0,16,29,5,133,1,5,,,0,Matches
158,Bafétimbi Gomis,fr FRA,FW,Al-Hilal,34,1985,26.5,3,0,0,30,24,23,1,4,1,,,0,Matches
159,Craig Goodwin,au AUS,MF,Abha,28,1991,14.7,2,0,0,8,24,3,56,6,7,,,0,Matches
160,Marcelo Grohe,br BRA,GK,Al-Ittihad,33,1987,29.0,4,0,0,1,1,0,0,0,0,,,0,Matches
161,Cristian Guanca,ar ARG,"MF,FW",Al-Shabab,27,1993,22.9,4,0,0,17,10,7,35,7,16,,,0,Matches
162,Guilherme,br BRA,"MF,FW",Al-Faisaly,25,1995,26.9,2,0,0,27,65,2,140,32,22,,,0,Matches
163,Ahmed Al-Habib,sa KSA,DF,Abha,27,1993,3.6,1,0,0,4,0,0,0,3,3,,,0,Matches
164,Hassan Al-Habib,sa KSA,"MF,FW",Al-Fateh,25,1994,7.9,0,1,0,14,13,1,14,3,5,,,0,Matches
165,Abdullah Hadhariti,sa KSA,FW,Al-Qadsiah,27,1992,1.7,0,0,0,6,4,0,2,2,1,,,0,Matches
166,Abdullah Al-Hafith,sa KSA,DF,Al-Wehda,27,1992,21.9,4,0,0,13,7,0,3,28,12,,,1,Matches
167,Asiri Haitham,sa KSA,FW,Al-Ahli,19,2001,0.6,0,0,0,2,3,0,0,0,0,,,0,Matches
168,Mohammed Al-Haiti,sa KSA,GK,Al-Ettifaq,24,1996,12.0,0,0,0,0,3,0,0,1,0,,,0,Matches
169,Othman Al Haj,sa KSA,FW,Al-Ahli,26,1994,0.3,0,0,0,1,1,1,0,0,0,,,0,Matches
170,Hussain Halawani,sa KSA,MF,Al-Ettifaq,24,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
171,Hussain Halawani,sa KSA,"MF,DF",Al-Ain,24,1996,5.0,0,0,0,4,3,0,14,4,3,,,0,Matches
172,Fahad Al Hamad,sa KSA,DF,Al-Taawoun,22,1998,5.0,1,0,0,5,1,1,0,6,5,,,0,Matches
173,Abderrazak Hamdallah,ma MAR,FW,Al-Nassr,29,1990,13.5,3,0,0,12,25,13,0,2,4,,,0,Matches
174,Abdullah Al Hamdan,sa KSA,FW,Al-Shabab,20,1999,9.3,4,0,0,14,10,5,3,1,5,,,0,Matches
175,Abdullah Al Hamdan,sa KSA,MF,Al-Hilal,20,1999,2.1,1,0,0,4,4,0,2,0,2,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Saeed Al Hamsal,sa KSA,DF,Abha,24,1996,6.9,3,0,0,15,6,0,16,14,5,,,0,Matches
177,Mansor Hamzi,sa KSA,MF,Damac,28,1992,17.7,2,0,0,12,66,2,59,17,7,,,0,Matches
178,Fahad Al Harbi,sa KSA,DF,Al-Fateh,23,1997,3.7,0,0,0,5,1,0,1,6,0,,,0,Matches
179,Hassan Al Harbi,sa KSA,DF,Al-Ain,25,1994,26.9,4,0,0,32,9,0,1,56,23,,,1,Matches
180,Mansoor Al-Harbi,sa KSA,MF,Al-Raed,32,1987,2.9,0,0,0,3,0,0,15,5,2,,,0,Matches
181,Moteb Al-Harbi,sa KSA,"DF,MF",Al-Shabab,20,2000,10.5,0,0,0,9,18,1,31,26,9,,,0,Matches
182,Rakan Al Harbi,sa KSA,DF,Al-Wehda,19,2001,2.3,0,0,0,0,0,0,0,3,6,,,0,Matches
183,Yousef Al Harbi,sa KSA,MF,Al-Ahli,23,1997,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
184,Amer Haroon,sa KSA,DF,Al-Ain,27,1992,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
185,Nawaf Al Harthi,sa KSA,MF,Al-Ain,21,1998,5.5,0,0,0,2,4,3,13,1,8,,,0,Matches
186,Abbas Al Hassan,sa KSA,MF,Al-Fateh,16,2004,3.4,0,0,0,9,2,0,0,4,6,,,0,Matches
187,Ali Al Hassan,sa KSA,MF,Al-Nassr,23,1997,17.6,4,0,0,33,23,0,11,26,16,,,1,Matches
188,Abdullah Hassun,sa KSA,DF,Al-Ahli,23,1997,21.7,10,1,1,41,28,2,39,27,31,,,0,Matches
189,Motaz Hawsawi,sa KSA,DF,Al-Ahli,28,1992,20.4,6,1,0,21,19,1,0,44,14,,,0,Matches
190,Omar Hawsawi,sa KSA,DF,Al-Ittihad,34,1985,9.9,2,0,0,12,5,0,0,10,2,,,0,Matches
191,Sanousi Al Hawsawi,sa KSA,DF,Al-Ettifaq,21,1998,14.0,3,0,0,26,20,1,28,24,19,,,0,Matches
192,Talal Hawsawi,sa KSA,DF,Al-Qadsiah,21,1998,0.3,0,0,0,0,1,0,0,1,0,,,0,Matches
193,Arif Al Haydar,sa KSA,DF,Damac,23,1997,9.6,3,0,0,20,20,0,59,13,33,,,0,Matches
194,Hazaa Al-Hazaa,sa KSA,"FW,MF",Al-Ettifaq,28,1991,6.1,0,0,0,5,16,1,3,4,4,,,0,Matches
195,Ali Hazazi,sa KSA,MF,Al-Ettifaq,26,1994,19.1,6,1,1,31,16,0,8,41,28,,,0,Matches
196,Naif Hazazi,sa KSA,MF,Al-Qadsiah,27,1992,17.7,1,0,0,16,9,0,6,21,8,,,0,Matches
197,Sulaiman Hazazi,sa KSA,DF,Al-Wehda,17,2003,8.5,1,0,0,3,14,1,22,9,11,,,0,Matches
198,Waleed Hazem,sa KSA,MF,Damac,25,1994,4.6,0,0,0,5,7,0,2,8,3,,,0,Matches
199,Abdullah Al Hazzan,sa KSA,DF,Al-Faisaly,21,1999,14.0,1,0,0,27,15,2,23,21,23,,,0,Matches
200,Ahmed Hegazi,eg EGY,DF,Al-Ittihad,29,1991,24.4,5,1,0,14,7,2,8,26,17,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Ayman Al Hejaili,sa KSA,MF,Damac,22,1998,3.3,0,0,0,1,4,0,6,2,2,,,0,Matches
202,Alaa Al Hejji,sa KSA,MF,Al-Wehda,24,1995,12.5,4,0,0,31,18,0,13,18,14,,,0,Matches
