rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
22,Kelvin Amian,fr FRA,DF,Toulouse,21,1998,18.1,546,676,80.8,8695,3422,273,301,210,249,43,86,2,0.6,0.5,+1.4,5,42,8,2,68,Matches
23,Joachim Andersen,dk DEN,DF,Lyon,23,1996,17.0,1195,1333,89.6,24785,7496,312,345,721,756,152,209,0,0.2,0.2,-0.2,4,57,2,0,79,Matches
24,Benjamin André,fr FRA,MF,Lille,28,1990,22.8,965,1236,78.1,15142,4227,469,544,344,429,70,119,1,0.9,0.7,+0.1,15,104,5,3,130,Matches
25,Victorien Angban,ci CIV,MF,Metz,22,1996,11.4,542,620,87.4,9082,2298,259,286,224,244,42,58,0,0.1,0.3,-0.1,3,51,3,0,70,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Janis Antiste,fr FRA,MF,Toulouse,16,2002,0.1,0,1,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
27,Houssem Aouar,dz ALG,"MF,FW",Lyon,21,1998,21.7,910,1082,84.1,13987,3261,513,570,294,340,71,95,4,2.3,2.4,+1.7,24,101,25,0,134,Matches
28,Adil Aouchiche,fr FRA,MF,Paris S-G,17,2002,0.7,22,31,71.0,304,28,16,21,3,4,3,4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
29,Dennis Appiah,fr FRA,DF,Nantes,27,1992,17.8,734,982,74.7,10333,4875,473,548,219,293,26,87,0,0.4,0.3,-0.4,8,45,2,2,67,Matches
30,Luiz Araújo,br BRA,"FW,MF",Lille,23,1996,9.2,222,311,71.4,3116,739,118,144,65,86,15,29,1,1.8,1.5,-0.8,12,14,14,5,29,Matches
31,Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3.0,57,58,98.3,1073,843,23,23,27,27,6,6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
32,Youcef Atal,dz ALG,"FW,DF",Nice,23,1996,11.1,399,509,78.4,5798,1580,253,286,113,150,24,39,1,1.0,0.9,0.0,10,24,12,3,40,Matches
