rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
369,Ferris N'Goma,fr FRA,"MF,FW",Brest,26,1993,0.3,1,1,0,0.0,3.60,0.00,0.00,,40.6,0,1,1,0.8,0.0,0.05,+0.2,0.0,Matches
370,Nathan N'Goumou,cm CMR,FW,Toulouse,19,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
371,Stanley N'Soki,fr FRA,DF,Nice,20,1999,14.1,0,4,1,25.0,0.28,0.07,0.00,0.00,9.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
372,Keylor Navas,cr CRC,GK,Paris S-G,32,1986,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
373,Papa Ndiaga Yade,mr MTN,FW,Metz,19,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
374,Neymar,br BRA,"MF,FW",Paris S-G,27,1992,14.6,13,66,32,48.5,4.51,2.19,0.14,0.28,17.8,10,4,5,14.7,10.7,0.17,-1.7,-1.7,Matches
375,Muzinga Ngonda,cd COD,DF,Dijon,24,1994,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
376,Ahmad Ngouyamsa,td CHA,DF,Dijon,18,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
377,Opa Nguette,sn SEN,FW,Metz,25,1994,20.3,5,27,10,37.0,1.33,0.49,0.19,0.50,17.3,0,0,0,2.9,2.9,0.11,+2.1,+2.1,Matches
378,Ibrahima Niane,sn SEN,FW,Metz,20,1999,10.6,3,29,11,37.9,2.74,1.04,0.07,0.18,21.6,1,1,1,2.5,1.7,0.06,+0.5,+0.3,Matches
379,M'Baye Niang,sn SEN,FW,Rennes,24,1994,23.6,10,64,28,43.8,2.71,1.19,0.16,0.36,15.3,0,0,2,9.3,7.7,0.12,+0.7,+2.3,Matches
380,Tanguy Nianzou,fr FRA,"DF,MF",Paris S-G,17,2002,5.0,2,3,3,100.0,0.60,0.60,0.67,0.67,6.6,0,0,0,0.9,0.9,0.28,+1.1,+1.1,Matches
381,Cheikh Niasse,sn SEN,MF,Lille,19,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
382,Casimir Ninga,td CHA,"MF,FW",Angers,26,1993,7.6,3,31,7,22.6,4.08,0.92,0.10,0.43,14.7,0,0,0,3.2,3.2,0.10,-0.2,-0.2,Matches
383,Timothée Nkada,fr FRA,FW,Reims,20,1999,1.6,0,2,0,0.0,1.22,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
384,Arnaud Nordin,fr FRA,"FW,MF",Saint-Étienne,21,1998,10.1,1,13,6,46.2,1.29,0.59,0.08,0.17,18.0,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
385,Gerzino Nyamsi,fr FRA,DF,Rennes,22,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
386,Steven Nzonzi,fr FRA,MF,Rennes,30,1988,4.3,0,2,1,50.0,0.47,0.23,0.00,0.00,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
387,Jean Onana,cm CMR,MF,Lille,19,2000,0.9,0,1,0,0.0,1.14,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
388,Henry Onyekuru,ng NGA,"MF,FW",Monaco,22,1997,1.8,0,1,0,0.0,0.56,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
389,Nicholas Opoku,gh GHA,DF,Amiens,21,1997,7.0,0,1,0,0.0,0.14,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
390,Victor Osimhen,ng NGA,FW,Lille,20,1998,25.4,13,83,32,38.6,3.27,1.26,0.13,0.34,14.2,0,2,3,15.5,13.2,0.16,-2.5,-2.2,Matches
391,Otávio,br BRA,MF,Bordeaux,25,1994,24.6,2,22,7,31.8,0.90,0.28,0.09,0.29,26.9,0,0,0,0.8,0.8,0.03,+1.2,+1.2,Matches
392,Abou Ouattara,bf BFA,FW,Lille,19,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
393,Remi Oudin,fr FRA,"FW,MF",Bordeaux,22,1996,6.2,1,12,3,25.0,1.92,0.48,0.08,0.33,16.8,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
394,Remi Oudin,fr FRA,"FW,MF",Reims,22,1996,15.5,3,36,10,27.8,2.32,0.64,0.08,0.30,17.3,1,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches
395,Alexandre Oukidja,dz ALG,GK,Metz,31,1988,26.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
396,Zinédine Ould Khaled,fr FRA,MF,Angers,19,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
397,Adam Ounas,dz ALG,"FW,MF",Nice,22,1996,12.5,2,21,9,42.9,1.68,0.72,0.10,0.22,17.9,1,0,0,2.0,2.0,0.10,0.0,0.0,Matches
398,Ambroise Oyongo,cm CMR,"DF,FW",Montpellier,28,1991,20.2,0,10,0,0.0,0.49,0.00,0.00,,21.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
