rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
45,Steven Bergwijn,nl NED,"FW,MF",PSV Eindhoven,21,1997,14.8,862,8,37,302,537,101,861,65,40,61.5,25,38.5,606,3900,1981,79,59,30,60,31,675,153,Matches
46,Matúš Bero,sk SVK,MF,Vitesse,23,1995,20.7,1408,45,327,842,258,30,1407,44,21,47.7,23,52.3,687,3739,1791,41,27,5,43,25,838,52,Matches
47,Jan-Niklas Beste,de GER,DF,Emmen,20,1999,4.5,241,10,82,103,58,3,241,6,4,66.7,2,33.3,102,676,412,17,11,1,4,1,132,25,Matches
48,Tom Beugelsdijk,nl NED,DF,ADO Den Haag,28,1990,17.9,924,109,420,471,42,17,924,12,10,83.3,2,16.7,386,2318,1299,1,6,0,12,5,481,3,Matches
49,Peet Bijen,nl NED,DF,Twente,24,1995,18.9,1350,213,789,537,31,15,1350,0,0,,0,,690,2832,1565,4,5,1,3,1,889,5,Matches
50,Glenn Bijl,nl NED,DF,Emmen,24,1995,23.9,1956,100,571,890,514,41,1956,44,26,59.1,18,40.9,947,5299,2971,75,53,8,28,14,1150,173,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Teun Bijleveld,nl NED,"MF,FW",Heracles Almelo,21,1998,2.5,134,3,23,72,41,10,134,2,2,100.0,0,0.0,72,435,221,6,3,1,4,8,91,13,Matches
52,Justin Bijlow,nl NED,GK,Feyenoord,21,1998,7.0,246,225,246,1,0,0,246,0,0,,0,,122,664,430,0,0,0,1,0,91,0,Matches
53,Mario Bilate,nl NED,FW,RKC Waalwijk,28,1991,13.9,563,6,28,291,248,73,563,34,19,55.9,15,44.1,338,1560,593,21,16,10,56,29,476,119,Matches
54,Marco Bizot,nl NED,GK,AZ Alkmaar,28,1991,23.0,804,751,803,1,0,0,804,0,0,,0,,423,2312,1162,0,0,0,1,0,377,0,Matches
55,Aleksandar Bjelica,rs SRB,DF,ADO Den Haag,25,1994,0.6,43,3,15,19,11,0,43,4,2,50.0,2,50.0,20,143,69,1,1,0,2,1,21,3,Matches
56,Janis Blaswich,de GER,GK,Heracles Almelo,28,1991,26.0,968,836,966,2,0,0,968,2,2,100.0,0,0.0,499,2908,2018,0,1,1,2,0,416,0,Matches
57,Daley Blind,nl NED,"DF,MF",Ajax,29,1990,19.4,2070,104,541,1321,235,17,2070,30,26,86.7,4,13.3,1510,7903,5090,37,50,2,15,23,1473,21,Matches
58,Myron Boadu,nl NED,FW,AZ Alkmaar,18,2001,22.3,656,8,24,247,391,140,656,46,25,54.3,21,45.7,428,2586,834,35,22,30,85,46,538,184,Matches
59,Rody de Boer,nl NED,GK,AZ Alkmaar,21,1997,1.9,67,60,67,0,0,0,67,0,0,,0,,32,140,106,0,0,0,0,0,29,0,Matches
60,Tom Boere,nl NED,MF,Twente,26,1992,0.0,2,0,0,1,1,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,1,Matches
61,Omar Bogle,eng ENG,FW,ADO Den Haag,26,1993,3.7,105,12,17,42,47,8,105,11,5,45.5,6,54.5,56,289,54,2,3,2,13,14,73,23,Matches
62,Henk Bos,nl NED,"MF,FW",Emmen,26,1992,1.4,59,4,13,41,6,1,59,1,0,0.0,1,100.0,34,172,102,3,0,0,1,4,40,1,Matches
63,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,21,1997,7.1,579,37,171,309,106,4,579,8,7,87.5,1,12.5,287,1549,927,17,11,2,4,1,332,11,Matches
64,Jesse Bosch,nl NED,MF,Twente,19,2000,2.7,157,5,43,86,31,3,157,7,6,85.7,1,14.3,75,402,207,3,5,1,3,0,101,2,Matches
65,Sven Botman,nl NED,DF,Heerenveen,19,2000,26.0,2129,252,1003,1027,105,39,2129,6,2,33.3,4,66.7,1287,7295,4067,24,19,2,21,6,1331,14,Matches
66,Eric Botteghin,br BRA,DF,Feyenoord,31,1987,19.8,1417,178,693,694,41,19,1417,4,4,100.0,0,0.0,754,4355,2938,17,10,1,7,4,903,3,Matches
67,Róbert Boženík,sk SVK,FW,Feyenoord,19,1999,3.3,85,0,2,40,43,15,85,3,1,33.3,2,66.7,57,212,45,3,0,2,7,3,69,17,Matches
68,Wout Brama,nl NED,MF,Twente,32,1986,6.7,422,24,113,231,80,5,422,4,2,50.0,2,50.0,193,965,512,9,7,0,8,3,272,12,Matches
69,Joshua Brenet,cw CUW,DF,Vitesse,25,1994,2.9,195,9,58,87,53,3,195,9,6,66.7,3,33.3,86,608,336,13,5,2,7,7,98,18,Matches
70,Tim Breukers,nl NED,DF,Heracles Almelo,31,1987,16.0,853,55,292,369,200,17,853,11,6,54.5,5,45.5,298,1654,989,25,16,3,18,5,352,55,Matches
71,Jorn Brondeel,be BEL,GK,Twente,25,1993,1.8,82,79,82,0,0,0,82,0,0,,0,,35,210,140,0,0,0,1,0,29,0,Matches
72,Damian van Bruggen,nl NED,"DF,MF",VVV-Venlo,23,1996,2.4,114,18,53,60,4,1,114,0,0,,0,,61,392,260,1,1,0,0,0,70,1,Matches
73,Jordy Bruijn,nl NED,"MF,FW",Heerenveen,23,1996,7.5,313,3,30,138,146,24,313,27,11,40.7,16,59.3,190,1151,522,15,14,6,17,21,206,41,Matches
74,Bruma,pt POR,FW,PSV Eindhoven,24,1994,10.8,667,7,63,238,387,63,667,52,31,59.6,21,40.4,449,3502,2008,67,53,24,36,20,511,123,Matches
75,Thomas Bruns,nl NED,MF,VVV-Venlo,27,1992,5.6,288,5,54,149,88,11,288,11,5,45.5,6,54.5,137,734,333,10,6,2,2,4,150,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Thomas Bruns,nl NED,MF,Zwolle,27,1992,4.9,270,14,55,159,61,5,270,4,3,75.0,1,25.0,150,881,357,5,9,0,10,4,175,17,Matches
77,Thomas Buitink,nl NED,"FW,MF",Vitesse,19,2000,4.5,144,5,15,52,78,21,144,9,4,44.4,5,55.6,90,329,108,4,2,5,12,9,103,32,Matches
78,Mick van Buren,nl NED,"FW,MF",ADO Den Haag,26,1992,1.0,45,1,7,18,20,2,45,3,1,33.3,2,66.7,22,134,44,2,0,2,1,2,26,8,Matches
79,Wouter Burger,nl NED,MF,Feyenoord,18,2001,2.7,225,5,36,169,21,1,225,3,3,100.0,0,0.0,133,714,388,5,5,0,6,5,154,2,Matches
80,Delano Burgzorg,sr SUR,FW,Heracles Almelo,20,1998,4.7,174,5,23,80,74,10,174,15,8,53.3,7,46.7,125,979,424,15,12,5,6,4,141,40,Matches
81,Lorenzo Burnet,nl NED,DF,Emmen,28,1991,17.9,1134,81,384,552,209,20,1134,49,27,55.1,22,44.9,523,2827,1475,38,20,7,38,19,590,60,Matches
82,Oriol Busquets,es ESP,"MF,DF",Twente,20,1999,18.5,1267,133,541,655,83,5,1267,20,14,70.0,6,30.0,742,4160,2253,9,10,0,17,6,884,9,Matches
83,Aitor Cantalapiedra,es ESP,FW,Twente,23,1996,20.2,1126,15,134,504,512,64,1121,73,34,46.6,39,53.4,656,4272,1885,57,57,27,66,35,783,169,Matches
84,Àlex Carbonell,es ESP,MF,Fortuna Sittard,21,1997,7.7,436,22,86,269,82,14,436,7,5,71.4,2,28.6,211,918,320,7,2,2,17,8,292,27,Matches
85,Lee Cattermole,eng ENG,MF,VVV-Venlo,31,1988,8.6,502,27,122,319,67,5,502,4,1,25.0,3,75.0,210,1098,531,9,7,0,11,6,317,8,Matches
86,Václav Černý,cz CZE,"FW,MF",Utrecht,21,1997,4.1,259,2,27,90,144,21,259,10,5,50.0,5,50.0,172,1257,493,14,8,8,15,8,191,52,Matches
87,Michael Chacon,nl NED,MF,Emmen,25,1994,23.3,1495,57,363,975,168,8,1495,50,26,52.0,24,48.0,829,4178,1880,19,31,2,38,26,994,24,Matches
88,Paweł Cibicki,se SWE,FW,ADO Den Haag,25,1994,1.3,36,0,5,19,12,3,36,2,0,0.0,2,100.0,14,99,30,1,2,0,0,0,26,3,Matches
89,Jeremy Cijntje,cw CUW,"FW,MF",Heracles Almelo,21,1998,2.9,96,0,11,36,52,14,96,4,3,75.0,1,25.0,64,581,302,15,9,4,7,5,68,21,Matches
90,Amadou Ciss,sn SEN,"MF,FW",Fortuna Sittard,19,1999,20.9,993,31,153,454,395,62,993,35,19,54.3,16,45.7,501,2484,875,24,22,3,74,34,672,147,Matches
91,Max Clark,eng ENG,DF,Vitesse,23,1996,21.8,1617,76,563,743,332,24,1617,16,8,50.0,8,50.0,668,3806,2362,65,36,2,26,18,825,99,Matches
92,Jordy Clasie,nl NED,"MF,DF",AZ Alkmaar,28,1991,11.1,932,40,265,557,113,4,932,6,3,50.0,3,50.0,554,2517,1286,13,9,0,4,3,684,12,Matches
93,Pelle Clement,nl NED,MF,Zwolle,23,1996,23.1,1490,83,412,851,253,28,1490,67,46,68.7,21,31.3,870,5849,2974,56,30,7,40,35,978,51,Matches
94,Tim Coremans,nl NED,GK,Sparta R'dam,28,1991,10.0,362,301,361,2,0,0,362,0,0,,0,,178,1065,708,0,0,0,0,0,108,0,Matches
95,Karim Coulibaly,fr FRA,MF,Willem II,26,1993,0.1,7,0,0,2,5,0,7,0,0,,0,,7,10,2,0,0,0,2,1,7,1,Matches
96,George Cox,eng ENG,DF,Fortuna Sittard,21,1998,20.1,1227,78,439,591,214,9,1227,18,16,88.9,2,11.1,599,3427,1759,51,42,2,27,11,596,61,Matches
97,Vito van Crooij,nl NED,"FW,MF",Zwolle,23,1996,11.1,396,18,45,165,191,45,396,22,7,31.8,15,68.2,227,1634,774,35,16,12,24,9,280,85,Matches
98,Lennart-Marten Czyborra,de GER,DF,Heracles Almelo,20,1999,18.3,1148,67,396,494,270,24,1148,45,20,44.4,25,55.6,512,3490,2003,60,39,10,34,16,591,102,Matches
99,Adrián Dalmau,es ESP,FW,Utrecht,25,1994,4.6,107,5,9,45,55,34,107,3,1,33.3,2,66.7,62,326,95,5,4,5,15,10,74,21,Matches
100,Vitalie Damașcan,md MDA,FW,Fortuna Sittard,20,1999,12.1,254,10,23,107,126,43,254,5,3,60.0,2,40.0,152,671,263,10,6,5,31,19,195,54,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Wessel Dammers,nl NED,DF,Fortuna Sittard,24,1995,9.1,667,95,392,267,11,5,667,7,7,100.0,0,0.0,373,2447,1538,12,5,0,3,2,404,0,Matches
102,Lennerd Daneels,be BEL,FW,RKC Waalwijk,21,1998,1.8,78,2,6,34,39,4,78,4,3,75.0,1,25.0,53,361,136,5,3,1,3,5,60,17,Matches
103,Danilo,br BRA,FW,Ajax,20,1999,0.2,11,0,1,3,7,2,11,0,0,,0,,3,16,0,0,0,0,1,2,8,4,Matches
104,Damil Dankerlui,sr SUR,"DF,MF",Willem II,22,1996,8.6,530,21,102,319,120,4,530,18,12,66.7,6,33.3,282,1638,938,23,19,2,13,8,297,17,Matches
105,Oussama Darfalou,dz ALG,"MF,DF",Vitesse,25,1993,0.7,32,0,3,9,21,7,32,0,0,,0,,9,60,47,2,1,2,3,0,19,6,Matches
106,Oussama Darfalou,dz ALG,FW,VVV-Venlo,25,1993,8.0,267,13,21,97,152,43,266,31,12,38.7,19,61.3,155,1175,381,16,5,17,27,18,189,48,Matches
107,Eli Dasa,il ISR,"DF,MF",Vitesse,26,1992,9.4,620,37,157,297,171,9,620,16,10,62.5,6,37.5,290,1409,676,15,11,1,10,6,351,50,Matches
108,Laurens De Bock,be BEL,DF,ADO Den Haag,26,1992,7.8,398,37,130,210,59,1,398,3,3,100.0,0,0.0,144,786,397,8,5,0,5,1,188,14,Matches
109,Rick Dekker,nl NED,"MF,DF",Zwolle,24,1995,13.2,851,82,398,417,37,0,851,4,3,75.0,1,25.0,449,1899,1028,4,5,0,4,4,554,4,Matches
110,Tristan Dekker,nl NED,"DF,FW",VVV-Venlo,21,1998,0.7,38,3,23,8,8,0,38,0,0,,0,,12,140,44,2,3,0,1,1,18,1,Matches
111,Hannes Delcroix,ht HAI,DF,RKC Waalwijk,20,1999,22.9,1481,184,837,626,26,17,1481,9,6,66.7,3,33.3,865,4186,2477,11,4,1,6,11,953,4,Matches
112,Arjen van der Heide,nl NED,"FW,MF",Heerenveen,17,2001,0.4,37,0,4,10,23,3,37,4,2,50.0,2,50.0,22,183,55,1,1,1,2,1,25,6,Matches
113,Jan-Arie van der Heijden,nl NED,DF,Feyenoord,31,1988,4.0,281,20,133,148,3,2,281,2,2,100.0,0,0.0,164,963,557,3,0,0,2,3,196,0,Matches
114,Mark van der Maarel,nl NED,DF,Utrecht,29,1989,15.9,1160,71,446,585,134,13,1160,9,6,66.7,3,33.3,624,2601,1400,13,11,0,10,1,729,31,Matches
115,Richard van der Venne,nl NED,MF,RKC Waalwijk,27,1992,5.9,197,9,40,103,58,15,197,3,2,66.7,1,33.3,114,401,194,6,8,3,13,3,134,19,Matches
116,Silvester van der Water,nl NED,FW,Heracles Almelo,22,1996,18.2,786,13,136,321,348,56,786,69,39,56.5,30,43.5,520,3421,1676,48,36,18,78,43,536,127,Matches
117,Halil Dervişoğlu,tr TUR,FW,Sparta R'dam,19,1999,13.6,506,1,25,172,322,72,505,89,61,68.5,28,31.5,321,2028,839,36,21,24,66,41,361,92,Matches
118,Cyriel Dessers,ng NGA,FW,Heracles Almelo,24,1994,25.7,871,9,26,361,504,177,869,74,41,55.4,32,43.2,489,3255,1556,69,32,46,91,62,663,186,Matches
