rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
367,Dante Rigo,be BEL,MF,Sparta R'dam,20,1998,9.3,0,9,3,33.3,0.97,0.32,0.00,0.00,29.8,5,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
368,Ricardo Rodríguez,ch SUI,DF,PSV Eindhoven,26,1992,5.0,0,7,2,28.6,1.41,0.40,0.00,0.00,21.6,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
369,Godfried Roemeratoe,cw CUW,MF,Twente,19,1999,12.4,0,3,0,0.0,0.24,0.00,0.00,,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
370,Mitchell van Rooijen,nl NED,MF,Utrecht,20,1998,0.7,0,1,1,100.0,1.38,1.38,0.00,0.00,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
371,Ruben Roosken,nl NED,"FW,DF",Emmen,19,2000,0.5,0,1,0,0.0,1.87,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
372,Pablo Rosario,do DOM,MF,PSV Eindhoven,22,1997,25.0,2,19,6,31.6,0.76,0.24,0.11,0.33,22.8,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches
373,Nils Röseler,de GER,DF,VVV-Venlo,27,1992,24.4,0,8,1,12.5,0.33,0.04,0.00,0.00,14.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
374,Maximilian Rossmann,de GER,DF,Heracles Almelo,24,1995,4.3,2,3,2,66.7,0.69,0.46,0.67,1.00,13.8,0,0,0,0.1,0.1,0.05,+1.9,+1.9,Matches
375,Llazaros Rota,gr GRE,DF,Fortuna Sittard,21,1997,4.6,0,1,0,0.0,0.22,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
376,Robbin Ruiter,nl NED,GK,PSV Eindhoven,32,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
377,Dries Saddiki,ma MAR,MF,Willem II,22,1996,23.1,0,12,0,0.0,0.52,0.00,0.00,,19.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
378,Michal Sadílek,cz CZE,DF,PSV Eindhoven,20,1999,12.2,1,6,3,50.0,0.49,0.25,0.17,0.33,17.3,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
379,Görkem Sağlam,de GER,MF,Willem II,21,1998,1.5,0,1,0,0.0,0.65,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
380,Trent Sainsbury,au AUS,DF,PSV Eindhoven,27,1992,1.0,0,1,0,0.0,1.00,0.00,0.00,,5.1,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
381,Bassala Sambou,eng ENG,FW,Fortuna Sittard,21,1997,13.3,2,21,7,33.3,1.57,0.52,0.10,0.29,17.0,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Matches
382,Lamine Sané,sn SEN,DF,Utrecht,32,1987,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
383,Mustafa Saymak,nl NED,"MF,FW",Zwolle,26,1993,9.4,3,21,7,33.3,2.24,0.75,0.14,0.43,18.4,1,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches
