rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
552,Lorenzo Tonelli,it ITA,DF,Sampdoria,29,1990,7.8,0,5,1,20.0,0.64,0.13,0.00,0.00,21.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
553,Ernesto Torregrossa,ve VEN,FW,Brescia,27,1992,20.5,7,61,21,34.4,2.98,1.02,0.08,0.24,17.1,1,2,2,8.1,6.6,0.11,-1.1,-1.6,Matches
554,Luca Tremolada,it ITA,MF,Brescia,27,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
555,Alessandro Tripaldelli,it ITA,DF,Sassuolo,20,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
556,William Troost-Ekong,ng NGA,DF,Udinese,25,1993,28.6,0,6,0,0.0,0.21,0.00,0.00,,15.1,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
557,Georgi Tunjov,ee EST,MF,SPAL,18,2001,3.2,0,6,0,0.0,1.90,0.00,0.00,,23.7,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
558,Stefano Turati,it ITA,GK,Sassuolo,17,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
559,Gennaro Tutino,it ITA,"FW,MF",Hellas Verona,22,1996,2.5,0,3,0,0.0,1.20,0.00,0.00,,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
560,Samir Ujkani,xk KVX,GK,Torino,31,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
561,Cengiz Ünder,tr TUR,FW,Roma,22,1997,9.7,3,27,9,33.3,2.78,0.93,0.11,0.33,20.1,0,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches
562,Mirko Valdifiori,it ITA,MF,SPAL,33,1986,15.6,0,4,2,50.0,0.26,0.13,0.00,0.00,30.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
563,Borja Valero,es ESP,MF,Inter,34,1985,10.3,2,11,3,27.3,1.06,0.29,0.18,0.67,15.1,0,0,0,1.8,1.8,0.17,+0.2,+0.2,Matches
564,Mattia Valoti,it ITA,"MF,FW",SPAL,25,1993,17.0,3,31,11,35.5,1.83,0.65,0.10,0.27,17.8,2,0,0,3.3,3.3,0.11,-0.3,-0.3,Matches
565,Denis Vavro,sk SVK,DF,Lazio,23,1996,3.6,0,3,0,0.0,0.82,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
