rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
531,Gabriel Strefezza,br BRA,"DF,MF",SPAL,22,1997,32,24,2110,23.4,1,2,3,1,0,0,9,1,2.6,2.6,1.7,4.4,72,62,121,0.04,0.09,0.13,0.04,0.13,0.11,0.07,0.19,0.11,0.19,Matches
532,Jens Stryger Larsen,dk DEN,DF,Udinese,28,1991,33,32,2789,31.0,1,3,4,1,0,0,5,0,1.3,1.3,2.0,3.2,56,128,145,0.03,0.10,0.13,0.03,0.13,0.04,0.06,0.10,0.04,0.10,Matches
533,Stefano Sturaro,it ITA,MF,Genoa,26,1993,16,15,1252,13.9,1,2,3,1,0,0,7,0,1.8,1.8,1.4,3.2,16,36,33,0.07,0.14,0.22,0.07,0.22,0.13,0.10,0.23,0.13,0.23,Matches
534,Suso,es ESP,"FW,MF",Milan,25,1993,16,15,1359,15.1,1,2,3,1,0,0,2,0,1.1,1.1,4.5,5.6,49,96,148,0.07,0.13,0.20,0.07,0.20,0.07,0.30,0.37,0.07,0.37,Matches
535,Bosko Sutalo,hr CRO,DF,Atalanta,19,2000,7,3,280,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,10,11,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
536,Mattias Svanberg,se SWE,MF,Bologna,20,1999,25,12,1051,11.7,1,2,3,1,0,0,2,0,1.6,1.6,1.3,2.9,26,35,43,0.09,0.17,0.26,0.09,0.26,0.14,0.11,0.25,0.14,0.25,Matches
537,Wojciech Szczęsny,pl POL,GK,Juventus,29,1990,29,29,2591,28.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
538,Andrea Tabanelli,it ITA,MF,Lecce,29,1990,13,11,964,10.7,1,0,1,1,0,0,4,0,1.1,1.1,0.2,1.2,24,28,54,0.09,0.00,0.09,0.09,0.09,0.10,0.02,0.12,0.10,0.12,Matches
539,Panagiotis Tachtsidis,gr GRE,MF,Lecce,28,1991,28,24,2003,22.3,0,2,2,0,0,0,7,1,0.8,0.8,2.0,2.8,40,144,18,0.00,0.09,0.09,0.00,0.09,0.04,0.09,0.13,0.04,0.13,Matches
540,Adrien Tameze,cm CMR,MF,Atalanta,25,1994,7,2,211,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
541,Łukasz Teodorczyk,pl POL,FW,Udinese,28,1991,14,1,222,2.5,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.1,7,6,14,0.00,0.41,0.41,0.00,0.41,0.09,0.36,0.45,0.09,0.45,Matches
