rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
45,Barcia,es ESP,DF,Granada,19,2000,1.0,48,7,29,16,3,0,48,0,0,,0,,15,103,10,0,0,0,0,0,11,0,Matches
46,Enis Bardhi,mk MKD,MF,Levante,25,1995,18.7,1100,26,207,505,405,35,1100,58,35,60.3,23,39.7,703,3605,1903,44,41,5,42,35,773,117,Matches
47,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,15.9,697,13,106,294,313,32,697,82,54,65.9,28,34.1,468,3015,1281,46,29,8,55,40,506,143,Matches
48,Marc Baró,es ESP,DF,Cádiz,20,1999,1.0,28,2,10,10,9,1,28,1,1,100.0,0,0.0,9,71,47,3,1,1,0,0,4,2,Matches
49,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,1527,133,691,630,210,11,1527,16,11,68.8,5,31.3,831,3526,1829,34,29,3,15,7,985,63,Matches
50,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,14.5,612,8,87,251,286,32,612,67,39,58.2,28,41.8,389,2805,1247,37,23,12,50,35,424,106,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,1173,132,605,530,44,14,1173,8,7,87.5,1,12.5,599,2610,1394,4,9,0,12,1,722,4,Matches
52,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,8,0,2,6,0,0,8,0,0,,0,,4,4,4,0,0,0,0,0,6,0,Matches
53,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,1253,84,366,770,129,20,1253,25,18,72.0,7,28.0,717,3705,1663,22,13,0,18,15,765,14,Matches
54,Jon Bautista,es ESP,FW,Real Sociedad,25,1995,4.1,147,4,9,60,81,23,147,6,4,66.7,2,33.3,81,368,168,5,5,2,16,4,109,26,Matches
55,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,21,1999,15.5,921,40,246,515,162,7,921,11,9,81.8,2,18.2,569,2581,1026,8,16,1,18,13,638,21,Matches
56,Sergio Benito,es ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
