rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
58,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,24,19,14,5,5,10,24,14,14,0,14,11,35,29,0,Matches
59,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,25.3,47,31,21,20,6,9,51,42,48,3,45,18,65,27,0,Matches
60,Pedro Bigas,es ESP,DF,Eibar,29,1990,17.0,11,9,7,4,0,7,14,7,12,6,6,23,34,54,0,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,8,4,4,4,0,3,18,15,5,0,5,8,16,9,0,Matches
62,Antonio Blanco,es ESP,"MF,FW",Real Madrid,20,2000,2.4,7,2,4,2,1,3,7,4,6,2,4,3,10,5,0,Matches
63,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,Matches
64,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,2,2,1,1,0,1,6,5,7,3,4,8,10,4,0,Matches
66,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,1,1,1,0,0,0,2,2,0,0,0,0,1,12,2,Matches
67,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,47,31,13,27,7,10,49,39,37,2,35,19,66,21,0,Matches
68,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,8,4,2,3,3,1,6,5,2,0,2,6,14,7,0,Matches
69,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,10.1,10,6,6,4,0,5,16,11,8,1,7,7,17,10,0,Matches
70,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,1,1,1,0,0,1,2,1,0,0,0,1,2,0,0,Matches
71,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,Matches
72,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,23,15,10,12,1,8,19,11,13,3,10,13,36,16,1,Matches
73,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
74,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,20,12,2,11,7,4,15,11,17,4,13,2,22,17,1,Matches
