rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
111,Naoki Hayashi,jp JPN,DF,Kashima Antlers,22,1998,5.1,,,,,,,,,,,,,,,,,,,,,Matches
112,Takuto Hayashi,jp JPN,GK,Sanfrecce,38,1982,11.0,,,,,,,,,,,,,,,,,,,,,Matches
113,Keigo Higashi,jp JPN,MF,FC Tokyo,30,1990,23.2,,,,,,,,,,,,,,,,,,,,,Matches
114,Shunki Higashi,jp JPN,"DF,MF",Sanfrecce,20,2000,27.6,,,,,,,,,,,,,,,,,,,,,Matches
115,Masaaki Higashiguchi,jp JPN,GK,Gamba Osaka,34,1986,38.0,,,,,,,,,,,,,,,,,,,,,Matches
116,Yuta Higuchi,jp JPN,MF,Sagan Tosu,24,1996,35.4,,,,,,,,,,,,,,,,,,,,,Matches
117,Sho Hiramatsu,jp JPN,MF,Shonan Bellmare,22,1998,0.8,,,,,,,,,,,,,,,,,,,,,Matches
118,Yuichi Hirano,jp JPN,MF,Urawa Reds,24,1996,11.0,,,,,,,,,,,,,,,,,,,,,Matches
119,Taiyo Hiraoka,jp JPN,MF,Shonan Bellmare,18,2002,7.1,,,,,,,,,,,,,,,,,,,,,Matches
120,Yasuhiro Hiraoka,jp JPN,DF,Vegalta Sendai,34,1986,19.7,,,,,,,,,,,,,,,,,,,,,Matches
121,Ryotaro Hironaga,jp JPN,GK,Vissel Kobe,31,1990,1.4,,,,,,,,,,,,,,,,,,,,,Matches
122,Rikuto Hirose,jp JPN,DF,Kashima Antlers,25,1995,7.0,,,,,,,,,,,,,,,,,,,,,Matches
123,Han Ho-gang,jp JPN,DF,Yokohama FC,27,1993,20.0,,,,,,,,,,,,,,,,,,,,,Matches
124,Fuchi Honda,jp JPN,"MF,FW",Sagan Tosu,19,2001,8.4,,,,,,,,,,,,,,,,,,,,,Matches
125,Mao Hosoya,jp JPN,FW,Kashiwa Reysol,19,2001,12.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
126,Akira Ibayashi,jp JPN,DF,Sanfrecce,30,1990,1.1,,,,,,,,,,,,,,,,,,,,,Matches
127,Akira Ibayashi,jp JPN,DF,S-Pulse,30,1990,14.8,,,,,,,,,,,,,,,,,,,,,Matches
128,Hiroshi Ibusuki,jp JPN,FW,S-Pulse,29,1991,2.0,,,,,,,,,,,,,,,,,,,,,Matches
129,Akinori Ichikawa,jp JPN,GK,Yokohama FC,22,1998,4.0,,,,,,,,,,,,,,,,,,,,,Matches
130,Kazunari Ichimi,jp JPN,FW,Vortis,23,1997,4.5,,,,,,,,,,,,,,,,,,,,,Matches
131,Kazunari Ichimi,jp JPN,"MF,FW",Gamba Osaka,23,1997,5.8,,,,,,,,,,,,,,,,,,,,,Matches
132,Yosuke Ideguchi,jp JPN,MF,Gamba Osaka,24,1996,23.6,,,,,,,,,,,,,,,,,,,,,Matches
133,Akihiro Ienaga,jp JPN,"FW,MF",Kawa Frontale,34,1986,28.9,,,,,,,,,,,,,,,,,,,,,Matches
134,Hiroki Iikura,jp JPN,GK,Vissel Kobe,34,1986,18.0,,,,,,,,,,,,,,,,,,,,,Matches
135,Nanasei Iino,jp JPN,"MF,DF",Sagan Tosu,24,1996,29.6,,,,,,,,,,,,,,,,,,,,,Matches
136,Masaki Ikeda,jp JPN,MF,Shonan Bellmare,21,1999,8.1,,,,,,,,,,,,,,,,,,,,,Matches
137,Yuta Imazu,jp JPN,DF,Sanfrecce,25,1995,11.4,,,,,,,,,,,,,,,,,,,,,Matches
138,Sho Inagaki,jp JPN,MF,Grampus,29,1991,37.2,,,,,,,,,,,,,,,,,,,,,Matches
139,Andrés Iniesta,es ESP,MF,Vissel Kobe,36,1984,17.8,,,,,,,,,,,,,,,,,,,,,Matches
140,Masahiko Inoha,jp JPN,DF,Yokohama FC,35,1985,17.1,,,,,,,,,,,,,,,,,,,,,Matches
141,Kenta Inoue,jp JPN,MF,Oita Trinita,22,1998,14.2,,,,,,,,,,,,,,,,,,,,,Matches
142,Shion Inoue,jp JPN,MF,Vissel Kobe,23,1997,11.3,,,,,,,,,,,,,,,,,,,,,Matches
143,Takashi Inui,jp JPN,MF,Cerezo Osaka,32,1988,6.3,,,,,,,,,,,,,,,,,,,,,Matches
144,Tomoya Inukai,jp JPN,DF,Kashima Antlers,27,1993,23.7,,,,,,,,,,,,,,,,,,,,,Matches
145,Park Iru-gyu,jp JPN,GK,Sagan Tosu,31,1989,38.0,,,,,,,,,,,,,,,,,,,,,Matches
146,Kohei Isa,jp JPN,FW,Oita Trinita,29,1991,11.6,,,,,,,,,,,,,,,,,,,,,Matches
147,Hirokazu Ishihara,jp JPN,DF,Shonan Bellmare,21,1999,34.0,,,,,,,,,,,,,,,,,,,,,Matches
148,Naoki Ishihara,jp JPN,FW,Shonan Bellmare,36,1984,4.6,,,,,,,,,,,,,,,,,,,,,Matches
149,Takayoshi Ishihara,jp JPN,DF,Vegalta Sendai,28,1992,30.6,,,,,,,,,,,,,,,,,,,,,Matches
150,Hidenori Ishii,jp JPN,DF,Vortis,35,1985,9.0,,,,,,,,,,,,,,,,,,,,,Matches
