rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
35,Jean-Kévin Augustin,fr FRA,FW,Nantes,23,1997,0.4,7,0,1,5,1,0,7,0,0,,0,,4,5,0,0,0,0,1,0,5,1,Matches
36,Ludovic Baal,gf GUF,"DF,MF",Brest,34,1986,3.3,280,13,104,152,27,0,280,8,7,87.5,1,12.5,183,889,560,8,3,0,3,4,193,7,Matches
37,Loïc Bade,fr FRA,DF,Lens,20,2000,29.0,2323,260,1238,1050,56,10,2323,26,23,88.5,3,11.5,1403,9668,5896,42,19,2,21,11,1489,2,Matches
38,Benoît Badiashile,fr FRA,DF,Monaco,19,2001,31.9,2721,218,1123,1532,81,32,2721,7,4,57.1,3,42.9,1613,7551,4566,17,16,0,15,2,1955,6,Matches
39,Stéphane Bahoken,cm CMR,FW,Angers,28,1992,18.0,558,9,22,266,276,72,557,24,14,58.3,10,41.7,348,1948,747,34,18,15,70,34,423,110,Matches
40,Stefan Bajic,fr FRA,GK,Saint-Étienne,18,2001,1.0,39,35,39,0,0,0,39,0,0,,0,,24,92,37,0,0,0,0,0,20,0,Matches
41,Mitchel Bakker,nl NED,DF,Paris S-G,20,2000,18.8,1486,45,322,694,482,28,1486,30,15,50.0,15,50.0,837,3130,1476,31,31,4,18,11,1023,180,Matches
42,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,17,2002,0.6,55,0,4,37,14,1,55,1,0,0.0,1,100.0,40,213,66,1,1,1,3,1,49,2,Matches
43,Leonardo Balerdi,ar ARG,DF,Marseille,21,1999,18.2,1248,122,627,580,50,16,1248,13,10,76.9,3,23.1,771,3755,1897,11,11,2,11,10,820,1,Matches
44,Fodé Ballo-Touré,sn SEN,DF,Monaco,23,1997,7.4,505,13,112,244,152,17,505,9,3,33.3,6,66.7,256,1560,789,30,17,6,7,5,302,52,Matches
45,Abdoulaye Bamba,ci CIV,DF,Angers,30,1990,15.0,993,36,315,495,189,5,993,9,4,44.4,5,55.6,479,1855,818,19,13,2,13,3,553,60,Matches
46,Jonathan Bamba,ci CIV,MF,Lille,24,1996,33.2,2079,26,186,1022,901,68,2079,119,52,43.7,67,56.3,1348,7685,3685,103,95,23,89,72,1517,262,Matches
47,Robson Bambu,br BRA,DF,Nice,22,1997,11.6,940,138,552,377,16,4,940,6,3,50.0,3,50.0,625,3211,1827,10,0,0,9,5,663,5,Matches
48,Simon Banza,cd COD,FW,Lens,23,1996,15.2,510,17,36,231,248,66,509,23,9,39.1,14,60.9,293,1341,542,17,13,4,52,22,400,115,Matches
49,Danilo Barbosa,br BRA,DF,Nice,24,1996,2.8,234,25,119,110,5,1,234,1,1,100.0,0,0.0,168,1032,619,3,1,0,3,0,169,0,Matches
50,Melvin Bard,fr FRA,DF,Lyon,19,2000,4.8,453,12,100,208,148,9,453,11,8,72.7,3,27.3,255,1252,747,17,13,5,13,1,261,48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Toma Bašić,hr CRO,MF,Bordeaux,23,1996,28.9,1570,47,308,968,305,30,1570,31,23,74.2,8,25.8,998,4752,1986,31,24,2,46,22,1132,76,Matches
52,Cristian Battocchio,it ITA,MF,Brest,28,1992,3.9,233,9,44,129,61,3,233,4,3,75.0,1,25.0,140,531,292,5,1,0,5,3,168,6,Matches
53,Paul Baysse,fr FRA,DF,Bordeaux,32,1988,29.0,1989,225,986,978,33,18,1989,2,2,100.0,0,0.0,1220,5375,3139,17,10,1,3,3,1363,6,Matches
54,Erwan Belhadji,fr FRA,MF,Dijon,19,2001,0.3,15,2,9,4,2,1,15,1,1,100.0,0,0.0,9,57,30,2,0,1,1,0,7,1,Matches
55,Haris Belkebla,dz ALG,MF,Brest,26,1994,30.3,1692,91,523,951,234,14,1692,34,23,67.6,11,32.4,1018,4842,2176,21,17,3,36,24,1137,32,Matches
56,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Strasbourg,22,1998,23.2,1091,22,161,560,389,54,1091,78,45,57.7,33,42.3,651,4827,2019,64,40,19,72,38,743,97,Matches
57,Sami Ben Amar,ma MAR,MF,Nîmes,22,1998,0.1,6,0,0,3,3,0,6,0,0,,0,,3,11,6,0,0,0,1,0,4,1,Matches
58,Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33,1987,18.9,1086,0,69,574,470,47,1086,120,76,63.3,44,36.7,724,5615,2792,81,72,25,58,58,836,131,Matches
59,Salim Ben Seghir,fr FRA,DF,Nice,17,2003,0.1,9,0,1,4,4,0,9,1,0,0.0,1,100.0,5,19,6,0,0,0,0,0,6,1,Matches
60,Wissam Ben Yedder,fr FRA,FW,Monaco,29,1990,29.0,1167,5,61,504,616,169,1155,59,30,50.8,29,49.2,644,3184,1596,61,38,34,70,43,866,226,Matches
61,Samy Benchamma,fr FRA,"DF,MF",Montpellier,20,2000,0.5,28,2,9,14,5,0,28,1,0,0.0,1,100.0,13,57,25,0,0,0,0,0,15,0,Matches
62,Darío Benedetto,ar ARG,FW,Marseille,30,1990,17.5,516,19,43,257,219,60,515,17,11,64.7,6,35.3,303,1235,376,15,10,6,41,22,387,96,Matches
