rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
56,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,1509,1830,82.5,25349,8980,727,792,643,750,114,204,4,1.5,1.9,+2.5,26,158,31,16,224,Matches
57,Pedro Aquino,pe PER,MF,América,26,1995,15.4,599,723,82.8,10676,2797,276,319,251,291,62,89,1,0.8,0.5,+0.2,11,56,4,0,47,Matches
58,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,149,210,71.0,2281,338,71,93,66,80,7,20,0,0.0,0.1,0.0,1,11,2,0,12,Matches
59,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,468,715,65.5,7680,2524,258,322,150,213,50,116,2,4.4,4.4,-2.4,45,27,18,10,42,Matches
60,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,401,494,81.2,7696,1907,155,186,183,206,57,79,0,0.1,0.2,-0.1,3,29,2,0,30,Matches
61,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,6,8,75.0,111,17,2,2,3,3,1,3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
62,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,64,83,77.1,946,211,40,44,14,18,5,11,2,0.5,0.3,+1.5,4,5,1,0,4,Matches
63,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,281,416,67.5,4070,703,168,226,85,124,16,28,0,0.8,0.7,-0.8,16,30,7,1,32,Matches
64,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,13,25,52.0,195,37,9,15,1,5,2,3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
65,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,545,684,79.7,10770,4025,182,214,295,329,63,120,0,0.0,0.2,0.0,0,35,1,0,40,Matches
66,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,190,275,69.1,3067,914,101,121,65,81,15,44,0,1.2,1.5,-1.2,10,16,15,2,40,Matches
67,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,49,65,75.4,757,302,21,23,25,30,2,8,0,0.0,0.0,0.0,0,3,1,0,4,Matches
68,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,34,49,69.4,616,213,15,21,12,14,5,9,0,0.1,0.1,-0.1,2,5,1,0,5,Matches
