rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35,1988,3.6,103,138,74.6,1506,484,62,70,31,45,6,14,0,0.3,0.1,-0.3,2,7,2,0,7,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,1440,1674,86.0,27276,9421,483,514,787,855,141,246,0,0.0,0.2,0.0,1,80,2,0,62,Matches
49,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,3,4,75.0,31,1,2,3,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
50,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0.0,1,1,100.0,7,0,1,1,0,0,0,0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,645,835,77.2,10680,4470,324,372,270,315,44,108,0,0.5,0.4,-0.5,8,63,8,0,76,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,25,1998,10.6,241,314,76.8,3452,786,144,161,76,98,14,29,1,1.0,0.8,0.0,12,17,7,0,39,Matches
53,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,92,139,66.2,1322,373,47,70,35,43,4,5,0,0.3,0.1,-0.3,3,6,2,0,12,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,193,257,75.1,2587,504,116,138,56,76,8,15,1,1.4,0.8,-0.4,11,11,11,2,28,Matches
55,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,674,800,84.3,10011,2610,384,426,244,282,29,41,1,0.5,1.1,+0.5,8,69,11,1,72,Matches
56,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,96,144,66.7,2347,1661,30,30,37,37,28,76,0,0.0,0.0,0.0,0,2,0,0,0,Matches
57,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,396,544,72.8,7505,2234,164,184,159,203,61,124,3,2.7,2.5,+0.3,35,36,18,6,59,Matches
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,1376,1562,88.1,24429,5168,568,637,658,711,125,154,2,2.4,1.6,-0.4,29,129,16,1,164,Matches
59,Luke Berry,eng ENG,"MF,DF",Luton Town,31,1992,3.6,64,99,64.6,984,310,38,45,18,32,6,15,1,0.3,0.1,+0.7,2,5,0,0,8,Matches
60,Beto,gw GNB,FW,Everton,25,1998,10.6,108,180,60.0,1451,323,66,98,34,53,5,7,0,0.9,0.3,-0.9,11,7,6,0,14,Matches
61,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,766,861,89.0,14232,3759,270,298,421,446,64,92,1,0.3,0.2,+0.7,3,28,1,0,25,Matches
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,404,537,75.2,6037,1791,232,279,121,153,31,56,2,3.2,2.1,-1.2,23,39,15,4,53,Matches
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,1689,1842,91.7,25078,7214,948,1006,607,651,68,84,0,0.4,1.7,-0.4,11,156,12,0,169,Matches
64,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,13,20,65.0,188,30,8,11,5,8,0,0,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
65,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,155,177,87.6,2056,478,101,107,44,51,4,4,1,1.2,1.3,-0.2,9,3,19,1,25,Matches
66,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,684,969,70.6,10589,3926,405,473,216,301,51,124,0,1.0,1.2,-1.0,10,45,20,5,60,Matches
67,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,502,671,74.8,9338,4056,201,229,238,303,49,110,1,1.3,0.8,-0.3,9,34,8,0,32,Matches
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,921,1017,90.6,17027,6760,357,382,459,489,98,132,2,1.0,0.6,+1.0,5,38,1,0,35,Matches
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,484,702,68.9,6899,1825,284,341,141,188,34,71,6,5.5,4.8,+0.5,31,29,13,3,52,Matches
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,419,530,79.1,6224,1849,238,275,149,190,20,35,3,1.5,1.2,+1.5,15,27,13,3,29,Matches
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,1105,1385,79.8,20561,8048,440,507,531,612,115,212,0,1.0,1.3,-1.0,4,60,1,0,74,Matches
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,201,266,75.6,2817,720,129,151,58,76,11,16,1,1.5,1.1,-0.5,8,22,12,2,37,Matches
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,52,76,68.4,702,178,35,41,10,22,4,7,0,0.1,0.1,-0.1,2,6,1,0,3,Matches
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,83,94,88.3,932,91,60,64,15,18,1,2,0,0.2,0.3,-0.2,3,2,2,0,6,Matches
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,19,27,70.4,200,71,15,19,4,5,0,0,1,0.4,0.0,+0.6,1,4,1,0,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,196,260,75.4,2943,511,109,131,80,97,6,19,0,0.1,0.3,-0.1,3,11,5,0,18,Matches
77,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,95,132,72.0,1545,666,47,55,34,42,10,23,1,1.0,0.5,0.0,8,14,12,3,21,Matches
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,136,247,55.1,1865,626,91,127,35,56,6,24,0,0.7,0.4,-0.7,8,6,3,1,19,Matches
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,850,1106,76.9,13206,3449,451,532,311,393,55,114,2,2.1,2.1,-0.1,34,71,16,0,90,Matches
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,378,526,71.9,6208,1406,208,257,120,162,39,64,0,1.5,1.8,-1.5,25,12,13,2,38,Matches
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,318,406,78.3,4380,1005,211,237,92,117,11,27,0,0.8,0.7,-0.8,6,11,8,8,8,Matches
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,426,480,88.8,7158,2158,177,192,223,237,18,37,0,0.1,0.0,-0.1,2,16,0,0,11,Matches
