rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Gustavo Albarracín,ar ARG,MF,Talleres,17,2006,2.5,4,4,1,1,2,3,5,2,5,0,5,2,6,4,0,Matches
27,Brian Alexis Leizza,ar ARG,DF,Tigre,23,2000,11.2,14,10,10,4,0,9,12,3,14,10,4,15,29,53,0,Matches
28,Brian Alexis Leizza,ar ARG,DF,Cen. Córdoba–SdE,23,2000,2.1,1,1,1,0,0,1,3,2,6,5,1,1,2,10,0,Matches
29,Franco Alfonso,ar ARG,"FW,MF",Huracán,21,2002,2.9,2,1,1,1,0,0,4,4,5,0,5,2,4,2,0,Matches
30,Rodrigo Aliendro,ar ARG,MF,River Plate,32,1991,5.7,14,11,4,7,3,10,16,6,13,3,10,7,21,6,0,Matches
31,Agustín Almendra,ar ARG,MF,Racing Club,23,2000,13.5,49,29,11,32,6,24,37,13,20,1,19,12,61,12,0,Matches
32,Antony Alonso,ar ARG,FW,Deportivo Riestra,25,1998,7.8,11,9,2,6,3,3,9,6,11,1,10,2,13,5,0,Matches
33,Facundo Altamira,,"MF,FW",Godoy Cruz,,,16.7,27,16,7,15,5,9,18,9,14,1,13,7,34,15,0,Matches
34,Facundo Altamirano,ar ARG,GK,San Lorenzo,27,1996,9.0,1,0,1,0,0,1,1,0,0,0,0,0,1,5,2,Matches
35,Pablo Altamirano,ar ARG,MF,Newell's OB,19,2005,1.6,0,0,0,0,0,0,0,0,2,0,2,2,2,3,0,Matches
36,Fabio Álvarez,ar ARG,"MF,FW",Lanús,31,1993,4.5,8,3,4,4,0,4,6,2,10,0,10,4,12,7,1,Matches
37,Francisco Álvarez,ar ARG,DF,Arg Juniors,23,2000,23.2,49,31,29,19,1,22,39,17,19,11,8,44,93,101,0,Matches
38,Juan Álvarez,ar ARG,"FW,DF",Banfield,27,1996,11.4,7,4,2,4,1,3,19,16,14,1,13,6,13,13,0,Matches
39,Gonzalo Álvez,ar ARG,"FW,MF",Ind. Rivadavia,20,2003,2.6,8,6,4,3,1,4,4,0,2,0,2,5,13,3,0,Matches
40,Gonzalo Álvez,ar ARG,"DF,FW",Cen. Córdoba–SdE,20,2003,1.2,0,0,0,0,0,0,2,2,2,1,1,0,0,1,0,Matches
41,Lucas Ambrogio,ar ARG,"FW,MF",Atlé Tucumán,24,1999,0.3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,Matches
